egoid,hs_1,hssex_1,hsgrade_1,hsgrade_1,apcourses_1,apexams_1,degreeintent_1,major1rc_1,major2rc_1,hsclub1rc_1,hsclub2rc_1,hsclub3rc_1,hsclub4rc_1,hsclub5rc_1,ndfirst_1,majorevent_1,major1rc_2,major2rc_2,degreeintent_2,majorevent_2,major1rc_3,major2rc_3,degreeintent_3,majorevent_3,major1rc_4,major2rc_4,majorevent_4,major1rc_5,major2rc_5,degreeintent_5,majorevent_5,major1rc_6,major2rc_6,degreeintent_6,majorevent_6,majorevent_7,major1rc_8,major2rc_8,degreeintent_8,majorevent_8
92895,Private independent college-prep school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",111.0,406.0,44300.0,11300.0,,,,Yes,no,,,,,,,,,,,,,,,,,,,,,,,,
69831,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,Ph.D or Ed.D.,305.0,306.0,21100.0,13200.0,45100.0,43100.0,,Yes,no,305.0,,"Bachelor's degree (B.A., B.S., etc.)",no,305.0,,"Bachelor's degree (B.A., B.S., etc.)",no,305.0,,no,305.0,,"Bachelor's degree (B.A., B.S., etc.)",no,305.0,,"Bachelor's degree (B.A., B.S., etc.)",no,,,,,
59178,Public school,A mixture of boys and girls,A or A+,A or A+,1-2,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",302.0,309.0,15100.0,11300.0,11200.0,42900.0,41200.0,No,no,302.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,,,,,,,,,,,,,,,,,,,,
50072,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,,,,41100.0,13200.0,13200.0,44200.0,42200.0,Yes,,503.0,,"M.D., D.O., D.D.S., or D.V.M.",no,503.0,,"M.D., D.O., D.D.S., or D.V.M.",no,503.0,,no,503.0,,"M.D., D.O., D.D.S., or D.V.M.",no,503.0,,"M.D., D.O., D.D.S., or D.V.M.",no,no,503.0,,"Bachelor's degree (B.A., B.S., etc.)",no
44927,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,Ph.D or Ed.D.,502.0,507.0,45100.0,45100.0,45100.0,12200.0,,No,no,502.0,,"M.D., D.O., D.D.S., or D.V.M.",no,502.0,131.0,"M.D., D.O., D.D.S., or D.V.M.",no,502.0,131.0,yes,502.0,131.0,"M.D., D.O., D.D.S., or D.V.M.",yes,502.0,131.0,"M.D., D.O., D.D.S., or D.V.M.",no,no,502.0,131.0,"M.D., D.O., D.D.S., or D.V.M.",no
71894,Public school,A mixture of boys and girls,A-,A-,5 or more,5 or more,Ph.D or Ed.D.,305.0,,43500.0,25200.0,63900.0,42200.0,,No,no,305.0,,Ph.D or Ed.D.,no,305.0,,Ph.D or Ed.D.,no,305.0,,no,305.0,,"Bachelor's degree (B.A., B.S., etc.)",no,305.0,,"Bachelor's degree (B.A., B.S., etc.)",no,yes,,,,
76790,Private religious/parochial school,Same sex- female,A or A+,A or A+,5 or more,5 or more,,,,11300.0,45100.0,42200.0,45100.0,46200.0,Yes,,128.0,135.0,J.D. (Law),no,128.0,135.0,J.D. (Law),no,128.0,135.0,no,128.0,135.0,J.D. (Law),no,,,,,,,,,
78428,Private religious/parochial school,Same sex- female,A or A+,A or A+,Not offered at my high school,Not offered at my high school,,,,13200.0,13200.0,13200.0,21100.0,43100.0,Yes,,400.0,135.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,,,,,,,,,,,,,,,,,,,,
66676,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,3-4,3-4,,,,11300.0,11300.0,45100.0,41200.0,51900.0,Yes,,502.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,502.0,,Ph.D or Ed.D.,no,502.0,,no,,,,,502.0,,Ph.D or Ed.D.,no,yes,502.0,,Ph.D or Ed.D.,yes
95930,Public school,A mixture of boys and girls,A or A+,A or A+,3-4,1-2,,,,13200.0,13200.0,45100.0,45100.0,49999.0,Yes,,506.0,400.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,401.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,401.0,,no,401.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes,401.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,no,401.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
70962,Public school,A mixture of boys and girls,A or A+,A or A+,3-4,3-4,,,,21900.0,21100.0,13200.0,,,No,,503.0,,"M.D., D.O., D.D.S., or D.V.M.",no,503.0,,"M.D., D.O., D.D.S., or D.V.M.",no,503.0,,no,503.0,,"M.D., D.O., D.D.S., or D.V.M.",no,503.0,,"M.D., D.O., D.D.S., or D.V.M.",no,no,503.0,,"M.D., D.O., D.D.S., or D.V.M.",no
12738,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",125.0,406.0,45200.0,45200.0,45100.0,45100.0,,Yes,no,,,,,128.0,125.0,Ph.D or Ed.D.,yes,,,,,,,,,,,,,,,,
29647,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,,,,13200.0,41100.0,13200.0,59200.0,,Yes,,504.0,300.0,Ph.D or Ed.D.,no,504.0,,Ph.D or Ed.D.,no,504.0,300.0,no,,,,,,,,,,,,,
27111,Public school,A mixture of boys and girls,A or A+,A or A+,3-4,3-4,"M.D., D.O., D.D.S., or D.V.M.",507.0,109.0,13200.0,13200.0,43900.0,43500.0,,No,no,,,,,,,,,,,,,,,,,,,,,,,,
30453,Public school,A mixture of boys and girls,A or A+,A or A+,3-4,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",401.0,400.0,17100.0,21300.0,43100.0,63900.0,13200.0,No,yes,401.0,,"Bachelor's degree (B.A., B.S., etc.)",no,401.0,135.0,"Bachelor's degree (B.A., B.S., etc.)",no,401.0,135.0,no,401.0,135.0,"Bachelor's degree (B.A., B.S., etc.)",no,401.0,135.0,"Bachelor's degree (B.A., B.S., etc.)",no,no,401.0,135.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
58219,Private independent college-prep school,A mixture of boys and girls,A-,A-,3-4,5 or more,,,,45100.0,25200.0,45100.0,42200.0,21300.0,No,,305.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes,,,,,,,,,,,,,,,,,305.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
28377,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,,,,11300.0,43600.0,45100.0,,,No,,510.0,511.0,"M.D., D.O., D.D.S., or D.V.M.",no,,,,,,,,,,,,,,,,,,,,
80177,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",302.0,502.0,11300.0,11300.0,41300.0,41100.0,43900.0,Yes,yes,309.0,310.0,Ph.D or Ed.D.,no,309.0,310.0,Ph.D or Ed.D.,no,,,,,,,,,,,,,309.0,,Ph.D or Ed.D.,no
18677,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,,,,17100.0,49999.0,45100.0,42200.0,43900.0,Yes,,406.0,134.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,,,,,404.0,,no,404.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes,404.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,no,,,,
66047,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,Ph.D or Ed.D.,103.0,506.0,45100.0,44900.0,21100.0,,,Yes,no,103.0,,Ph.D or Ed.D.,yes,103.0,,Ph.D or Ed.D.,yes,103.0,,yes,103.0,,"Bachelor's degree (B.A., B.S., etc.)",no,,,,,,,,,
58682,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,,,,11200.0,45100.0,45100.0,62900.0,41900.0,Yes,,400.0,300.0,"Bachelor's degree (B.A., B.S., etc.)",no,406.0,,"Bachelor's degree (B.A., B.S., etc.)",no,406.0,,no,406.0,,"Bachelor's degree (B.A., B.S., etc.)",no,406.0,,"Bachelor's degree (B.A., B.S., etc.)",no,yes,406.0,,"Bachelor's degree (B.A., B.S., etc.)",yes
81199,Private independent college-prep school,Same sex- female,A-,A-,5 or more,5 or more,,,,11300.0,25200.0,45100.0,45200.0,,No,,128.0,116.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,,,,,,,,,,,,,,,,,,,,
85679,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",400.0,109.0,45100.0,11300.0,11300.0,45100.0,,No,no,,,,,,,,,,,,,,,,,,,,,,,,
79834,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",507.0,,43100.0,45200.0,13200.0,45100.0,45100.0,Yes,no,507.0,,Ph.D or Ed.D.,no,507.0,,Ph.D or Ed.D.,no,507.0,,no,507.0,,Ph.D or Ed.D.,no,507.0,,Ph.D or Ed.D.,yes,yes,507.0,,Ph.D or Ed.D.,no
93471,Private independent college-prep school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",129.0,129.0,13200.0,13200.0,43800.0,43100.0,54200.0,Yes,no,,,,,,,,,,,,,,,,510.0,,Other,no,,,,,
19538,Private religious/parochial school,Same sex- female,A or A+,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,109.0,43100.0,43100.0,45100.0,17100.0,17100.0,No,no,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,109.0,403.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,,,,,,,,,,,,,,,,
14595,Public school,A mixture of boys and girls,A-,A-,5 or more,5 or more,,,,11300.0,42900.0,45100.0,46300.0,43600.0,No,,,,"Master's Degree (M.A., M.S., MBA, etc.)",yes,,,,,,,,,,,,,,,,,,,,
38052,Private independent college-prep school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,,,,41900.0,13200.0,13200.0,43900.0,21100.0,No,,508.0,,Ph.D or Ed.D.,no,508.0,,Ph.D or Ed.D.,no,508.0,,no,508.0,,Ph.D or Ed.D.,no,508.0,,Ph.D or Ed.D.,yes,no,508.0,,Ph.D or Ed.D.,yes
33133,Private religious/parochial school,Same sex- female,A or A+,A or A+,5 or more,5 or more,Ph.D or Ed.D.,506.0,508.0,11200.0,43100.0,13200.0,16900.0,45100.0,Yes,no,507.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,507.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no,111.0,128.0,no,111.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,,,,,,,,,
40021,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,,,,43900.0,45200.0,13200.0,13200.0,,Yes,,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no,507.0,,no,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no,,,,,,,,,
27141,Private religious/parochial school,Same sex- female,A or A+,A or A+,3-4,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",511.0,,13200.0,45100.0,13200.0,21100.0,43400.0,Yes,yes,511.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes,,,,,,,,,,,,,,,,,,,,
93858,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",403.0,406.0,11300.0,12200.0,29200.0,59200.0,21200.0,Yes,yes,403.0,406.0,"Bachelor's degree (B.A., B.S., etc.)",no,,,,,,,,,,,,,,,,,406.0,,"Bachelor's degree (B.A., B.S., etc.)",
47810,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",309.0,,13200.0,13200.0,41900.0,43500.0,45100.0,Yes,yes,308.0,309.0,"Bachelor's degree (B.A., B.S., etc.)",yes,309.0,,"Bachelor's degree (B.A., B.S., etc.)",yes,309.0,,yes,309.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes,309.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes,no,,,,
58196,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",400.0,,21300.0,43600.0,25200.0,45100.0,45100.0,No,no,400.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,404.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,406.0,,no,403.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,405.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,no,405.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
42773,Public school,A mixture of boys and girls,A-,A-,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",507.0,,13200.0,45100.0,,,,Yes,no,507.0,,"M.D., D.O., D.D.S., or D.V.M.",yes,,,,,,,,,,,,,,,,,,,,
72152,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,3-4,1-2,"Bachelor's degree (B.A., B.S., etc.)",,,13200.0,13200.0,13200.0,43100.0,46100.0,Yes,no,,,,,,,,,,,,,,,,,,,,,,,,
76663,Private independent college-prep school,A mixture of boys and girls,A or A+,A or A+,0,1-2,,,,43100.0,12200.0,41200.0,43800.0,,Yes,,503.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes,511.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,511.0,,no,109.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,,,,,,,,,
48224,Private independent college-prep school,A mixture of boys and girls,A or A+,A or A+,Not offered at my high school,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",111.0,306.0,21300.0,43900.0,43500.0,,,No,no,306.0,111.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,306.0,111.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,,,,306.0,111.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,306.0,111.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,,306.0,111.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
30137,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,,,,11300.0,11300.0,,,,No,,403.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,403.0,128.0,J.D. (Law),yes,403.0,128.0,no,403.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,403.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no,no,,,,
68318,Private religious/parochial school,Same sex- female,A or A+,A or A+,5 or more,5 or more,,,,13200.0,21200.0,45100.0,43100.0,43100.0,No,,502.0,,Ph.D or Ed.D.,no,502.0,134.0,Ph.D or Ed.D.,no,502.0,,no,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no,no,507.0,,Ph.D or Ed.D.,no
62246,Private religious/parochial school,Same sex- male,A or A+,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",309.0,301.0,41200.0,13200.0,43100.0,13200.0,41900.0,Yes,no,309.0,301.0,"Bachelor's degree (B.A., B.S., etc.)",no,309.0,,"Bachelor's degree (B.A., B.S., etc.)",no,309.0,,no,309.0,,"Bachelor's degree (B.A., B.S., etc.)",yes,309.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,no,309.0,,"Bachelor's degree (B.A., B.S., etc.)",no
69496,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,1-2,1-2,Ph.D or Ed.D.,507.0,100.0,21200.0,17100.0,25200.0,45100.0,25200.0,No,yes,,,,,,,,,,,,,,,,,,,,,,,,
61028,Public magnet school,A mixture of boys and girls,A or A+,A or A+,3-4,3-4,,,,11300.0,11300.0,45100.0,43900.0,25200.0,No,,302.0,,"Bachelor's degree (B.A., B.S., etc.)",no,302.0,,"Bachelor's degree (B.A., B.S., etc.)",yes,302.0,,no,,,,,302.0,,"Bachelor's degree (B.A., B.S., etc.)",no,no,,,,
55424,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",,,11300.0,42200.0,41100.0,,,Yes,no,109.0,403.0,"Bachelor's degree (B.A., B.S., etc.)",yes,403.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",yes,401.0,109.0,no,401.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,401.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,no,,,,
17581,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,5 or more,1-2,"M.D., D.O., D.D.S., or D.V.M.",511.0,305.0,11300.0,11300.0,45100.0,45100.0,43100.0,Yes,no,,,,,,,,,,,,,,,,,,,,,,,,
23576,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,1-2,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",406.0,102.0,11300.0,11300.0,11300.0,45100.0,,Yes,no,400.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,403.0,109.0,no,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,403.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no,no,,,,
57842,Private religious/parochial school,Same sex- female,A or A+,A or A+,Not offered at my high school,Not offered at my high school,,,,11200.0,12200.0,43100.0,43400.0,43100.0,Yes,,404.0,131.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,404.0,131.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,404.0,131.0,no,,,,,,,,,,404.0,131.0,"Bachelor's degree (B.A., B.S., etc.)",no
17522,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,3-4,1-2,,,,42900.0,17100.0,41400.0,45100.0,13200.0,No,,511.0,100.0,"M.D., D.O., D.D.S., or D.V.M.",no,511.0,,"M.D., D.O., D.D.S., or D.V.M.",no,511.0,,no,511.0,,"M.D., D.O., D.D.S., or D.V.M.",no,,,,,no,511.0,,"M.D., D.O., D.D.S., or D.V.M.",no
55685,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,,,,11300.0,43100.0,42200.0,12200.0,43500.0,Yes,,401.0,135.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,,,,,,,,,,,,,,,,,,,,
74079,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,,,,11100.0,11300.0,11200.0,11300.0,46100.0,No,,404.0,403.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,,,,,,,,,,,,,,,,,,,,
97833,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,407.0,13200.0,13200.0,49999.0,12900.0,,Yes,no,403.0,134.0,"Bachelor's degree (B.A., B.S., etc.)",no,403.0,134.0,"Bachelor's degree (B.A., B.S., etc.)",no,,,,,,,,,,,,,,,,
11992,Public school,Same sex- female,A or A+,A or A+,Not offered at my high school,Not offered at my high school,,,,45100.0,21300.0,21200.0,45100.0,21100.0,No,,109.0,128.0,Ph.D or Ed.D.,no,,,,,,,,,,,,,,,,,,,,
93485,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,135.0,11300.0,11100.0,41200.0,41200.0,21300.0,Yes,no,403.0,135.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,,,,,401.0,135.0,no,403.0,135.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,403.0,135.0,"Bachelor's degree (B.A., B.S., etc.)",no,no,,,,
34402,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",403.0,401.0,13200.0,13200.0,45200.0,43100.0,43500.0,Yes,yes,401.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes,,,,,,,,,,,,,,,,,,,,
62617,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",134.0,510.0,11300.0,11200.0,43900.0,41200.0,43900.0,Yes,no,134.0,129.0,"M.D., D.O., D.D.S., or D.V.M.",no,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no,507.0,,no,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no,507.0,,"M.D., D.O., D.D.S., or D.V.M.",yes,no,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no
42137,Private religious/parochial school,Same sex- female,A or A+,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",303.0,,13200.0,41200.0,25200.0,21100.0,43400.0,Yes,no,303.0,125.0,"Bachelor's degree (B.A., B.S., etc.)",no,303.0,,"Bachelor's degree (B.A., B.S., etc.)",no,303.0,,no,303.0,,"Bachelor's degree (B.A., B.S., etc.)",no,303.0,,"Bachelor's degree (B.A., B.S., etc.)",no,no,,,,
37305,Public school,A mixture of boys and girls,A-,A-,1-2,1-2,"Bachelor's degree (B.A., B.S., etc.)",406.0,111.0,25200.0,44200.0,11300.0,43900.0,41200.0,Yes,yes,406.0,111.0,"Bachelor's degree (B.A., B.S., etc.)",no,,,,,406.0,111.0,yes,406.0,111.0,"Bachelor's degree (B.A., B.S., etc.)",yes,406.0,111.0,"Bachelor's degree (B.A., B.S., etc.)",no,,,,,
48013,Private religious/parochial school,Same sex- female,A-,A-,1-2,1-2,"M.D., D.O., D.D.S., or D.V.M.",503.0,,42100.0,44100.0,13200.0,59200.0,43400.0,Yes,no,128.0,,"Bachelor's degree (B.A., B.S., etc.)",yes,128.0,,"Bachelor's degree (B.A., B.S., etc.)",yes,102.0,,no,102.0,,"Bachelor's degree (B.A., B.S., etc.)",no,,,,,no,102.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes
44447,Private religious/parochial school,Same sex- female,A or A+,A or A+,5 or more,5 or more,J.D. (Law),128.0,,43100.0,11300.0,43100.0,43500.0,43100.0,Yes,no,,,,,,,,,,,,,,,,,,,,,,,,
14571,Private religious/parochial school,A mixture of boys and girls,B-,B-,5 or more,5 or more,Ph.D or Ed.D.,503.0,305.0,45200.0,45100.0,45100.0,45100.0,45100.0,No,no,503.0,514.0,Ph.D or Ed.D.,no,503.0,514.0,Ph.D or Ed.D.,no,503.0,501.0,no,503.0,501.0,Ph.D or Ed.D.,no,,,,,no,503.0,,Ph.D or Ed.D.,no
69057,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",309.0,400.0,45100.0,16100.0,45100.0,45100.0,63900.0,No,no,309.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,309.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,309.0,,yes,309.0,,"Bachelor's degree (B.A., B.S., etc.)",no,309.0,,"Bachelor's degree (B.A., B.S., etc.)",no,no,309.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
49125,Public school,A mixture of boys and girls,A-,A-,1-2,1-2,,,,45100.0,53200.0,13200.0,17300.0,,No,,131.0,,Ph.D or Ed.D.,yes,,,,,,,,,,,,,,,,,131.0,,"Bachelor's degree (B.A., B.S., etc.)",yes
66629,Private independent college-prep school,Same sex- female,A-,A-,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",200.0,,13200.0,13200.0,42200.0,43400.0,44900.0,Yes,no,130.0,108.0,"Bachelor's degree (B.A., B.S., etc.)",no,108.0,130.0,"Bachelor's degree (B.A., B.S., etc.)",no,,,,,,,,,,,,,,,,
83542,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",,,11200.0,45100.0,43900.0,43500.0,21100.0,Yes,no,110.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,,,,,110.0,,no,110.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,110.0,118.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,no,110.0,118.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
18222,Private independent college-prep school,A mixture of boys and girls,A-,A-,Not offered at my high school,Not offered at my high school,,,,11200.0,45100.0,14900.0,43100.0,45100.0,Yes,,305.0,306.0,Ph.D or Ed.D.,no,305.0,306.0,Ph.D or Ed.D.,no,305.0,,no,305.0,,Ph.D or Ed.D.,no,305.0,,Ph.D or Ed.D.,no,no,,,,
39738,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,J.D. (Law),128.0,,13200.0,45200.0,43100.0,43100.0,43400.0,Yes,no,128.0,101.0,J.D. (Law),no,128.0,,J.D. (Law),no,128.0,,yes,402.0,,"Bachelor's degree (B.A., B.S., etc.)",no,402.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,,,,,
26858,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",503.0,510.0,13200.0,13200.0,44900.0,43800.0,21100.0,No,no,510.0,103.0,"M.D., D.O., D.D.S., or D.V.M.",yes,510.0,103.0,"M.D., D.O., D.D.S., or D.V.M.",no,510.0,,no,510.0,,"M.D., D.O., D.D.S., or D.V.M.",no,510.0,,"M.D., D.O., D.D.S., or D.V.M.",no,no,510.0,,"M.D., D.O., D.D.S., or D.V.M.",yes
70552,Public school,A mixture of boys and girls,A or A+,A or A+,1-2,1-2,,,,21100.0,21200.0,43100.0,45100.0,,Yes,,111.0,,"Bachelor's degree (B.A., B.S., etc.)",no,111.0,,"Bachelor's degree (B.A., B.S., etc.)",no,,,,,,,,,,,,,,,,
38826,Private religious/parochial school,Same sex- female,A-,A-,5 or more,5 or more,,,,61200.0,43500.0,45100.0,63900.0,11300.0,Yes,,131.0,135.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,,,,,131.0,135.0,no,131.0,135.0,Ph.D or Ed.D.,no,131.0,135.0,Ph.D or Ed.D.,no,no,,,,
93504,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,,,,21100.0,43100.0,45200.0,21100.0,44900.0,No,,406.0,106.0,Ph.D or Ed.D.,yes,400.0,106.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,106.0,406.0,no,106.0,406.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes,406.0,106.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes,,406.0,106.0,"Bachelor's degree (B.A., B.S., etc.)",yes
64232,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,3-4,3-4,"M.D., D.O., D.D.S., or D.V.M.",507.0,510.0,11300.0,11300.0,43100.0,63900.0,45100.0,Yes,no,510.0,,"M.D., D.O., D.D.S., or D.V.M.",no,507.0,,"M.D., D.O., D.D.S., or D.V.M.",yes,507.0,,no,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no,507.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,no,507.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
37404,Private independent college-prep school,A mixture of boys and girls,A-,A-,Not offered at my high school,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",401.0,,21300.0,13200.0,54900.0,,,Yes,no,401.0,134.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes,401.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes,401.0,,no,401.0,,"Bachelor's degree (B.A., B.S., etc.)",yes,401.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes,no,401.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
