egoid,hs_1,hssex_1,hsgrade_1,hsgrade_1,apcourses_1,apexams_1,degreeintent_1,major1rc_1,major2rc_1,hsclub1rc_1,hsclub2rc_1,hsclub3rc_1,hsclub4rc_1,hsclub5rc_1,ndfirst_1,majorevent_1,major1rc_2,major2rc_2,degreeintent_2,majorevent_2,major1rc_3,major2rc_3,degreeintent_3,majorevent_3,major1rc_4,major2rc_4,majorevent_4,major1rc_5,major2rc_5,degreeintent_5,majorevent_5,major1rc_6,major2rc_6,degreeintent_6,majorevent_6,majorevent_7,major1rc_8,major2rc_8,degreeintent_8,majorevent_8
31439,Private independent college-prep school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",510.0,131.0,17100.0,13200.0,43400.0,42200.0,,Yes,yes,501.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes,501.0,,"Bachelor's degree (B.A., B.S., etc.)",no,501.0,,no,501.0,,"Bachelor's degree (B.A., B.S., etc.)",no,501.0,,"Bachelor's degree (B.A., B.S., etc.)",no,no,,,,
21899,Public school,A mixture of boys and girls,A-,A-,5 or more,5 or more,,,,13200.0,13200.0,45100.0,63100.0,,Yes,,302.0,309.0,"Bachelor's degree (B.A., B.S., etc.)",yes,302.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,,,,302.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,302.0,,"Bachelor's degree (B.A., B.S., etc.)",no,,,,,
29232,Private religious/parochial school,Same sex- female,A or A+,A or A+,5 or more,5 or more,J.D. (Law),302.0,128.0,11300.0,41200.0,43100.0,45100.0,,Yes,no,308.0,100.0,Ph.D or Ed.D.,no,,,,,,,,,,,,,,,,,,,,
32249,Public magnet school,A mixture of boys and girls,A or A+,A or A+,5 or more,3-4,,,,13200.0,13200.0,43100.0,42200.0,43400.0,Yes,,406.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,,,,,403.0,404.0,no,403.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,,,,,,,,,
45375,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,3-4,J.D. (Law),,,13200.0,13200.0,13200.0,45200.0,42900.0,Yes,no,109.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,109.0,,"Bachelor's degree (B.A., B.S., etc.)",no,,,,109.0,,"Bachelor's degree (B.A., B.S., etc.)",no,,,,,,,,,
25536,Public magnet school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",302.0,309.0,41200.0,12900.0,43400.0,42300.0,45100.0,Yes,no,306.0,305.0,"Bachelor's degree (B.A., B.S., etc.)",no,,,,,,,,306.0,,"Bachelor's degree (B.A., B.S., etc.)",no,,,,,,,,,
32037,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,J.D. (Law),110.0,514.0,45100.0,21200.0,21100.0,45200.0,45100.0,No,yes,401.0,514.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,400.0,501.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,,,,402.0,501.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes,,,,,,,,,
90476,Private religious/parochial school,Same sex- male,A-,A-,5 or more,5 or more,,,,45200.0,13200.0,45100.0,13200.0,,Yes,,511.0,510.0,"M.D., D.O., D.D.S., or D.V.M.",no,,,,,,,,,,,,,,,,,,,,
46558,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",301.0,,45100.0,45100.0,,,,Yes,no,301.0,309.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,301.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,301.0,,no,301.0,,"Bachelor's degree (B.A., B.S., etc.)",no,301.0,,"Bachelor's degree (B.A., B.S., etc.)",no,no,,,,
24016,Private religious/parochial school,Same sex- female,A or A+,A or A+,5 or more,5 or more,,,,11300.0,43100.0,41200.0,,,Yes,,128.0,109.0,J.D. (Law),no,,,,,128.0,109.0,no,,,,,,,,,,,,,
52277,Private religious/parochial school,Same sex- female,A or A+,A or A+,5 or more,5 or more,Ph.D or Ed.D.,110.0,,21900.0,21100.0,25200.0,,,No,no,110.0,111.0,Ph.D or Ed.D.,no,,,,,,,,,,,,,,,,,,,,
93699,Public school,A mixture of boys and girls,A-,A-,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",401.0,,21100.0,13200.0,43400.0,21300.0,45100.0,No,no,401.0,401.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,401.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,401.0,,no,401.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,401.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes,yes,401.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
