egoid,exercisealone_7,exerciseothers_7,clubsports_7,swimming_7
33341,,,,
65072,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
37148,,,,
11910,,,,
75438,,,,
99733,1-2 times a week,1-2 times a week,Not at all,Less than 1-2 times a month
27407,Three times a week or more,1-2 times a month,1-2 times a week,Not at all
14250,,,,
43794,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all
73918,,,,
60216,,,,
28681,,,,
51437,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all
21932,Three times a week or more,Not at all,1-2 times a month,Not at all
29733,Three times a week or more,1-2 times a month,Not at all,Not at all
98206,,,,
36385,Three times a week or more,Three times a week or more,1-2 times a week,Not at all
54030,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month
67993,,,,
96543,,,,
49800,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
29296,,,,
11002,,,,
72850,,,,
15134,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
69124,,,,
34062,Not at all,Three times a week or more,Not at all,Three times a week or more
18111,Three times a week or more,1-2 times a month,Not at all,Not at all
42646,Three times a week or more,1-2 times a week,Not at all,Not at all
63922,,,,
59097,,,,
72912,,,,
91484,,,,
24833,,,,
21971,1-2 times a month,1-2 times a month,1-2 times a month,Not at all
13928,,,,
84502,1-2 times a month,Three times a week or more,Not at all,Not at all
64090,,,,
52123,,,,
78783,,,,
25197,Three times a week or more,1-2 times a month,Not at all,Not at all
35872,,,,
23270,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a week
69807,Less than 1-2 times a month,Not at all,Not at all,Not at all
92716,Three times a week or more,Three times a week or more,1-2 times a week,Not at all
66061,,,,
56058,,,,
57854,,,,
68679,,,,
90750,,,,
70125,,,,
67192,Less than 1-2 times a month,Not at all,Not at all,Not at all
12029,1-2 times a week,1-2 times a week,Not at all,Less than 1-2 times a month
70745,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all
93856,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
10237,Less than 1-2 times a month,Three times a week or more,Not at all,Not at all
97448,Three times a week or more,1-2 times a month,Not at all,Not at all
89165,,,,
97280,,,,
54098,1-2 times a month,1-2 times a month,Not at all,Not at all
66156,1-2 times a month,1-2 times a week,Not at all,Not at all
67177,1-2 times a week,Not at all,Not at all,Not at all
22540,,,,
15586,,,,
18611,Three times a week or more,Not at all,Not at all,Not at all
87328,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
88963,,,,
57045,,,,
49497,Not at all,Not at all,Not at all,Not at all
15031,,,,
79607,,,,
41952,,,,
17183,Not at all,Not at all,Not at all,Not at all
22408,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
54435,,,,
38554,,,,
38293,1-2 times a month,Three times a week or more,Three times a week or more,Less than 1-2 times a month
33785,Three times a week or more,Not at all,Not at all,Not at all
44310,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
33009,1-2 times a week,Less than 1-2 times a month,1-2 times a week,1-2 times a week
31294,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
65143,,,,
91726,,,,
59355,,,,
96184,,,,
92339,,,,
70005,,,,
64157,,,,
68050,,,,
46151,,,,
79395,,,,
59863,,,,
63419,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
22913,1-2 times a month,1-2 times a month,Not at all,Not at all
91313,Three times a week or more,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month
14511,,,,
73962,,,,
48969,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
22093,,,,
32919,,,,
79731,,,,
64296,1-2 times a month,1-2 times a week,Not at all,1-2 times a week
23487,,,,
17569,Less than 1-2 times a month,Three times a week or more,1-2 times a week,Less than 1-2 times a month
77036,1-2 times a week,Not at all,1-2 times a month,Not at all
53518,,,,
92340,,,,
37485,,,,
33953,,,,
53333,,,,
82986,1-2 times a week,1-2 times a week,1-2 times a month,Not at all
61772,,,,
47280,,,,
70566,,,,
82964,,,,
11402,Three times a week or more,1-2 times a week,Not at all,Not at all
38610,1-2 times a month,1-2 times a week,1-2 times a week,Not at all
96610,Three times a week or more,Not at all,Not at all,Not at all
77711,1-2 times a month,1-2 times a week,1-2 times a week,Not at all
78667,,,,
17020,1-2 times a week,1-2 times a week,1-2 times a month,Less than 1-2 times a month
48676,Not at all,Not at all,Not at all,Not at all
29885,,,,
79167,Three times a week or more,1-2 times a week,Not at all,Less than 1-2 times a month
65061,,,,
43710,Less than 1-2 times a month,Three times a week or more,Less than 1-2 times a month,Three times a week or more
22455,Three times a week or more,Not at all,Less than 1-2 times a month,Not at all
82819,,,,
67771,,,,
57443,1-2 times a month,1-2 times a week,Not at all,Not at all
96469,1-2 times a week,Not at all,Not at all,Not at all
94579,Three times a week or more,1-2 times a week,1-2 times a month,1-2 times a month
29257,1-2 times a week,1-2 times a month,1-2 times a month,Not at all
23518,Less than 1-2 times a month,Not at all,Not at all,Not at all
80484,,,,
49539,Not at all,Not at all,Not at all,Not at all
63904,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
82490,1-2 times a month,Less than 1-2 times a month,1-2 times a month,Less than 1-2 times a month
20335,,,,
35031,,,,
88185,,,,
35344,,,,
31175,Less than 1-2 times a month,Not at all,1-2 times a month,Not at all
41167,,,,
98325,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
36963,,,,
50666,1-2 times a week,1-2 times a month,Not at all,Not at all
98624,,,,
42617,Three times a week or more,Not at all,Not at all,Not at all
58793,,,,
25125,,,,
25548,1-2 times a week,1-2 times a month,1-2 times a month,Not at all
25966,1-2 times a month,1-2 times a month,Not at all,Not at all
96689,Not at all,Less than 1-2 times a month,Not at all,Not at all
43581,Not at all,Not at all,Not at all,Not at all
75578,,,,
43507,,,,
91551,,,,
19030,,,,
33657,Not at all,1-2 times a month,Not at all,Not at all
76521,,,,
52848,,,,
40231,,,,
65656,1-2 times a week,1-2 times a month,Not at all,Not at all
36117,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
82587,Three times a week or more,Three times a week or more,Not at all,Not at all
14690,,,,
