egoid,major1rc_4,major2rc_4,majorevent_4
26581,309.0,131.0,
66642,309.0,131.0,
83612,503.0,131.0,no
63954,309.0,131.0,
20665,309.0,131.0,
19122,301.0,131.0,no
99978,309.0,137.0,no
92566,110.0,128.0,no
39414,200.0,131.0,no
35987,305.0,131.0,no
66655,309.0,131.0,
10547,309.0,131.0,
46373,128.0,131.0,no
79341,511.0,109.0,no
19591,403.0,131.0,no
83536,306.0,131.0,yes
66682,309.0,131.0,
88337,309.0,131.0,
67608,503.0,129.0,yes
19735,200.0,131.0,no
42513,309.0,131.0,
64595,309.0,131.0,
85134,309.0,131.0,
51952,309.0,131.0,
28837,309.0,131.0,
46266,303.0,131.0,yes
61289,309.0,131.0,
18743,309.0,131.0,
13647,309.0,131.0,
59207,302.0,131.0,no
48946,508.0,131.0,no
86083,130.0,109.0,no
96613,403.0,501.0,no
49014,309.0,131.0,
50766,305.0,131.0,no
71089,305.0,111.0,no
80980,309.0,131.0,no
29115,309.0,131.0,
98462,501.0,131.0,no
94455,309.0,131.0,
11148,309.0,131.0,
88384,309.0,131.0,
60904,309.0,131.0,
64302,303.0,131.0,no
51882,309.0,131.0,
54200,309.0,131.0,
22688,306.0,504.0,no
38815,305.0,131.0,no
34525,309.0,131.0,
68404,406.0,131.0,no
71836,309.0,131.0,
12748,309.0,131.0,
33445,309.0,131.0,
83078,309.0,131.0,
72160,309.0,131.0,
55569,309.0,131.0,
72885,305.0,131.0,no
47006,309.0,131.0,
36574,309.0,131.0,
71193,109.0,135.0,no
44070,309.0,131.0,
49010,309.0,131.0,
98760,302.0,510.0,yes
95374,131.0,128.0,no
71985,403.0,402.0,no
43125,109.0,403.0,no
98117,503.0,131.0,no
22989,109.0,131.0,no
24883,502.0,131.0,yes
65068,309.0,131.0,
20650,128.0,131.0,no
19460,309.0,131.0,
66815,507.0,131.0,no
89161,403.0,501.0,no
54956,131.0,131.0,no
14847,401.0,131.0,yes
85453,309.0,131.0,no
19827,309.0,131.0,no
31121,309.0,131.0,
38683,309.0,131.0,
82918,309.0,131.0,
43382,306.0,131.0,no
44344,128.0,131.0,yes
94215,302.0,131.0,no
80675,309.0,131.0,
57144,511.0,131.0,no
94662,309.0,131.0,
98700,309.0,131.0,
44675,309.0,131.0,
33341,309.0,131.0,
37396,309.0,131.0,
65072,309.0,131.0,
37148,309.0,131.0,
11910,309.0,131.0,
75438,401.0,106.0,no
99733,305.0,131.0,yes
27407,309.0,131.0,no
14250,401.0,131.0,no
43794,309.0,131.0,no
73918,309.0,131.0,
60216,302.0,131.0,no
