egoid,major1rc_6,major2rc_6,degreeintent_6,majorevent_6
66047,401.0,128.0,,
58682,406.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
79834,507.0,128.0,Ph.D or Ed.D.,yes
93471,510.0,128.0,Other,no
19538,401.0,128.0,,
38052,508.0,128.0,Ph.D or Ed.D.,yes
33133,401.0,128.0,,
40021,401.0,128.0,,
27141,401.0,128.0,,
93858,401.0,128.0,,
47810,309.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
58196,405.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
42773,401.0,128.0,,
76663,401.0,128.0,,
48224,306.0,111.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
30137,403.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
68318,507.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
62246,309.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
61028,302.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
55424,401.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
17581,401.0,128.0,,
23576,403.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
17522,401.0,128.0,,
97833,401.0,128.0,,
93485,403.0,135.0,"Bachelor's degree (B.A., B.S., etc.)",no
62617,507.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",yes
42137,303.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
37305,406.0,111.0,"Bachelor's degree (B.A., B.S., etc.)",no
48013,401.0,128.0,,
44447,401.0,128.0,,
14571,401.0,128.0,,
69057,309.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
66629,401.0,128.0,,
83542,110.0,118.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
18222,305.0,128.0,Ph.D or Ed.D.,no
39738,402.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
26858,510.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
93504,406.0,106.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
64232,507.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
37404,401.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
25961,401.0,128.0,,
87330,401.0,128.0,,
92028,401.0,128.0,,
82248,116.0,135.0,J.D. (Law),yes
28824,401.0,128.0,,
11482,401.0,128.0,,
69936,302.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
37001,403.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
70492,511.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
95543,305.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
21380,302.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
67106,401.0,128.0,,
25495,401.0,128.0,,
26581,401.0,128.0,,
66642,309.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
83612,503.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
63954,401.0,128.0,,
20665,401.0,128.0,,
19122,301.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
99978,401.0,128.0,,
92566,110.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
39414,401.0,128.0,,
35987,305.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
66655,401.0,128.0,,
10547,401.0,128.0,,
46373,406.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
79341,511.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
19591,403.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
83536,401.0,128.0,,
66682,401.0,128.0,,
88337,401.0,128.0,,
67608,503.0,129.0,"M.D., D.O., D.D.S., or D.V.M.",no
19735,401.0,128.0,,
42513,401.0,128.0,,
51952,401.0,128.0,,
46266,401.0,128.0,,
61289,401.0,128.0,,
18743,401.0,128.0,,
59207,302.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
48946,401.0,128.0,,
86083,109.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
96613,401.0,128.0,,
49014,503.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
50766,305.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
71089,305.0,111.0,"Bachelor's degree (B.A., B.S., etc.)",no
80980,309.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
29115,401.0,128.0,,
98462,501.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
94455,401.0,128.0,,
11148,401.0,128.0,,
88384,401.0,128.0,,
64302,303.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
22688,306.0,504.0,Ph.D or Ed.D.,no
38815,305.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
34525,302.0,128.0,Ph.D or Ed.D.,no
68404,406.0,131.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
71836,401.0,128.0,,
12748,401.0,128.0,,
33445,401.0,128.0,,
83078,401.0,128.0,,
72160,401.0,128.0,,
55569,305.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",yes
72885,305.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
36574,116.0,128.0,J.D. (Law),no
71193,109.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
44070,402.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
49010,403.0,106.0,"Bachelor's degree (B.A., B.S., etc.)",no
98760,401.0,128.0,,
95374,128.0,131.0,J.D. (Law),no
71985,402.0,111.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
