egoid,exercisealone_4,clubsports_4,exerciseothers_4,swimming_4
50766,Less than 1-2 times a month,1-2 times a week,Three times a week or more,Not at all
71089,Not at all,Not at all,Not at all,Not at all
80980,1-2 times a month,Not at all,1-2 times a month,Not at all
29115,,,,
98462,1-2 times a week,1-2 times a week,Not at all,Not at all
94455,,,,
11148,,,,
88384,,,,
64302,Not at all,1-2 times a week,Not at all,Not at all
22688,Not at all,Less than 1-2 times a month,Three times a week or more,1-2 times a month
38815,Three times a week or more,Not at all,Less than 1-2 times a month,Not at all
34525,,,,
68404,1-2 times a month,Three times a week or more,Not at all,Not at all
71836,,,,
12748,,,,
33445,,,,
83078,,,,
72160,,,,
55569,,,,
72885,1-2 times a month,Not at all,Not at all,Not at all
36574,,,,
71193,1-2 times a month,Not at all,Not at all,Not at all
44070,,,,
49010,,,,
98760,Three times a week or more,Not at all,Not at all,Not at all
95374,Not at all,Not at all,Not at all,Not at all
71985,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
43125,Not at all,Not at all,Not at all,Not at all
98117,Not at all,Not at all,Not at all,Not at all
22989,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
24883,1-2 times a month,Not at all,Not at all,Not at all
20650,Less than 1-2 times a month,Not at all,1-2 times a month,Not at all
19460,,,,
66815,Less than 1-2 times a month,Less than 1-2 times a month,Three times a week or more,Not at all
89161,1-2 times a week,1-2 times a month,1-2 times a month,Not at all
54956,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month
14847,Three times a week or more,Not at all,Not at all,Not at all
85453,Three times a week or more,1-2 times a week,1-2 times a week,Less than 1-2 times a month
19827,Not at all,1-2 times a week,Three times a week or more,Not at all
31121,,,,
38683,,,,
82918,,,,
43382,Not at all,Not at all,Not at all,Not at all
44344,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
94215,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
80675,,,,
57144,Not at all,Not at all,Three times a week or more,Less than 1-2 times a month
94662,,,,
98700,,,,
33341,,,,
65072,,,,
37148,,,,
11910,,,,
75438,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
99733,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
27407,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
14250,Less than 1-2 times a month,1-2 times a month,Less than 1-2 times a month,1-2 times a month
43794,1-2 times a month,1-2 times a month,1-2 times a week,Not at all
73918,,,,
60216,Three times a week or more,Not at all,Three times a week or more,Not at all
28681,,,,
51437,Three times a week or more,Three times a week or more,1-2 times a month,Not at all
21932,1-2 times a week,1-2 times a month,1-2 times a week,Not at all
29733,,,,
98206,Not at all,1-2 times a week,1-2 times a week,Not at all
36385,1-2 times a week,1-2 times a week,1-2 times a month,Not at all
54030,Not at all,1-2 times a week,1-2 times a week,Not at all
67993,1-2 times a month,Less than 1-2 times a month,1-2 times a month,Not at all
96543,1-2 times a week,Less than 1-2 times a month,1-2 times a month,Not at all
49800,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all
29296,,,,
11002,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
72850,1-2 times a week,1-2 times a week,Not at all,Not at all
15134,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
69124,,,,
34062,Three times a week or more,Not at all,Three times a week or more,Three times a week or more
18111,1-2 times a week,Not at all,1-2 times a week,Less than 1-2 times a month
42646,Three times a week or more,Not at all,1-2 times a month,Not at all
63922,,,,
59097,1-2 times a month,1-2 times a week,1-2 times a month,Not at all
72912,,,,
91484,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all
24833,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
21971,,,,
13928,,,,
84502,1-2 times a week,Less than 1-2 times a month,Three times a week or more,Less than 1-2 times a month
64090,,,,
52123,1-2 times a month,1-2 times a week,1-2 times a month,Not at all
78783,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
25197,1-2 times a week,Less than 1-2 times a month,1-2 times a week,Not at all
