egoid,sexorientation_6,sexcontacttype_6,sexattracttype_6
36963,,,
50666,,,
98624,,,
42617,Heterosexual or straight,Men only,Only attracted to males
58793,,,
25125,Heterosexual or straight,Men only,Mostly attracted to males
25548,Gay or lesbian,Both men and women,Mostly attracted to males
25966,Gay or lesbian,Men only,Only attracted to females
96689,Heterosexual or straight,I have not had sexual contact,Only attracted to males
43581,Heterosexual or straight,Men only,Only attracted to males
75578,,,
43507,,,
91551,,,
19030,,,
33657,Other,Men only,Not sure
76521,,,
52848,,,
40231,,,
65656,Heterosexual or straight,Men only,Only attracted to females
36117,Heterosexual or straight,Women only,Only attracted to females
82587,Heterosexual or straight,Men only,Only attracted to males
14690,,,
40569,,,
26320,Heterosexual or straight,Men only,Only attracted to females
77532,Heterosexual or straight,I have not had sexual contact,Only attracted to males
92515,Heterosexual or straight,Women only,Only attracted to females
97844,Heterosexual or straight,Women only,Only attracted to females
33127,,,
45958,,,
49790,,,
74251,,,
28326,,,
20507,,,
71592,,,
15181,Heterosexual or straight,Women only,Only attracted to females
70209,,,
78657,,,
21887,,,
48154,Heterosexual or straight,Men only,Only attracted to males
92953,,,
90192,,,
51495,Heterosexual or straight,I have not had sexual contact,Only attracted to females
34344,,,
21793,,,
37218,,,
17932,Heterosexual or straight,Women only,Only attracted to females
95026,Heterosexual or straight,Women only,Mostly attracted to females
66800,,,
73693,,,
80429,Heterosexual or straight,I have not had sexual contact,Only attracted to females
75149,Heterosexual or straight,Men only,Only attracted to males
61659,,,
81420,,,
33740,Heterosexual or straight,Men only,Mostly attracted to males
67709,Gay or lesbian,Men only,Mostly attracted to males
36552,Heterosexual or straight,I have not had sexual contact,Only attracted to males
14301,Heterosexual or straight,I have not had sexual contact,Only attracted to males
63138,Heterosexual or straight,Men only,Only attracted to males
51298,Heterosexual or straight,Women only,Only attracted to females
74632,Heterosexual or straight,Men only,Only attracted to males
16654,,,
54394,,,
84768,,,
29134,Heterosexual or straight,Men only,Mostly attracted to males
24029,Heterosexual or straight,I have not had sexual contact,Only attracted to females
35361,,,
49086,Heterosexual or straight,Men only,Only attracted to males
67917,,,
85503,Heterosexual or straight,Women only,Only attracted to females
60008,Heterosexual or straight,Women only,Only attracted to females
55881,,,
22119,,,
39285,,,
22460,,,
25172,Heterosexual or straight,Men only,Only attracted to males
77134,Heterosexual or straight,Men only,Only attracted to males
22143,,,
93766,,,
45097,,,
26289,,,
95490,Heterosexual or straight,Men only,Only attracted to males
66979,,,
23253,Heterosexual or straight,Men only,Only attracted to males
90079,Heterosexual or straight,I have not had sexual contact,Only attracted to males
47584,Heterosexual or straight,Women only,Only attracted to females
97990,Heterosexual or straight,I have not had sexual contact,Mostly attracted to males
39248,,,
29354,,,
91429,Heterosexual or straight,Men only,Only attracted to males
82269,Heterosexual or straight,Men only,Only attracted to males
22842,Heterosexual or straight,Women only,Mostly attracted to females
31311,,,
33084,,,
14279,Heterosexual or straight,Men only,Only attracted to males
91932,,,
32404,,,
73577,,,
43177,,,
36501,,,
26857,Heterosexual or straight,Women only,Only attracted to females
28327,,,
42674,,,
79897,,,
64978,,,
52302,Heterosexual or straight,Women only,Only attracted to females
97050,Heterosexual or straight,Men only,Only attracted to males
46418,,,
86691,,,
93002,Heterosexual or straight,I have not had sexual contact,Only attracted to males
56543,Heterosexual or straight,Men only,Only attracted to males
92618,,,
17470,,,
74211,,,
35180,,,
89142,Heterosexual or straight,Women only,Only attracted to females
24898,Heterosexual or straight,Women only,Only attracted to females
74413,,,
38824,,,
51723,Other,Both men and women,Not sure
79352,Heterosexual or straight,I have not had sexual contact,Only attracted to males
30814,,,
90502,,,
94456,,,
70661,,,
50976,Gay or lesbian,Men only,Mostly attracted to males
55533,,,
12156,,,
76485,,,
33239,Heterosexual or straight,Women only,Only attracted to females
72570,Bisexual,I have not had sexual contact,Mostly attracted to females
67574,Heterosexual or straight,Women only,Only attracted to females
42231,,,
84960,,,
31033,,,
10469,Heterosexual or straight,Men only,Only attracted to males
77789,Heterosexual or straight,I have not had sexual contact,Only attracted to males
47024,,,
88582,,,
83470,,,
67015,Heterosexual or straight,Men only,Only attracted to males
26272,,,
21909,,,
88882,Heterosexual or straight,Women only,Only attracted to females
31985,,,
91337,,,
87664,,,
19245,Heterosexual or straight,Women only,Only attracted to females
83748,,,
49915,Heterosexual or straight,Women only,Only attracted to females
