egoid,exercisealone_8,exerciseothers_8,clubsports_8,swimming_8
58682,1-2 times a month,1-2 times a week,1-2 times a month,Not at all
79834,Less than 1-2 times a month,Not at all,Not at all,Not at all
93471,Three times a week or more,1-2 times a month,Not at all,Not at all
19538,Three times a week or more,1-2 times a month,Not at all,Not at all
38052,Not at all,Three times a week or more,1-2 times a week,Not at all
33133,Three times a week or more,1-2 times a month,Not at all,Not at all
40021,Three times a week or more,1-2 times a month,Not at all,Not at all
27141,Three times a week or more,1-2 times a month,Not at all,Not at all
93858,Three times a week or more,1-2 times a month,Not at all,Not at all
47810,Three times a week or more,1-2 times a month,Not at all,Not at all
58196,Three times a week or more,1-2 times a week,Not at all,Not at all
42773,Three times a week or more,1-2 times a month,Not at all,Not at all
76663,Three times a week or more,1-2 times a month,Not at all,Not at all
48224,1-2 times a month,1-2 times a month,Not at all,Not at all
30137,Three times a week or more,1-2 times a month,Not at all,Not at all
68318,Three times a week or more,1-2 times a week,Not at all,Not at all
62246,1-2 times a week,1-2 times a week,Three times a week or more,Less than 1-2 times a month
61028,Three times a week or more,1-2 times a month,Not at all,Not at all
55424,Three times a week or more,1-2 times a month,Not at all,Not at all
17581,Three times a week or more,1-2 times a month,Not at all,Not at all
23576,Three times a week or more,1-2 times a month,Not at all,Not at all
17522,Three times a week or more,Not at all,Not at all,Not at all
97833,Three times a week or more,1-2 times a month,Not at all,Not at all
93485,Three times a week or more,1-2 times a month,Not at all,Not at all
62617,Three times a week or more,1-2 times a month,Less than 1-2 times a month,1-2 times a month
42137,Three times a week or more,1-2 times a month,Not at all,Not at all
37305,Three times a week or more,1-2 times a month,Not at all,Not at all
48013,Three times a week or more,1-2 times a week,Less than 1-2 times a month,1-2 times a month
44447,Three times a week or more,1-2 times a month,Not at all,Not at all
14571,1-2 times a week,Not at all,Not at all,Not at all
69057,Three times a week or more,Not at all,Less than 1-2 times a month,Not at all
66629,Three times a week or more,1-2 times a month,Not at all,Not at all
83542,1-2 times a week,Not at all,Less than 1-2 times a month,Not at all
18222,Three times a week or more,1-2 times a month,Not at all,Not at all
39738,Three times a week or more,1-2 times a month,Not at all,Not at all
26858,1-2 times a month,1-2 times a week,Not at all,Not at all
93504,1-2 times a week,Not at all,Not at all,Not at all
64232,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
37404,Three times a week or more,1-2 times a month,Not at all,Not at all
25961,Three times a week or more,1-2 times a month,Not at all,Not at all
87330,Three times a week or more,1-2 times a month,Not at all,Not at all
92028,Three times a week or more,1-2 times a month,Not at all,Not at all
82248,Not at all,Not at all,Not at all,Not at all
28824,Three times a week or more,1-2 times a month,Not at all,Not at all
11482,Three times a week or more,1-2 times a month,Not at all,Not at all
69936,Three times a week or more,1-2 times a month,Not at all,Not at all
37001,Three times a week or more,1-2 times a month,Not at all,Not at all
70492,Three times a week or more,1-2 times a month,Not at all,Not at all
95543,1-2 times a week,Not at all,Not at all,1-2 times a week
21380,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
67106,Three times a week or more,1-2 times a month,Not at all,Not at all
25495,1-2 times a week,Not at all,Not at all,1-2 times a week
26581,Three times a week or more,1-2 times a month,Not at all,Not at all
66642,Three times a week or more,1-2 times a month,Not at all,Not at all
83612,Three times a week or more,1-2 times a week,Not at all,Not at all
63954,Three times a week or more,1-2 times a month,Not at all,Not at all
20665,Three times a week or more,1-2 times a month,Not at all,Not at all
19122,Three times a week or more,1-2 times a month,Not at all,Not at all
99978,1-2 times a week,Three times a week or more,Three times a week or more,Not at all
92566,Three times a week or more,Not at all,Not at all,Not at all
39414,Three times a week or more,1-2 times a month,Not at all,Not at all
35987,Three times a week or more,1-2 times a month,Not at all,Not at all
66655,Three times a week or more,1-2 times a month,Not at all,Not at all
10547,Three times a week or more,1-2 times a month,Not at all,Not at all
46373,Three times a week or more,1-2 times a month,Not at all,Not at all
79341,Three times a week or more,1-2 times a month,Not at all,Not at all
19591,Three times a week or more,1-2 times a month,Not at all,Not at all
83536,Three times a week or more,1-2 times a month,Not at all,Not at all
66682,Three times a week or more,1-2 times a month,Not at all,Not at all
88337,Three times a week or more,1-2 times a month,Not at all,Not at all
67608,1-2 times a week,Not at all,1-2 times a month,Not at all
19735,Three times a week or more,1-2 times a month,Not at all,Not at all
42513,Three times a week or more,1-2 times a month,Not at all,Not at all
51952,Three times a week or more,1-2 times a month,Not at all,Not at all
46266,Three times a week or more,1-2 times a month,Not at all,Not at all
61289,Three times a week or more,1-2 times a month,Not at all,Not at all
18743,Three times a week or more,1-2 times a month,Not at all,Not at all
59207,Three times a week or more,Less than 1-2 times a month,1-2 times a month,Not at all
48946,Three times a week or more,1-2 times a month,Not at all,Not at all
86083,Three times a week or more,1-2 times a month,Not at all,Not at all
96613,Three times a week or more,1-2 times a month,Not at all,Not at all
49014,Three times a week or more,1-2 times a month,Not at all,Not at all
50766,Three times a week or more,1-2 times a month,Not at all,Not at all
71089,1-2 times a month,Not at all,Not at all,Not at all
80980,Three times a week or more,1-2 times a month,Not at all,Not at all
29115,Three times a week or more,1-2 times a month,Not at all,Not at all
98462,1-2 times a month,1-2 times a month,1-2 times a month,Not at all
94455,Three times a week or more,1-2 times a month,Not at all,Not at all
11148,Three times a week or more,1-2 times a month,Not at all,Not at all
88384,Three times a week or more,1-2 times a month,Not at all,Not at all
64302,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month
22688,Three times a week or more,1-2 times a month,Not at all,Not at all
38815,Three times a week or more,1-2 times a month,Not at all,Not at all
34525,Three times a week or more,1-2 times a month,Not at all,Not at all
68404,Three times a week or more,1-2 times a month,Not at all,Not at all
71836,Three times a week or more,1-2 times a month,Not at all,Not at all
12748,Three times a week or more,1-2 times a month,Not at all,Not at all
33445,Three times a week or more,1-2 times a month,Not at all,Not at all
83078,Three times a week or more,1-2 times a month,Not at all,Not at all
72160,Three times a week or more,1-2 times a month,Not at all,Not at all
55569,Three times a week or more,1-2 times a month,Not at all,Not at all
72885,Less than 1-2 times a month,Not at all,Not at all,Not at all
36574,Three times a week or more,1-2 times a month,Not at all,Not at all
71193,1-2 times a month,Not at all,Not at all,Not at all
44070,Three times a week or more,1-2 times a month,Not at all,Not at all
49010,Three times a week or more,1-2 times a month,Not at all,Not at all
98760,Three times a week or more,1-2 times a month,Not at all,Not at all
95374,Three times a week or more,1-2 times a month,Not at all,Not at all
71985,Three times a week or more,1-2 times a month,Not at all,Not at all
43125,Three times a week or more,1-2 times a month,Not at all,Not at all
98117,Three times a week or more,Not at all,Not at all,Not at all
22989,Three times a week or more,1-2 times a month,Not at all,Not at all
