egoid,SelfEsteem_1_4,SelfEsteem_2_4,SelfEsteem_3_4,SelfEsteem_4_4,SelfEsteem_5_4,SelfEsteem_6_4,SelfEsteem_7_4,SelfEsteem_8_4,SelfEsteem_9_4,SelfEsteem_10_4,SelfEsteem_4,SelfReg_1_4,SelfReg_3_4,SelfReg_4_4,SelfReg_5_4,SelfReg_6_4,SelfReg_7_4,SelfReg_8_4,SelfReg_9_4,SelfReg_10_4,SelfReg_11_4,SelfReg_12_4,SelfReg_13_4,selfreg_scale_4,Trust_1_4,Trust_2_4,Trust_3_4,Trust_4_4,Trust_5_4,Trust_6_4,Trust_4
33740,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,30.0,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,2.9166667,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,3.0
37979,,,,,,,,,,,38.18421052631579,,,,,,,,,,,,,2.332017539736842,,,,,,,3.238157894473684
87192,,,,,,,,,,,38.18421052631579,,,,,,,,,,,,,2.332017539736842,,,,,,,3.238157894473684
67709,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,33.0,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,3.3333333,Agree,Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,3.1666667
36552,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Disagree,Agree,40.0,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,2.0,Agree,Agree,Disagree,Agree,Agree,Agree,3.3333333
14301,Agree,Neither Agree nor Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Disagree,32.0,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Disagree,2.8333333,Neither Agree nor Disagree,Disagree,Disagree,Agree,Agree,Agree,3.5
36384,,,,,,,,,,,38.18421052631579,,,,,,,,,,,,,2.332017539736842,,,,,,,3.238157894473684
63138,Agree,Neither Agree nor Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Agree,38.0,Disagree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,2.0833333,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree,3.5
51298,Agree,Disagree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Agree,Disagree,Strongly Disagree,Agree,41.0,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,2.3333333,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree,3.5
74632,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,36.0,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,2.4166667,Agree,Agree,Disagree,Agree,Agree,Agree,3.3333333
