egoid,sexorientation_8,sexcontacttype_8,sexattracttype_8
70745,Heterosexual or straight,Men only,Only attracted to males
43255,,,
93856,Heterosexual or straight,Men only,Mostly attracted to males
10237,Heterosexual or straight,Men only,Mostly attracted to males
97448,Gay or lesbian,Both men and women,Only attracted to males
43603,,,
86974,,,
89165,,,
97280,,,
54098,,,
66156,Heterosexual or straight,Men only,Mostly attracted to males
67177,,,
22540,,,
70668,,,
15586,,,
27232,,,
18611,,,
87328,Heterosexual or straight,I have not had sexual contact,Only attracted to females
88963,,,
61756,,,
57045,Heterosexual or straight,Men only,Only attracted to males
49497,,,
15031,,,
79607,,,
41952,,,
17183,Gay or lesbian,I have not had sexual contact,Only attracted to males
22408,Heterosexual or straight,Women only,Only attracted to females
54435,,,
38554,,,
38293,Heterosexual or straight,Men only,Only attracted to males
33785,Gay or lesbian,Men only,Only attracted to males
44310,Heterosexual or straight,I have not had sexual contact,Only attracted to females
33009,,,
31294,Heterosexual or straight,I have not had sexual contact,Only attracted to males
65143,,,
91726,,,
59355,,,
96184,,,
92339,,,
70005,,,
64157,,,
68050,,,
46151,,,
79395,,,
59863,,,
63419,Heterosexual or straight,Men only,Only attracted to males
22913,,,
91313,,,
14511,,,
73962,,,
48969,Heterosexual or straight,Men only,Only attracted to males
22093,,,
32919,,,
10153,,,
79731,,,
63611,,,
64296,Heterosexual or straight,I have not had sexual contact,Only attracted to females
23487,,,
17569,Heterosexual or straight,I have not had sexual contact,Only attracted to females
77036,Heterosexual or straight,Men only,Only attracted to males
53518,,,
92340,,,
37485,,,
33953,,,
53333,,,
82986,Heterosexual or straight,I have not had sexual contact,Only attracted to males
61772,,,
47280,,,
70566,,,
82964,,,
11402,,,
38610,Heterosexual or straight,Men only,Only attracted to males
96610,Heterosexual or straight,I have not had sexual contact,Only attracted to males
77711,Heterosexual or straight,I have not had sexual contact,Mostly attracted to females
48505,,,
78667,,,
17020,,,
48676,Heterosexual or straight,Men only,Only attracted to males
29885,,,
32976,,,
79167,Heterosexual or straight,Men only,Only attracted to males
65061,,,
43710,Heterosexual or straight,Men only,Only attracted to males
61389,,,
22455,Heterosexual or straight,I have not had sexual contact,Only attracted to males
82819,,,
67771,,,
57443,Heterosexual or straight,Men only,Only attracted to males
