egoid,SelfEsteem_3,SRQE_Ext_3,SRQE_Introj_3,SRQE_Ident_3,SRQE_Intrin_3,selsa_rom_3,selsa_fam_3,selsa_soc_3,selfreg_scale_3
23287,36.0,2.25,2.75,5.5,5.5,-0.47845101,-0.49864259,0.50908011,2.3333333
28247,29.0,1.0,3.75,7.0,6.75,-0.091896392,-0.083728626,0.47812986,3.25
67544,39.0,1.0,4.0,6.0,5.75,0.91914964,0.62549865,-1.1682369,2.9166667
51760,47.0,3.0,4.0,6.0,5.25,-0.88561678,-0.60567421,-0.74303287,1.8333334
72806,44.0,1.25,2.0,6.75,6.75,0.57017291,0.060346115,-0.9853037,2.5
98766,50.0,2.25,2.25,6.25,6.75,-1.203936,-0.6038602,-0.73635274,1.25
60997,30.0,1.0,1.75,4.25,3.75,0.76476991,1.3814265,-1.1411607,3.3333333
36038,27.0,2.25,5.75,5.75,5.25,0.33375847,0.38626391,-0.34480989,2.75
39146,37.0,2.75,3.25,5.0,5.0,0.54020482,0.55657738,0.055513099,2.75
60963,30.0,1.0,2.75,5.0,5.25,-1.7854164,-0.14152631,1.6410353,2.0833333
67918,44.0,1.0,1.0,3.25,3.0,0.56752682,0.2201657,0.29858014,2.0833333
34467,42.0,3.0,3.5,6.25,6.0,1.0400856,-0.51346582,-0.48814884,2.0
90692,44.0,1.0,1.0,3.0,4.25,1.0412574,-0.64031315,-0.76140922,2.6666667
32668,38.0,1.25,4.0,4.5,4.5,0.14330731,-0.31906211,0.50437546,2.0
59673,49.0,1.0,2.5,4.25,3.0,0.82074094,-0.61023617,-0.81876045,2.1666667
74899,30.0,4.0,6.5,6.75,6.5,0.71865571,-0.31163615,-0.91885859,2.25
81807,41.0,1.25,1.75,6.0,6.5,0.61935478,-0.45979288,0.090842672,1.5833334
91176,26.0,1.0,1.0,2.5,1.0,0.88861459,2.2962332,-1.3221864,2.5833333
35011,50.0,1.0,2.25,5.0,4.0,0.85008007,-0.044089079,0.32263726,1.4166666
35416,33.0,1.75,3.25,4.5,4.25,0.94760025,-0.52170169,1.6882105,3.8333333
97596,35.0,1.5,3.25,7.0,7.0,-1.1814669,-0.20323861,0.19947648,2.3333333
