egoid,SelfEsteem_4,Trust_4,selfreg_scale_4
57359,35.0,3.3333333,2.5833333
17308,37.0,3.1666667,2.25
51851,46.0,2.5,1.5833334
77838,46.0,3.1666667,2.1666667
56798,50.0,4.3333335,2.332017539736842
77872,44.0,3.6666667,2.25
43114,48.0,3.3333333,2.25
72348,34.0,3.3333333,2.1666667
89607,40.0,3.0,3.0
59900,39.0,3.6666667,2.0
28254,40.0,3.3333333,2.0833333
56480,45.0,3.8333333,2.1666667
28820,30.0,3.0,3.5
35347,45.0,2.1666667,2.0
45641,32.0,3.3333333,2.8333333
64572,42.0,3.6666667,2.1666667
31538,45.0,3.8333333,1.5833334
73452,36.0,3.1666667,2.25
51475,37.0,2.8333333,1.9166666
28312,35.0,3.0,2.0
13486,50.0,4.0,1.3333334
56805,50.0,3.6666667,1.3333334
29718,38.0,3.6666667,2.0833333
26800,45.0,3.1666667,2.5
60493,36.0,2.5,2.5
47142,35.0,3.0,3.0
69217,36.0,4.0,2.1666667
74845,45.0,3.3333333,1.5
60396,33.0,3.8333333,2.0
61084,46.0,3.6666667,1.1666666
92412,44.0,3.0,1.4166666
92038,50.0,3.5,1.8333334
33388,33.0,1.3333334,3.75
86440,37.0,3.5,2.5833333
29792,40.0,3.6666667,2.6666667
14737,34.0,2.8333333,2.0833333
28223,50.0,3.0,2.0833333
28653,49.0,4.1666665,1.1666666
95559,45.0,3.3333333,2.75
30152,36.0,3.0,2.8333333
36939,40.0,3.0,3.3333333
59592,35.0,3.5,2.75
22897,40.0,3.6666667,2.1666667
89652,44.0,4.6666665,2.5833333
28724,39.0,3.3333333,1.9166666
69831,36.0,3.3333333,3.0
50072,31.0,3.5,2.4166667
44927,32.0,3.8333333,2.0833333
71894,19.0,2.5,3.3333333
76790,47.0,3.3333333,2.0833333
66676,35.0,3.5,1.9166666
95930,36.0,3.3333333,2.25
70962,39.0,3.6666667,3.0833333
29647,35.0,2.5,1.9166666
30453,27.0,2.6666667,2.75
18677,47.0,2.6666667,2.3333333
66047,21.0,2.8333333,3.9166667
58682,37.0,3.6666667,2.4166667
79834,37.0,2.5,2.25
38052,48.0,4.1666665,1.4166666
33133,37.0,2.8333333,2.3333333
40021,41.0,3.3333333,2.0
47810,39.0,3.5,2.75
58196,46.0,3.3333333,1.5
76663,25.0,3.3333333,2.75
30137,34.0,2.5,2.4166667
68318,42.0,3.0,2.25
62246,45.0,3.1666667,2.4166667
61028,34.0,3.3333333,2.0833333
55424,32.0,3.3333333,2.8333333
23576,45.0,3.6666667,2.25
57842,39.0,3.6666667,2.1666667
17522,49.0,3.0,1.4166666
93485,44.0,3.3333333,1.9166666
62617,47.0,4.0,1.4166666
42137,37.0,3.6666667,2.8333333
37305,31.0,3.1666667,2.3333333
48013,28.0,2.1666667,3.0
14571,46.0,2.0,1.8333334
69057,35.0,2.5,3.1666667
83542,43.0,3.0,2.5833333
18222,44.0,2.6666667,2.5833333
39738,31.0,2.5,2.3333333
26858,30.0,2.3333333,2.0
38826,35.0,2.6666667,2.8333333
93504,36.0,3.6666667,2.4166667
64232,37.0,3.3333333,2.25
37404,38.0,3.0,2.25
25961,34.0,3.3333333,2.1666667
87330,28.0,3.2381578944736846,2.332017539736842
82248,37.0,3.3333333,2.75
11482,30.0,2.5,2.9166667
70492,34.0,3.1666667,3.25
95543,49.0,3.5,2.75
21380,39.0,4.1666665,2.0833333
67106,46.0,3.6666667,1.75
25495,38.0,3.1666667,2.4166667
83612,29.0,2.6666667,2.75
19122,36.0,3.0,2.6666667
99978,42.0,4.3333335,1.9166666
92566,48.0,3.0,1.5833334
39414,34.0,2.8333333,2.0833333
35987,28.0,2.8333333,3.0
46373,45.0,3.3333333,2.75
79341,39.0,3.0,1.9166666
19591,43.0,3.5,2.0
83536,41.0,3.1666667,2.3333333
67608,45.0,3.5,1.6666666
19735,31.0,2.6666667,3.25
46266,18.0,3.3333333,3.0
59207,43.0,3.1666667,1.9166666
48946,35.0,3.5,2.0
86083,38.0,2.5,2.4166667
96613,45.0,3.5,2.0833333
50766,43.0,3.0,2.0833333
71089,27.0,3.0,2.25
80980,40.0,4.0,1.8333334
98462,49.0,3.5,1.4166666
64302,46.0,3.0,3.0
22688,46.0,3.5,1.4166666
38815,38.0,2.5,2.1666667
68404,35.0,3.5,2.0
72885,31.0,2.5,3.1666667
71193,28.0,2.5,3.5
98760,44.0,3.5,1.6666666
95374,45.0,3.3333333,3.0
71985,34.0,3.5,2.0
43125,33.0,3.1666667,2.6666667
98117,32.0,2.1666667,2.3333333
22989,30.0,3.0,2.3333333
24883,49.0,2.6666667,2.0
20650,34.0,3.0,2.1666667
66815,42.0,4.0,1.5833334
89161,49.0,3.1666667,1.6666666
54956,33.0,3.6666667,3.25
14847,35.0,1.6666666,2.8333333
85453,41.0,3.5,1.75
19827,26.0,2.0,2.9166667
43382,32.0,3.0,3.25
44344,26.0,2.5,1.9166666
94215,33.0,2.3333333,2.6666667
57144,45.0,2.8333333,2.25
75438,33.0,2.6666667,2.1666667
99733,33.0,3.3333333,2.5
27407,36.0,3.0,3.0
14250,40.0,3.8333333,2.5
43794,32.0,2.8333333,3.5
60216,31.0,3.5,2.5
51437,45.0,3.5,2.6666667
21932,50.0,3.0,2.0
98206,50.0,3.6666667,1.3333334
36385,31.0,3.6666667,2.5
54030,49.0,4.0,1.75
67993,34.0,3.5,2.75
96543,40.0,3.1666667,1.6666666
49800,30.0,2.8333333,3.0
11002,48.0,3.8333333,1.75
72850,33.0,3.0,2.0833333
15134,43.0,4.0,2.0
42531,41.0,3.6666667,2.0
34062,48.0,3.0,1.0
18111,36.0,3.3333333,2.75
42646,35.0,3.5,2.0
59097,36.0,2.8333333,2.9166667
91484,33.0,3.8333333,2.25
24833,44.0,3.1666667,3.0833333
84502,41.0,3.6666667,2.1666667
52123,36.0,3.6666667,3.3333333
78783,39.0,3.6666667,2.0833333
25197,44.0,3.1666667,1.6666666
35872,50.0,3.3333333,1.5
23270,37.0,3.0,1.0833334
92716,48.0,3.8333333,1.3333334
70125,39.0,2.3333333,2.6666667
67192,33.0,2.0,3.0
12029,37.0,2.8333333,2.3333333
70745,46.0,3.3333333,1.75
93856,22.0,2.0,2.1666667
10237,38.18421052631579,3.2381578944736846,2.75
97448,41.0,4.0,2.0
89165,26.0,3.3333333,2.6666667
97280,27.0,3.0,3.0833333
66156,27.0,3.5,3.0
67177,31.0,2.6666667,2.75
22540,27.0,3.1666667,2.5
87328,50.0,3.0,1.0
