egoid,SelfEsteem_6,Trust_6,SRQE_Ext_6,SRQE_Introj_6,SRQE_Ident_6,SRQE_Intrin_6,selsa_rom_6,selsa_fam_6,selsa_soc_6,selfreg_scale_6
46373,43.0,3.1666667,3.75,3.75,4.25,3.75,-1.5995954,-0.59657198,-0.66366839,2.5
79341,38.0,3.1666667,1.25,5.0,5.25,5.0,0.50040859,0.39487928,0.60110998,2.0833333
19591,35.0,3.5,4.25,4.0,4.25,3.0,-0.057047822,1.1992952,2.2681653,2.8333333
67608,45.0,3.5,1.0,3.75,7.0,6.25,0.50212246,-0.49883848,-0.83173555,1.6666666
59207,45.0,3.0,1.0,3.25,6.25,6.75,-1.5882318,-0.23327807,-0.52771997,2.1666667
86083,32.0,2.3333333,1.5,3.0,5.5,5.75,0.4383741,1.8040797,1.4970479,2.6666667
49014,32.0,2.5,1.75,2.0,3.75,2.75,-0.34563759,-0.55772245,-0.75186342,2.5833333
50766,40.0,2.8333333,1.25,4.0,3.25,3.75,-1.1479238,0.71462953,0.080247641,2.3333333
71089,33.0,3.0,1.75,2.0,2.0,1.5,0.3806003,-0.058470421,0.24593706,2.3333333
80980,40.0,3.3333333,2.75,3.25,5.0,4.75,-0.64443159,-0.45503584,0.43289486,2.0
98462,50.0,3.0,1.0,2.5,5.75,5.0,1.0431836,-0.51520443,-0.83231759,1.25
64302,33.0,2.3333333,4.0,4.5,4.5,4.5,-0.31537458,1.6130737,2.0726795,3.0833333
22688,44.0,3.6666667,1.0,3.25,6.75,6.25,0.8974964,-0.50634772,-0.84325665,1.3333334
38815,39.0,3.0,1.25,5.0,5.25,3.5,1.1106151,-0.51337016,-0.82844722,1.8333334
34525,35.0,3.3333333,1.0,2.75,6.5,6.75,1.0073075,0.23207442,-0.14867665,2.0
68404,39.0,3.8333333,2.0,5.25,4.75,3.75,0.94599444,-0.23866612,-0.58683825,2.5833333
55569,41.0,3.8333333,1.0,3.0,5.25,4.0,0.41367039,-0.54978007,-0.78568518,3.1666667
72885,27.0,2.3333333,2.25,5.25,6.25,5.75,0.24508187,1.5894147,0.0039248588,3.4166667
36574,41.0,3.0,1.0,3.5,5.5,4.0,-1.662487,-0.63779259,-0.013432083,1.75
71193,40.0,3.5,2.75,2.0,4.0,5.0,-0.97290385,0.63629115,1.2742364,2.5
44070,37.0,3.1666667,1.5,4.5,6.25,6.5,0.81368613,4.4689164,-2.4725482,3.0833333
49010,41.0,3.6666667,2.5,4.5,5.0,5.0,-1.3291442,0.12793995,0.26231501,2.1666667
95374,47.0,3.1666667,1.0,1.0,1.0,1.0,0.85961699,1.2369864,0.037446544,2.4166667
71985,38.0,3.1666667,1.25,5.25,5.25,4.5,0.58810097,-0.88368267,0.49497983,2.0
43125,27.0,3.0,1.25,4.25,4.75,3.5,1.1221656,-0.47060698,0.36554557,2.6666667
98117,19.0,2.3333333,2.25,1.5,4.25,5.0,0.89328164,-1.1146189,4.051352,3.25
22989,41.0,4.1666665,1.867363344051447,3.6631832797427655,5.333601286173633,4.969453376205788,-1.5995954,-0.59657198,-0.66366839,2.1666667
24883,50.0,3.6666667,1.0,3.0,4.25,5.0,-1.5995954,-0.59657198,-0.66366839,1.4166666
20650,37.0,2.5,1.25,2.5,1.25,1.75,-1.2962859,-0.59339207,-0.66659683,3.5
66815,42.0,4.0,1.0,3.0,5.75,5.75,-0.59312832,0.22078964,-0.93300825,1.75
54956,29.0,3.5,1.0,3.75,5.0,4.0,1.1050594,-0.39692578,-0.58427024,3.4166667
14847,38.0,2.3333333,1.75,2.0,6.0,6.0,0.77712023,-1.1290774,1.4237014,3.0833333
85453,45.0,4.0,1.75,3.5,6.5,7.0,0.56941932,-0.5168519,-0.80869782,1.5833334
44344,31.0,2.5,1.0,4.5,6.25,6.0,-0.89240891,-0.22465393,0.67582768,2.0833333
94215,32.0,2.8333333,1.25,2.0,6.0,7.0,-1.5166932,-0.39490426,-0.73667639,1.8333334
57144,38.0,2.8333333,1.0,1.0,1.0,1.0,0.98360974,-0.87134421,0.46429136,2.5
94662,46.0,3.8333333,1.0,4.0,6.0,5.25,0.4101077,-0.4315618,-0.55092037,2.0
98700,45.0,3.5,1.0,4.5,7.0,6.75,-1.4052558,-0.70331299,-0.32483244,1.5833334
65072,40.0,3.3333333,2.25,3.0,5.75,5.5,-1.5681405,-0.014923442,0.037034526,2.25
99733,34.0,4.5,2.0,2.0,6.0,6.0,0.097999156,0.19588731,0.12218571,2.0
27407,36.0,3.0,2.0,4.5,7.0,6.75,0.082948968,0.17148466,-0.67459679,2.6666667
43794,32.0,3.6666667,1.5,5.5,3.0,2.25,0.95332068,-0.35741359,-0.0019018844,3.8333333
51437,42.0,3.3333333,1.0,3.75,5.75,4.5,0.64768398,-0.74234712,0.091891646,2.3333333
21932,47.0,3.3333333,1.0,2.25,5.25,3.5,1.013762,-0.31020823,-0.30236858,2.1666667
29733,37.0,2.5,1.0,2.0,6.25,6.75,0.72613484,-0.90096253,0.48198625,1.25
98206,50.0,3.3333333,1.75,2.5,5.75,5.0,0.97575188,-0.51703864,-0.83618802,1.1666666
36385,35.0,3.1666667,1.25,4.0,4.75,5.0,0.68541998,-0.64493394,0.37777877,2.75
54030,50.0,3.6666667,1.0,1.0,5.75,5.25,-0.024921643,-0.53748059,-0.79360485,1.5833334
67993,42.0,4.0,1.25,5.75,4.75,4.25,0.008495025903846157,-0.020252539240384622,-1.353924230769074e-05,2.1666667
