egoid,exercisealone_4,clubsports_4,exerciseothers_4,swimming_4
16654,1-2 times a week,1-2 times a week,Three times a week or more,Not at all
84768,Less than 1-2 times a month,Not at all,Three times a week or more,Not at all
29134,1-2 times a week,Three times a week or more,Three times a week or more,Less than 1-2 times a month
24029,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a week
35361,Three times a week or more,1-2 times a month,1-2 times a week,Not at all
49086,Not at all,Not at all,Not at all,Not at all
85503,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
10732,Three times a week or more,1-2 times a month,1-2 times a week,Not at all
39564,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
25172,Three times a week or more,1-2 times a week,Three times a week or more,Three times a week or more
95490,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all
23253,1-2 times a week,Not at all,1-2 times a week,Not at all
90079,1-2 times a week,Less than 1-2 times a month,1-2 times a week,Not at all
47584,Not at all,1-2 times a week,1-2 times a week,Not at all
97990,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all
82269,1-2 times a week,1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month
22842,Three times a week or more,Less than 1-2 times a month,1-2 times a month,Less than 1-2 times a month
14279,1-2 times a month,1-2 times a week,1-2 times a week,Not at all
73577,1-2 times a week,Not at all,1-2 times a week,Not at all
43177,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month
26857,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
28327,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
52302,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
97050,Three times a week or more,1-2 times a week,Three times a week or more,Not at all
46418,1-2 times a week,Three times a week or more,Three times a week or more,Not at all
93002,1-2 times a month,Not at all,1-2 times a week,Not at all
56543,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
17470,1-2 times a week,1-2 times a week,1-2 times a week,1-2 times a month
35180,1-2 times a month,Not at all,Less than 1-2 times a month,Not at all
89142,Not at all,Not at all,Not at all,Three times a week or more
24898,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
74413,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all
50976,Three times a week or more,Less than 1-2 times a month,1-2 times a month,1-2 times a month
76485,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
33239,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
67574,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
10469,1-2 times a month,Not at all,1-2 times a month,Not at all
77789,1-2 times a month,Not at all,Not at all,Not at all
88582,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month
67015,Three times a week or more,1-2 times a month,1-2 times a week,Not at all
26272,1-2 times a month,Not at all,1-2 times a month,Not at all
88882,Three times a week or more,1-2 times a month,1-2 times a week,Not at all
96828,1-2 times a week,Three times a week or more,Three times a week or more,Not at all
19245,Three times a week or more,1-2 times a month,1-2 times a week,Not at all
83748,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
49915,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
78407,1-2 times a week,Not at all,Not at all,1-2 times a week
93787,1-2 times a month,Not at all,1-2 times a month,Not at all
17270,1-2 times a week,Not at all,1-2 times a week,1-2 times a month
40864,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Less than 1-2 times a month
63347,Not at all,Not at all,Not at all,Not at all
48826,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
35925,Three times a week or more,Not at all,Three times a week or more,Not at all
