egoid,SelfEsteem_1,Trust_1,SRQE_Ext_1,SRQE_Introj_1,SRQE_Ident_1,SRQE_Intrin_1,selsa_rom_1,selsa_fam_1,selsa_soc_1,SelfEff_exercise_scale_1,SelfEff_diet_scale_1,selfreg_scale_1
25536,37.0,2.3333333,2.0,3.5,6.5,6.0,0.88046175,-0.30823496,-0.043451939,69.611115,83.793106,1.9166666
32037,46.0,3.8333333,2.0,2.25,5.75,4.5,1.1385524,-0.064002968,-0.91324693,38.833332,87.551727,1.75
90476,27.0,2.5,4.5,4.25,4.5,4.25,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,41.111111,47.551723,3.1666667
46558,42.0,3.3333333,1.0,3.75,6.25,5.25,-1.2846777,0.33823165,0.41620991,49.166668,35.482758,2.1666667
24016,36.0,3.3333333,2.25,3.25,5.5,5.0,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,56.444443,68.344826,2.1666667
52277,41.0,4.1666665,2.5,3.25,5.75,5.0,0.57957762,-0.73245835,-0.76275164,51.111111,63.034481,2.0
93699,36.0,3.0,4.75,3.25,4.5,4.0,-0.044496052,-0.52372348,-0.27917042,10.0,52.275864,2.9166667
36875,41.0,3.1666667,1.25,3.0,6.5,6.5,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,73.055557,64.103447,1.5833334
84011,32.0,2.8333333,2.5,4.5,5.75,5.75,0.96896946,-0.87179255,0.54561293,58.055557,38.793102,2.1666667
90646,43.0,3.8333333,1.0,4.25,6.25,6.0,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,64.444443,37.586208,1.5833334
88008,32.0,3.1666667,3.25,5.5,6.75,6.25,-1.7100618,-0.60861349,0.35049728,57.055557,50.379311,2.4166667
88967,35.0,1.6666666,1.0,4.25,6.5,6.5,-1.391579,-0.78719658,0.061454721,52.666668,46.724136,2.3333333
46701,42.0,3.0,1.5,5.0,6.25,5.0,0.76631504,-0.70704949,-0.54807609,53.055557,47.931034,1.9166666
83566,34.0,2.5,1.75,3.25,5.75,4.75,0.71818829,-0.71389896,0.28304046,56.666668,48.448277,1.75
21090,46.0,4.0,1.5,4.5,7.0,4.0,0.80437595,-0.24380179,-0.90918541,48.5,25.241379,2.0
69419,31.0,3.3333333,1.75,3.0,5.25,4.0,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,56.555557,64.275864,2.5833333
87032,35.0,2.6666667,1.0,3.5,5.5,5.5,-1.0535307,0.43797991,0.13292655,74.470589,42.137932,2.1666667
94641,23.0,3.0,1.5,5.25,5.0,4.0,-1.4505953,2.1983187,0.57249457,62.166668,33.482758,2.5833333
82728,47.0,3.0,1.25,4.75,6.75,6.75,0.82822067,-0.73826003,-0.74438381,53.0,61.0,1.6666666
45076,47.0,3.6666667,1.0,4.5,6.0,5.5,1.1364932,-0.61416507,-0.82242316,81.111115,59.482758,1.8333334
58437,42.0,2.6666667,3.0,3.25,6.75,5.25,-1.0153658,-0.64373583,0.29658461,67.222221,47.034481,2.4166667
94862,35.0,3.1666667,1.5,4.75,6.0,6.0,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,72.166664,63.689655,2.3333333
14606,49.0,3.3333333,1.0,1.5,5.5,5.5,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,81.166664,71.413795,1.5
64075,31.0,3.6666667,1.25,6.5,7.0,6.25,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,52.111111,45.103447,2.25
39787,35.0,2.6666667,3.5,5.25,7.0,5.75,0.80387509,1.2748626,1.217574,38.833332,44.241379,3.0833333
82376,42.0,3.5,1.75,4.75,6.5,6.25,-1.3806659,0.52338409,0.11124476,78.833336,79.931038,1.9166666
44872,27.0,3.5,1.75,5.25,6.75,6.5,-1.4830449,1.5853674,2.039228,64.222221,39.206898,2.1666667
87783,38.0,2.6666667,1.75,3.25,4.25,4.0,-1.3627948,-0.76727647,1.9065467,23.222221,21.620689,1.8333334
22199,25.0,2.8333333,1.5,2.25,4.5,4.25,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,44.111111,52.206898,2.9166667
47498,46.0,3.0,1.5,3.25,6.75,6.75,0.61518401,-0.68228185,-0.76695746,95.277779,89.586205,1.5833334
57325,33.0,2.6666667,1.25,3.5,6.25,5.5,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,27.777779,49.172413,1.5833334
53776,27.0,2.8333333,2.75,3.25,5.0,3.75,-1.4764037,0.04743275,0.19733068,65.277779,63.551723,3.0833333
58633,46.0,2.5,1.0,5.0,7.0,6.5,-0.5213415,-0.48193568,0.79366076,71.611115,58.413792,3.6666667
27306,50.0,3.1666667,1.75,4.25,6.25,6.75,1.0802462,-0.70010918,-0.51744229,94.444443,85.517242,1.6666666
80607,35.0,2.0,1.0,6.5,5.0,3.75,1.143787,3.8486679,-0.27645534,80.0,95.344826,1.5833334
73143,41.0,2.8333333,4.0,4.75,5.5,4.0,0.65870714,-0.35238719,-0.87117797,48.111111,49.758621,2.1666667
35797,41.0,2.3333333,1.25,4.25,5.5,4.25,0.68240464,-0.044193156,0.11724099,43.222221,51.379311,2.3333333
46365,50.0,3.0,2.0,5.5,6.5,6.25,-1.3570039,-0.68335074,-0.7164799,49.555557,80.241379,1.9166666
30596,38.0,2.5,1.0,1.0,5.5,7.0,0.23044169,0.91442525,1.308624,78.055557,69.103447,2.25
31045,49.0,3.6666667,1.25,3.25,5.5,5.5,0.52746093,-0.30253878,0.14711265,46.944443,30.793104,2.5
74492,33.0,3.5,1.0,3.0,6.5,4.0,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,82.444443,70.517242,1.8333334
76791,43.0,3.3333333,1.25,1.5,3.75,3.5,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,38.888889,55.068966,2.5
21348,37.0,3.0,1.0,3.25,6.5,4.75,0.46879464,-0.60526854,-0.80334926,62.277779,70.413795,1.9166666
23287,38.0,3.0,1.75,2.75,4.25,4.5,0.74949586,2.0021188,1.1199926,28.0,41.724136,2.5833333
14763,32.0,2.6666667,1.0,1.0,1.0,1.25,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,25.166666,38.068966,3.0
22066,40.0,3.0,1.5,2.5,4.25,3.75,0.49670926,-0.73178995,-0.75627744,50.0,50.0,2.5833333
64058,31.0,3.1666667,3.0,5.5,6.0,5.0,1.0848595,0.74297953,0.70369089,57.5,53.103447,2.5
28247,34.0,2.5,3.5,5.0,6.5,6.75,0.76059359,-0.48511061,0.9636516,63.722221,50.758621,3.1666667
72873,49.0,3.6666667,1.25,3.5,6.25,7.0,0.86989313,-0.49064374,-0.81735313,98.277779,80.586205,1.6666666
67544,35.0,3.3333333,1.0,3.5,7.0,7.0,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,67.055557,80.758621,2.6666667
76810,38.0,3.0,1.0,1.25,5.75,6.5,0.2468774,-0.46203119,-0.83996987,50.333332,50.275864,2.4166667
51760,47.0,3.3333333,4.25,3.75,6.25,5.5,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,71.444443,54.862068,2.0
72806,43.0,3.6666667,1.25,2.75,6.75,6.75,0.39386827,-0.32741299,-0.87169611,82.777779,66.448273,2.4166667
