egoid,majorevent_7,Dieting_7,BAIsum_7,BAIgroup_7,yourelig_7,SelfEsteem_7,usetobacco_7,usebeer_7,usewine_7,usedrugs_7,usedrugs_prescr_7,usecaffine_7,exercisealone_7,exerciseothers_7,clubsports_7,swimming_7
35797,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
46365,yes,Yes,0.0,low,Catholic,39.0,Three times a week or more,Three times a week or more,Three times a week or more,Not at all,Not at all,Three times a week or more,1-2 times a week,Three times a week or more,1-2 times a month,Not at all
30596,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
31045,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
74492,no,Yes,6.0,low,Catholic,38.0,Less than 1-2 times a month,Not at all,1-2 times a week,Not at all,Not at all,1-2 times a week,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
76791,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
21348,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
23287,no,No,6.806818181818182,low,Catholic,41.0,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
14763,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
22066,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
64058,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
28247,no,No,24.0,moderate,Other Religion,30.0,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Not at all,Not at all
72873,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
67544,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
76810,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
51760,no,No,5.0,low,Catholic,49.0,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,1-2 times a month,Not at all,Three times a week or more,Three times a week or more,Not at all
72806,no,Yes,0.0,low,No Religion,48.0,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more,Three times a week or more,1-2 times a month,Not at all,Not at all
98766,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
23042,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
60997,no,No,1.0,low,No Religion,31.0,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Not at all,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all
36038,no,No,2.0,low,Catholic,24.0,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Three times a week or more,1-2 times a week,Not at all,Less than 1-2 times a month,1-2 times a month
39146,no,No,7.0,low,Catholic,40.0,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all,Not at all
60963,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
67918,no,No,3.0,low,Catholic,40.0,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,1-2 times a month,Not at all,1-2 times a month,Not at all
34467,no,No,9.0,low,Catholic,45.0,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a month,1-2 times a week,Three times a week or more,Not at all,Less than 1-2 times a month
42132,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
41268,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
90692,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
32668,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
24079,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
59673,no,No,0.0,low,Catholic,50.0,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a month,1-2 times a month,1-2 times a month,Not at all
74899,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
48891,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
81807,no,No,3.0,low,Catholic,33.0,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all,Less than 1-2 times a month,1-2 times a month,1-2 times a week,1-2 times a week,Not at all
77187,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
91176,no,No,5.0,low,Catholic,26.0,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week,Not at all,Less than 1-2 times a month,Not at all,Not at all
22292,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
35011,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
