egoid,SelfEsteem_7
95930,41.0
70962,40.0
12738,38.111530403773585
29647,38.111530403773585
27111,38.111530403773585
30453,30.0
58219,38.111530403773585
28377,38.111530403773585
80177,38.111530403773585
18677,35.0
66047,38.111530403773585
58682,35.0
81199,38.111530403773585
85679,38.111530403773585
79834,42.0
93471,38.111530403773585
19538,38.111530403773585
14595,38.111530403773585
38052,50.0
33133,38.111530403773585
40021,38.111530403773585
27141,38.111530403773585
93858,38.111530403773585
47810,37.0
58196,43.0
42773,38.111530403773585
72152,38.111530403773585
76663,38.111530403773585
48224,38.111530403773585
30137,47.0
68318,42.0
62246,40.0
69496,38.111530403773585
61028,41.0
55424,26.0
17581,38.111530403773585
23576,40.0
57842,38.111530403773585
17522,46.0
55685,38.111530403773585
74079,38.111530403773585
97833,38.111530403773585
11992,38.111530403773585
93485,48.0
34402,38.111530403773585
62617,46.0
42137,39.0
37305,38.111530403773585
48013,30.0
44447,38.111530403773585
14571,44.0
69057,29.0
49125,38.111530403773585
66629,38.111530403773585
83542,42.0
18222,48.0
39738,38.111530403773585
26858,28.0
70552,38.111530403773585
38826,36.0
93504,38.111530403773585
64232,43.0
37404,38.0
25961,38.111530403773585
87330,38.111530403773585
92028,38.111530403773585
82248,38.0
28824,38.111530403773585
11482,38.111530403773585
69936,23.0
91320,38.111530403773585
37001,38.111530403773585
70492,35.0
95543,45.0
21380,37.0
67106,38.111530403773585
25495,38.111530403773585
26581,38.111530403773585
66642,38.111530403773585
83612,34.0
63954,38.111530403773585
20665,38.111530403773585
19122,38.111530403773585
99978,40.0
92566,49.0
39414,38.111530403773585
35987,38.111530403773585
66655,38.111530403773585
10547,38.111530403773585
46373,38.111530403773585
79341,38.111530403773585
19591,39.0
83536,38.111530403773585
66682,38.111530403773585
88337,38.111530403773585
67608,47.0
19735,38.111530403773585
42513,38.111530403773585
64595,38.111530403773585
85134,38.111530403773585
51952,38.111530403773585
28837,38.111530403773585
46266,38.111530403773585
61289,38.111530403773585
18743,38.111530403773585
13647,38.111530403773585
59207,47.0
48946,38.111530403773585
86083,38.111530403773585
96613,38.111530403773585
49014,29.0
50766,40.0
71089,33.0
80980,38.111530403773585
29115,38.111530403773585
98462,46.0
94455,38.111530403773585
11148,38.111530403773585
88384,38.111530403773585
