egoid,Trust_5,selsa_rom_5,selsa_fam_5,selsa_soc_5,SelfEff_exercise_scale_5
47142,3.6666667,0.75993282,-0.15299149,0.15712562,35.055557
69217,3.8333333,1.2532613,-0.43677795,1.7456093,48.111111
84390,3.3333333,-1.2664202,-0.39604133,-0.47612813,81.0
74845,3.5,0.24475241,-0.60965979,-0.56371474,64.722221
60396,3.6666667,0.88956559,-0.62864429,-0.57458991,84.277779
92412,3.0,1.0410961,-0.6137417,-0.60567075,69.0
92038,3.5,0.91844249,-0.33845821,-0.9749493,87.352943
33388,2.0,0.45205355,-0.48974493,2.379262,49.722221
86440,3.5,0.96912599,-0.4802542,0.60639673,47.944443
95585,3.0,0.099823363,0.22336662,-0.8500728,61.0
29792,3.6666667,-1.2237133,-0.078850009,0.58023691,46.055557
14737,3.0,0.8563385,0.8888303,0.44243374,57.222221
28223,2.8333333,0.6847586,-0.53415757,-0.95206696,22.222221
55452,3.1666667,0.10944667,0.14603262,-0.15239148,93.444443
20179,3.3333333,0.0051865918,-0.55879539,-0.7904982,78.333336
28653,3.0,1.2373712,-0.87697828,0.40113834,100.0
95559,3.1666667,-1.3289862,-0.60374689,-0.46400186,50.666668
30152,2.8333333,-1.4168941,0.47579241,0.64459199,36.277779
60367,2.6666667,-0.72006953,0.28026307,1.7978193,57.944443
59592,3.5,-1.4148471,1.1639318,-1.254371,64.0
89652,4.1666665,0.68294775,-0.64217627,-0.39774582,32.277779
28724,4.1666665,-1.4706868,-0.51952112,-0.78279209,61.388889
69831,3.5,1.0957129,-0.86809295,0.38490626,48.166668
50072,4.1666665,0.71275437,-0.55665803,-0.84031475,62.166668
44927,3.6666667,-0.90328872,0.12881015,0.1809963,39.611111
71894,2.3333333,0.83375931,3.2306502,1.4685304,53.611111
76790,3.0,0.93020529,-0.57244509,-0.90589291,92.222221
66676,3.2009963703804347,4.16994535562027e-09,6.633879796432701e-10,-2.1939891069667014e-10,52.29239339373298
95930,3.5,0.82182449,-0.7230823,-0.25405288,54.444443
70962,3.5,-1.2933937,0.40390611,-0.13579082,17.666666
30453,3.0,-0.212963,2.722657,2.1384699,67.444443
18677,2.6666667,-0.31870082,-0.4758572,-0.22620744,71.555557
66047,2.0,-1.6379111,4.5950627,-0.40359539,35.333332
58682,3.0,0.58579236,-0.84908742,1.569368,49.055557
79834,2.6666667,1.2437741,-0.64859742,-0.5247348,32.444443
38052,4.0,-1.2842144,-0.80558759,0.46256897,61.0
33133,3.1666667,1.1080003,0.82269031,-1.2673991,100.0
40021,3.8333333,-1.5242258,0.018795963,-0.053845592,47.888889
93858,3.2009963703804347,4.16994535562027e-09,6.633879796432701e-10,-2.1939891069667014e-10,52.29239339373298
47810,3.6666667,-1.0818279,-0.52943128,-0.78478426,76.222221
58196,3.3333333,1.2056327,-0.58525735,-0.85204864,67.555557
76663,3.0,0.97349876,0.73352361,-0.078344189,52.277779
48224,2.5,0.89746106,-0.95208114,0.75993687,47.222221
30137,3.3333333,0.73520976,1.1743438,0.58296829,42.222221
68318,3.1666667,-1.3267591,-0.2942405,-0.85051036,52.944443
62246,3.3333333,0.64358199,0.88896322,-1.2559743,63.777779
55424,3.0,-0.87412238,1.0802079,2.4789584,63.611111
23576,3.3333333,0.6069563,0.37732112,0.063292414,60.444443
17522,3.1666667,0.11732493,-0.5371387,-0.87870574,51.444443
93485,3.1666667,-1.1952595,-0.53233337,-0.72894782,68.888885
62617,4.1666665,-1.3200145,-0.5354867,-0.75393963,48.277779
42137,3.6666667,0.63868999,-0.012881467,1.8362648,81.222221
37305,4.0,-1.475124,-0.29391766,-0.85164279,36.166668
48013,2.5,0.23195106,2.304534,1.8895433,81.555557
14571,2.6666667,0.61948794,0.5084033,0.36010927,42.444443
69057,1.8333334,0.53592741,-0.17653717,1.1232718,88.444443
83542,3.1666667,-1.40183,-0.52272415,-0.76933098,25.555555
18222,2.6666667,0.64528292,0.72887462,0.033007491,50.666668
39738,2.8333333,-1.0051398,1.0894494,-0.043179426,32.222221
26858,2.8333333,-1.4573481,-0.49942216,0.95713651,35.888889
38826,2.3333333,-1.022559,0.27589858,-0.4413003,24.666666
93504,3.1666667,-1.0065972,0.42216325,0.14342932,34.5
64232,3.6666667,0.46626157,-0.57659715,-0.76862168,54.444443
37404,3.1666667,0.80145383,-0.41796923,1.200763,63.333332
87330,2.8333333,1.1826409,-0.95328063,0.71916258,64.555557
92028,3.2009963703804347,4.16994535562027e-09,6.633879796432701e-10,-2.1939891069667014e-10,52.29239339373298
82248,3.3333333,-0.47677764,-0.53721219,-0.78537279,27.222221
37001,4.1666665,0.32648188,-0.58425701,-0.77358043,38.222221
70492,3.3333333,1.2334266,-0.87449908,0.4118284,37.333332
95543,3.5,0.96316946,-0.55976403,-0.87589884,28.055555
21380,3.8333333,0.56357777,0.18384778,-0.19343486,45.0
67106,4.0,-1.4715923,-0.57353044,-0.50563151,47.777779
25495,3.3333333,0.23819423,0.38607669,2.8135254,47.222221
83612,2.6666667,1.0727789,-0.86176825,0.40336952,45.444443
19122,3.5,-0.80557191,-0.81463993,0.43437451,30.888889
99978,3.6666667,-1.3216834,-0.52483773,-0.77439451,71.888885
92566,3.5,1.2056327,-0.58525735,-0.85204864,64.166664
39414,3.3333333,0.64510643,1.0485154,-1.0969239,45.833332
35987,3.0,1.2056327,-0.58525735,-0.85204864,1.0555556
46373,2.8333333,-1.3911787,-0.5166409,-0.79512072,46.666668
79341,3.3333333,0.86406738,-0.055669963,0.64124876,71.555557
19591,3.3333333,-0.94217747,0.64456362,0.088039666,62.111111
83536,3.1666667,-1.5482026,-0.037443176,1.1238357,56.833332
67608,3.5,0.585976,-0.54065871,-0.90434736,74.555557
19735,2.8333333,-0.18148778,2.9024425,1.028378,54.833332
59207,2.6666667,-1.1705624,0.43075103,-1.0844071,60.0
86083,2.6666667,0.21441598,0.65059876,1.7225161,46.777779
50766,2.8333333,-1.3932481,0.22242253,1.0504757,70.722221
71089,3.5,0.84944111,-0.025041506,-0.13930832,15.611111
80980,3.6666667,-0.6200918,-0.68462443,-0.19050166,51.666668
98462,3.0,-0.063670255,-0.5555923,-0.80395925,45.833332
94455,3.2009963703804347,4.16994535562027e-09,6.633879796432701e-10,-2.1939891069667014e-10,52.29239339373298
64302,2.6666667,1.070953,-0.8716259,1.2730123,13.777778
22688,3.5,0.98803198,-0.8639372,0.39551702,69.777779
38815,3.1666667,1.2056327,-0.58525735,-0.85204864,46.5
34525,3.2009963703804347,4.16994535562027e-09,6.633879796432701e-10,-2.1939891069667014e-10,52.29239339373298
68404,3.8333333,1.1721952,-0.18974146,-0.68000233,22.833334
55569,3.3333333,-0.88462406,0.3519817,-0.98628116,0.0
72885,2.0,-0.26627874,0.50460595,0.60375321,40.222221
36574,2.6666667,-1.0486602,0.6474269,1.6830864,50.388889
71193,2.6666667,-1.1130291,-0.18378454,3.6033506,47.722221
44070,3.6666667,0.8725121,4.19526,-2.1662829,23.0
95374,3.3333333,1.105865,3.768115,0.063788451,0.0
71985,3.3333333,1.1645697,-0.87129599,0.39836735,36.888889
43125,2.8333333,1.2342837,0.087331355,-0.12833047,31.0
98117,1.6666666,0.66128618,0.16491087,1.7946014,37.0
22989,4.0,-1.4940959,-0.71531022,0.12492149,68.722221
24883,3.3333333,-1.0575458,-0.5387395,-0.70202565,39.111111
20650,2.5,-1.2328386,-0.51372898,-0.81438184,34.055557
66815,4.1666665,0.073061235,0.017561674,-0.62115592,64.055557
54956,3.6666667,1.1537436,-0.041272163,0.4598425,31.111111
14847,1.8333334,0.94296622,-0.029881131,1.8864309,22.111111
85453,3.5,0.56003731,-0.53814918,-0.87770587,80.333336
19827,3.2009963703804347,4.16994535562027e-09,6.633879796432701e-10,-2.1939891069667014e-10,52.29239339373298
82918,3.2009963703804347,4.16994535562027e-09,6.633879796432701e-10,-2.1939891069667014e-10,52.29239339373298
43382,3.0,-1.475124,-0.29391766,-0.85164279,4.2222223
44344,2.5,-0.22498323,0.34033853,0.13671699,36.0
94215,2.3333333,-1.3793517,-0.17768519,0.35308552,92.111115
57144,3.0,1.0277615,-0.81088054,0.094284639,33.944443
65072,3.5,-1.1814002,-0.58636516,-0.48439264,56.888889
11910,2.8333333,0.90027952,-0.58214933,-0.84471226,58.055557
75438,2.6666667,-1.4715923,-0.57353044,-0.50563151,77.111115
99733,4.1666665,0.27761814,-0.54136586,-0.88883275,94.055557
27407,3.3333333,1.1969272,0.32265106,0.14870062,67.388885
43794,3.1666667,-1.0560092,-0.2256154,0.60912293,23.611111
60216,3.3333333,0.14553671,1.1164306,0.71036202,72.444443
51437,3.3333333,0.87837046,-0.53420728,-0.91361403,79.722221
21932,3.3333333,1.2568357,-0.67870998,-0.49588516,62.333332
98206,3.3333333,1.0549603,-0.56929177,-0.88090104,66.777779
36385,3.5,0.46299124,0.12380203,0.11160781,47.166668
54030,3.6666667,0.07116057,-0.88675696,0.6678943,52.29239339373298
67993,3.6666667,-1.4706868,-0.51952112,-0.78279209,39.0
96543,2.6666667,-1.4225701,-0.57962638,-0.47587183,38.388889
49800,2.6666667,-1.1181529,-0.65725291,0.77472335,56.222221
29296,3.0,1.3368639,0.30839828,-1.0970801,64.555557
11002,3.2009963703804347,4.16994535562027e-09,6.633879796432701e-10,-2.1939891069667014e-10,52.29239339373298
72850,3.6666667,-1.4857239,-0.73031116,1.0483958,63.444443
15134,3.8333333,0.79553539,0.14307888,-1.0446765,80.944443
42531,3.5,-1.4105169,-0.64319521,-0.19678096,11.833333
34062,3.8333333,1.0704432,-0.357728,-0.0097678807,99.5
18111,3.3333333,-0.81534779,0.42198518,0.085311383,31.111111
42646,3.6666667,0.37554762,0.50275284,-0.47079664,75.388885
59097,2.8333333,-0.81141001,1.3871967,0.99400091,38.444443
72912,2.3333333,-1.4706868,-0.51952112,-0.78279209,29.222221
24833,3.6666667,0.74621236,0.083854921,0.15317726,69.888885
21971,3.3333333,-1.0801491,0.32555729,0.47460094,32.444443
84502,3.3333333,0.0016594204,-0.72855037,-0.11631055,80.666664
52123,4.0,1.2744895,-0.58846045,-0.83858752,24.388889
78783,3.6666667,1.3199372,-0.78745258,0.082587093,87.888885
25197,3.1666667,1.2386271,0.26762027,-0.76159203,82.722221
35872,3.8333333,0.43931195,-0.49587002,-0.99824107,51.0
23270,2.6666667,0.24769238,-0.55107009,-0.8276521,82.333336
92716,3.0,-1.4706868,-0.51952112,-0.78279209,77.277779
68679,2.8333333,1.2541667,-0.81759685,0.11836923,24.166666
70125,3.1666667,0.59891343,-0.56682748,-0.87191498,76.944443
67192,2.0,0.78827083,1.7547872,1.3696182,13.111111
12029,2.8333333,-0.063670255,-0.5555923,-0.80395925,66.388885
70745,2.6666667,-0.1325271,-0.5523892,-0.81742036,56.055557
93856,2.0,1.0731516,-0.92791569,2.6703343,21.388889
10237,3.1666667,-0.52921534,0.1300059,0.2339963,76.666664
97448,4.0,-1.4076366,-0.38246301,-0.51954448,63.166668
54098,3.5,0.46935818,-0.11932546,1.026206,45.111111
66156,3.1666667,0.59759009,-0.24470274,0.6784994,31.111111
67177,2.5,-1.4706868,-0.51952112,-0.78279209,68.055557
22540,3.2009963703804347,4.16994535562027e-09,6.633879796432701e-10,-2.1939891069667014e-10,52.29239339373298
18611,1.1666666,0.78139448,-0.27213633,0.74272007,76.818184
87328,3.3333333,0.60294306,-0.52139503,-0.96745831,44.166668
49497,3.5,0.41082227,0.57993084,0.25691244,62.888889
17183,4.0,0.57253605,0.52267915,-0.66622329,22.0
22408,3.8333333,-0.525684,-0.52753961,-0.83962095,83.944443
54435,2.8333333,0.91399968,0.38017347,0.045908839,43.111111
38293,3.8333333,-1.5296412,0.52430284,-0.70290071,73.055557
33785,3.3333333,-0.64980751,0.47011915,2.7145634,88.833336
44310,3.3333333,-0.48018703,-0.21854663,1.4622962,25.555555
33009,3.6666667,1.0420015,-0.55973232,-0.88283134,39.222221
70005,2.8333333,1.1804177,-1.8540429,4.5628743,36.0
64157,3.6666667,-0.12577419,-0.74294633,0.98880625,83.333336
79395,3.3333333,1.2022271,0.4411971,0.65068066,85.055557
59863,3.3333333,-0.12250926,-0.51593584,-0.89881802,61.555557
63419,3.5,-1.4009442,-0.88313651,1.6797662,54.277779
22913,3.6666667,-1.5607191,-1.0556464,1.2678137,47.111111
91313,3.5,1.0617982,-0.78568566,2.3391387,77.277779
14511,3.3333333,-0.31674653,-0.53066176,-0.80779463,39.833332
73962,3.3333333,0.79286635,0.0041920152,-0.4304221,55.333332
48969,1.3333334,1.0925319,-2.0822918,6.6085186,98.944443
10153,3.3333333,0.48717213,-0.56376922,-0.82612574,67.277779
64296,3.8333333,-1.490438,0.71386921,-1.1114616,82.277779
17569,3.3333333,-1.4706868,-0.51952112,-0.78279209,63.388889
77036,3.3333333,1.144251,0.50164425,0.33966544,74.5
53518,2.5,0.79655486,-0.5214448,-0.92900544,10.833333
33953,4.0,-1.4706868,-0.51952112,-0.78279209,45.555557
82986,4.5,1.0679189,-0.57885122,-0.87897074,68.555557
11402,2.3333333,-1.1133633,3.005738,-0.27140266,58.0
38610,4.3333335,-1.4320594,-0.77465993,0.40075812,65.333336
96610,4.0,0.93020529,-0.57244509,-0.90589291,60.0
77711,3.0,1.2265811,2.3107758,-1.6461086,70.722221
17020,2.6666667,-1.404552,-0.067071281,-0.91113746,52.055557
48676,3.5,-1.5117497,-0.80555975,0.46762389,62.611111
29885,3.1666667,1.2744895,-0.58846045,-0.83858752,83.0
79167,4.0,1.119122,-0.67230386,-0.5228073,100.0
43710,3.1666667,-0.98298723,0.41868708,0.1195699,95.5
22455,2.8333333,0.13145114,-0.99840623,1.0360388,71.277779
57443,2.8333333,-1.3298916,-0.65775627,-0.18684129,61.666668
96469,4.0,0.89770234,-0.39536044,-0.68149012,85.277779
94579,3.1666667,0.37270474,0.3211717,0.35614246,55.888889
29257,3.1666667,0.62559581,-0.61599904,0.29711586,56.944443
23518,3.0,1.0237801,-0.51043195,-0.27016124,19.666666
49539,4.0,-1.551049,-1.0067209,1.380946,51.111111
63904,2.3333333,0.90452957,-0.52488923,1.6970216,32.166668
82490,3.5,1.0827543,-0.8585335,0.38297597,47.0
20335,3.0,-1.4946682,-0.12639244,-0.62530977,33.611111
35031,3.5,0.38784972,-0.76649147,-0.091582634,66.722221
88185,3.8333333,0.97964478,-0.75077522,-0.21263561,49.5
35344,3.1666667,0.99884486,0.59531516,-0.0097865881,51.888889
31175,3.3333333,1.1335346,-0.13202341,-1.0014865,59.833332
41167,3.2009963703804347,4.16994535562027e-09,6.633879796432701e-10,-2.1939891069667014e-10,52.29239339373298
98325,3.0,-0.59416306,0.51587343,-0.50715625,53.111111
36963,3.1666667,4.16994535562027e-09,6.633879796432701e-10,-2.1939891069667014e-10,28.277779
50666,3.5,1.1367759,-0.58205432,-0.86550969,45.722221
42617,3.8333333,1.3226062,-0.64856571,-0.53166729,90.777779
58793,3.0,-0.40546668,2.2804391,1.9851919,62.277779
25125,3.2009963703804347,4.16994535562027e-09,6.633879796432701e-10,-2.1939891069667014e-10,52.29239339373298
25548,3.5,0.63188124,0.32594895,-1.0750566,33.111111
25966,3.3333333,0.73959422,0.39681503,-0.24207723,62.055557
43581,3.5,1.1367759,-0.58205432,-0.86550969,29.0
91551,2.8333333,-1.3627462,-0.81087637,0.47602141,77.777779
33657,3.5,1.0262086,0.51335371,-0.85624665,44.222221
65656,3.6666667,-0.47451988,3.4863312,-0.80110222,72.333336
36117,3.8333333,-1.4914269,-0.57642335,-0.48933288,41.388889
82587,2.8333333,0.79703695,0.92564422,0.25059676,24.055555
26320,4.1666665,-1.3418475,-0.074720353,-0.89357138,21.222221
77532,2.5,-1.4706868,-0.51952112,-0.78279209,56.055557
92515,3.1666667,-1.530526,0.28032047,0.4718847,44.222221
97844,3.8333333,-1.4706868,-0.51952112,-0.78279209,44.722221
49790,3.6666667,0.4832499,-0.54072416,-0.86223471,52.142857
71592,3.1666667,0.76351565,-0.91648471,0.69604468,36.944443
15181,3.3333333,0.80149692,-0.58865052,-0.79699266,85.0
78657,3.1666667,-0.13327861,-0.053065006,0.84311777,69.944443
48154,3.1666667,0.33825478,-0.50658435,-0.93567348,28.555555
51495,2.6666667,0.64876509,0.4262504,-0.29744956,33.0
21793,3.2009963703804347,4.16994535562027e-09,6.633879796432701e-10,-2.1939891069667014e-10,52.29239339373298
17932,2.5,0.94641447,0.173757,-1.0950788,61.333332
95026,2.5,-1.4485819,-0.12568121,0.55930597,46.166668
66800,3.3333333,-1.3017058,0.58231479,0.37090868,56.555557
80429,2.8333333,1.1997224,-0.27411333,-0.37377107,27.722221
75149,3.2009963703804347,4.16994535562027e-09,6.633879796432701e-10,-2.1939891069667014e-10,52.29239339373298
67709,3.3333333,0.35494459,0.67073375,0.023847871,28.277779
36552,3.1666667,-1.4706868,-0.51952112,-0.78279209,75.5
14301,3.5,0.7657817,-0.95592976,0.93759525,55.166668
63138,3.5,-1.400789,0.20313801,-1.0075202,61.333332
51298,3.0,0.7366271,-0.5732336,-0.84499288,46.0
74632,3.3333333,-1.5161868,-0.57995629,0.39877316,36.166668
16654,3.3333333,-1.4706868,-0.51952112,-0.78279209,80.388885
84768,2.1666667,-1.4706868,-0.51952112,-0.78279209,18.470589
29134,2.3333333,-0.081064932,2.624145,1.5711859,42.277779
24029,3.5,1.2455602,-0.079294629,-0.064281806,85.555557
49086,3.6666667,-1.4481429,0.12800801,0.21730836,46.555557
85503,1.6666666,0.3219263,-0.53084183,-0.86529738,37.611111
22119,3.5,-1.3356951,-0.070274353,-0.89767641,99.555557
25172,3.3333333,-0.35959986,-0.4947094,-0.91854531,99.388885
77134,2.0,0.39056364,0.33960757,-0.83938891,50.5
95490,3.6666667,-1.4543942,-0.13191722,0.29254591,29.555555
23253,3.3333333,-1.4706868,-0.51952112,-0.78279209,53.944443
90079,3.1666667,-1.4041094,-1.0916579,1.7199174,82.941177
47584,3.5,1.0452341,3.5960484,-1.7343332,22.388889
97990,3.0,0.45214379,-0.40224656,-0.58470643,45.0
91429,2.1666667,-0.47247854,1.9907786,2.8928156,27.166666
82269,2.6666667,0.60144484,0.87123328,-0.081001543,48.833332
22842,3.3333333,0.34691456,0.13395745,0.1458656,47.888889
14279,2.1666667,-1.1896802,0.65840894,0.64941627,43.277779
43177,3.1666667,-1.4958642,-0.35081989,-0.55818361,45.222221
26857,3.6666667,0.77513295,0.22056015,0.73983717,72.611115
28327,3.8,1.2744895,-0.58846045,-0.83858752,48.0
52302,3.6666667,0.75525552,-0.68967003,0.64348251,38.222221
97050,3.3333333,0.72041619,0.95421457,0.27070037,100.0
46418,2.8333333,0.68255413,0.02764618,0.4065339,32.777779
93002,3.3333333,0.66311306,-0.64506912,-0.38144723,56.5
17470,2.5,-0.14443475,0.38528991,0.15857418,38.555557
35180,2.6666667,-0.94637918,0.043583218,0.60448062,58.055557
89142,2.6666667,-0.17192136,1.3814145,0.95576888,62.666668
24898,2.5,0.985623,5.7168684,-1.4656953,96.555557
74413,3.3333333,0.31492376,-0.61500812,-0.54838473,75.888885
79352,4.0,-1.0010053,-0.5286963,-0.79524398,24.666666
50976,2.1666667,1.0744479,-0.87241721,0.4238244,67.444443
12156,2.0,-1.4960105,1.1593968,0.85787034,59.944443
76485,3.5,-1.3290714,-0.44143444,-0.24205126,62.888889
33239,3.6666667,-1.485238,1.0321308,0.20179728,56.277779
72570,1.8333334,0.92247057,0.19556631,-0.21401715,23.833334
67574,2.3333333,-0.73399854,-0.88964033,0.75458515,81.111115
10469,2.8333333,-1.54838,-0.86783403,0.76669163,63.611111
77789,3.1666667,1.1448187,0.36209431,0.069697745,42.388889
47024,3.0,0.25012276,0.41016325,0.081493534,55.388889
67015,3.0,0.95617765,-0.57579297,-0.83318144,53.0
88882,3.3333333,-0.091984205,-0.36760589,0.2393586,61.777779
96828,3.3333333,-1.343062,-0.57674617,-0.48820049,58.444443
19245,1.8333334,1.2204229,1.5611881,0.23785645,42.333332
83748,3.0,0.46608105,-0.82672906,0.35300106,78.888885
49915,3.8333333,-1.4706868,-0.51952112,-0.78279209,42.777779
51865,1.8333334,-0.38168949,-0.13568544,-0.6986798,61.444443
93787,3.1666667,1.1530684,-0.19445042,0.2098283,44.388889
17270,3.0,0.81352681,0.36771193,0.10367561,40.166668
18707,2.8333333,-1.4821882,0.15732449,-0.97133112,31.222221
26718,3.8333333,-0.53756106,0.74496615,-0.53950232,31.611111
63347,3.5,1.2744895,-0.58846045,-0.83858752,37.833332
48826,3.2009963703804347,4.16994535562027e-09,6.633879796432701e-10,-2.1939891069667014e-10,52.29239339373298
35925,2.5,0.50515509,-0.71701211,-0.16343018,42.111111
