egoid,exercisealone_3,clubsports_3,exerciseothers_3,swimming_3,exercise_perceivedchange_3
91726,Three times a week or more,Three times a week or more,Three times a week or more,Not at all,increased a bit
59355,1-2 times a month,1-2 times a month,Three times a week or more,Not at all,has stayed about the same
96184,1-2 times a month,Not at all,1-2 times a month,Not at all,increased a bit
70005,1-2 times a month,1-2 times a month,1-2 times a month,Not at all,has stayed about the same
64157,Three times a week or more,Not at all,Three times a week or more,1-2 times a month,has stayed about the same
68050,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
79395,Three times a week or more,1-2 times a week,Three times a week or more,Not at all,has stayed about the same
59863,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,increased a bit
63419,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,has stayed about the same
22913,1-2 times a week,Not at all,1-2 times a week,Not at all,has stayed about the same
91313,1-2 times a week,1-2 times a week,1-2 times a week,Less than 1-2 times a month,has stayed about the same
14511,Three times a week or more,1-2 times a week,Three times a week or more,Not at all,increased a bit
73962,1-2 times a week,Three times a week or more,1-2 times a month,Not at all,has stayed about the same
48969,Three times a week or more,Not at all,Not at all,Not at all,has stayed about the same
10153,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more,has stayed about the same
79731,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
64296,Less than 1-2 times a month,1-2 times a month,1-2 times a week,Not at all,increased a bit
17569,Three times a week or more,1-2 times a week,Three times a week or more,Not at all,increased a bit
77036,Three times a week or more,1-2 times a month,1-2 times a month,Not at all,increased a good deal
53518,Three times a week or more,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
92340,1-2 times a week,Less than 1-2 times a month,1-2 times a week,Not at all,increased a bit
82986,Three times a week or more,1-2 times a month,1-2 times a month,Not at all,increased a bit
61772,1-2 times a week,Three times a week or more,Three times a week or more,Less than 1-2 times a month,has stayed about the same
70566,Three times a week or more,1-2 times a week,Three times a week or more,1-2 times a week,has stayed about the same
11402,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,increased a good deal
38610,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,increased a bit
77711,Not at all,1-2 times a week,Three times a week or more,Not at all,increased a bit
17020,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
48676,1-2 times a week,Not at all,1-2 times a week,1-2 times a week,has stayed about the same
29885,Three times a week or more,Not at all,Three times a week or more,Not at all,has stayed about the same
79167,Three times a week or more,Not at all,Three times a week or more,1-2 times a week,has stayed about the same
43710,Not at all,Not at all,Three times a week or more,Three times a week or more,has stayed about the same
22455,Three times a week or more,Not at all,Not at all,Not at all,increased a good deal
57443,1-2 times a week,Not at all,1-2 times a week,Not at all,increased a good deal
96469,Less than 1-2 times a month,Not at all,1-2 times a week,Not at all,has stayed about the same
94579,Three times a week or more,1-2 times a week,Three times a week or more,1-2 times a week,has stayed about the same
29257,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,has stayed about the same
23518,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
49539,Less than 1-2 times a month,Not at all,1-2 times a month,Less than 1-2 times a month,has stayed about the same
63904,1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
82490,1-2 times a week,Not at all,Three times a week or more,Not at all,increased a bit
20335,Three times a week or more,Less than 1-2 times a month,1-2 times a week,Not at all,has stayed about the same
35031,Three times a week or more,1-2 times a week,1-2 times a month,Not at all,has stayed about the same
88185,1-2 times a week,Less than 1-2 times a month,1-2 times a month,Not at all,increased a bit
35344,Three times a week or more,1-2 times a month,1-2 times a week,Less than 1-2 times a month,has stayed about the same
31175,1-2 times a month,Not at all,Not at all,Not at all,increased a bit
50666,Three times a week or more,Less than 1-2 times a month,1-2 times a month,Not at all,has stayed about the same
98624,1-2 times a month,Not at all,1-2 times a month,Not at all,increased a bit
