egoid,usetobacco_8,usevape_8,usebeer_8,usewine_8,usedrugs_8,usedrugs_prescr_8,usecaffine_8
64232,Not at all,Less than 1-2 times a month,Three times a week or more,1-2 times a week,1-2 times a month,Less than 1-2 times a month,Three times a week or more
37404,Not at all,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
25961,,,,,,,
87330,,,,,,,
92028,,,,,,,
82248,Not at all,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Not at all
28824,,,,,,,
11482,,,,,,,
69936,,,,,,,
91320,,,,,,,
37001,,,,,,,
70492,Less than 1-2 times a month,1-2 times a month,1-2 times a month,1-2 times a month,Not at all,1-2 times a month,Three times a week or more
95543,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a month
21380,Less than 1-2 times a month,Three times a week or more,Three times a week or more,1-2 times a week,Not at all,Not at all,Three times a week or more
67106,,,,,,,
25495,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all
26581,,,,,,,
66642,,,,,,,
83612,Not at all,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
63954,,,,,,,
20665,,,,,,,
19122,,,,,,,
99978,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week
92566,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
39414,,,,,,,
35987,,,,,,,
66655,,,,,,,
10547,,,,,,,
46373,,,,,,,
79341,,,,,,,
19591,,,,,,,
83536,,,,,,,
66682,,,,,,,
88337,,,,,,,
67608,Not at all,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more
19735,,,,,,,
42513,,,,,,,
64595,,,,,,,
85134,,,,,,,
51952,,,,,,,
28837,,,,,,,
46266,,,,,,,
61289,,,,,,,
18743,,,,,,,
13647,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
59207,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
48946,,,,,,,
86083,,,,,,,
96613,,,,,,,
49014,,,,,,,
50766,,,,,,,
71089,Less than 1-2 times a month,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more
80980,,,,,,,
29115,,,,,,,
98462,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all
94455,,,,,,,
11148,,,,,,,
88384,,,,,,,
60904,,,,,,,
64302,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month
51882,,,,,,,
54200,,,,,,,
22688,,,,,,,
38815,,,,,,,
34525,,,,,,,
68404,,,,,,,
71836,,,,,,,
12748,,,,,,,
33445,,,,,,,
83078,,,,,,,
72160,,,,,,,
55569,,,,,,,
72885,Not at all,Less than 1-2 times a month,1-2 times a month,1-2 times a month,1-2 times a month,Not at all,Less than 1-2 times a month
47006,,,,,,,
36574,,,,,,,
71193,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
44070,,,,,,,
49010,,,,,,,
98760,,,,,,,
95374,,,,,,,
71985,,,,,,,
43125,,,,,,,
98117,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a month
22989,,,,,,,
24883,Less than 1-2 times a month,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
65068,,,,,,,
20650,Less than 1-2 times a month,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a month
19460,,,,,,,
66815,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
89161,,,,,,,
54956,,,,,,,
14847,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Less than 1-2 times a month
85453,,,,,,,
19827,,,,,,,
31121,,,,,,,
38683,,,,,,,
82918,,,,,,,
43382,,,,,,,
