egoid,major1rc_2,major2rc_2,degreeintent_2,majorevent_2
59900,511.0,510.0,"M.D., D.O., D.D.S., or D.V.M.",no
28254,309.0,106.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
56480,309.0,110.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
11128,405.0,250.33333333333331,"Master's Degree (M.A., M.S., MBA, etc.)",no
47886,507.0,221.66666666666663,"M.D., D.O., D.D.S., or D.V.M.",no
28820,309.0,246.66666666666663,"Bachelor's degree (B.A., B.S., etc.)",no
35347,117.0,403.0,J.D. (Law),no
45641,302.0,239.33333333333331,Ph.D or Ed.D.,no
25369,508.0,506.0,Ph.D or Ed.D.,no
64572,304.0,306.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
31538,503.0,128.0,Ph.D or Ed.D.,no
73452,302.0,510.0,"M.D., D.O., D.D.S., or D.V.M.",no
51475,129.0,507.0,"M.D., D.O., D.D.S., or D.V.M.",no
28312,403.0,501.0,J.D. (Law),no
13486,405.0,240.66666666666663,"Bachelor's degree (B.A., B.S., etc.)",no
56805,303.0,373.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
57697,110.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
54837,336.6666666666667,256.3333333333333,,
29718,131.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
26800,403.0,501.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
60493,314.3333333333333,188.33333333333331,Ph.D or Ed.D.,no
52051,506.0,342.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
30972,507.0,372.6666666666667,"M.D., D.O., D.D.S., or D.V.M.",yes
47142,210.0,119.66666666666669,Ph.D or Ed.D.,no
69217,309.0,115.66666666666669,"Master's Degree (M.A., M.S., MBA, etc.)",yes
69009,117.0,116.33333333333331,"Master's Degree (M.A., M.S., MBA, etc.)",no
84390,400.0,104.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
74845,403.0,307.6666666666667,"Master's Degree (M.A., M.S., MBA, etc.)",no
90905,302.0,309.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
39659,128.0,109.0,J.D. (Law),no
62072,502.0,239.66666666666663,"M.D., D.O., D.D.S., or D.V.M.",no
60396,128.0,400.0,J.D. (Law),yes
61084,305.0,303.0,"Bachelor's degree (B.A., B.S., etc.)",no
92412,117.0,506.0,Ph.D or Ed.D.,no
92038,406.0,135.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
33388,437.6666666666667,246.33333333333331,Other,no
