egoid,exercisealone_5,exerciseothers_5,clubsports_5,swimming_5
28223,Not at all,Not at all,1-2 times a month,Not at all
85708,,,,
55452,Three times a week or more,Three times a week or more,Not at all,Not at all
20179,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Not at all
78339,,,,
23696,,,,
28653,Three times a week or more,Three times a week or more,Not at all,Not at all
84715,,,,
95559,1-2 times a week,1-2 times a week,Not at all,1-2 times a month
30152,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all
68764,,,,
60367,1-2 times a month,Three times a week or more,Less than 1-2 times a month,Three times a week or more
36939,,,,
59592,1-2 times a week,1-2 times a month,Not at all,Not at all
22897,,,,
89652,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
28724,Three times a week or more,1-2 times a month,1-2 times a week,Not at all
92895,,,,
69831,Not at all,1-2 times a week,Not at all,Not at all
59178,,,,
50072,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all
44927,1-2 times a week,Not at all,1-2 times a week,Not at all
71894,1-2 times a week,Less than 1-2 times a month,1-2 times a week,Not at all
76790,Not at all,Three times a week or more,Three times a week or more,Three times a week or more
78428,,,,
66676,,,,
95930,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
70962,1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
12738,,,,
29647,,,,
27111,,,,
30453,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
58219,,,,
28377,,,,
80177,,,,
18677,Three times a week or more,1-2 times a month,Not at all,Not at all
66047,1-2 times a week,Not at all,Not at all,Not at all
58682,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all
81199,,,,
85679,,,,
79834,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all
93471,,,,
19538,,,,
14595,,,,
38052,1-2 times a week,1-2 times a week,1-2 times a week,Less than 1-2 times a month
33133,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
40021,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Not at all
27141,,,,
93858,,,,
47810,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
58196,Three times a week or more,Three times a week or more,Not at all,Not at all
42773,,,,
72152,,,,
76663,1-2 times a week,Not at all,Not at all,Not at all
48224,1-2 times a month,Not at all,Not at all,Not at all
30137,1-2 times a week,Not at all,Not at all,Not at all
68318,1-2 times a month,1-2 times a month,1-2 times a month,Not at all
62246,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
69496,,,,
61028,,,,
55424,1-2 times a week,Three times a week or more,Not at all,Not at all
17581,,,,
23576,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
57842,,,,
17522,1-2 times a week,Not at all,Not at all,Not at all
55685,,,,
74079,,,,
97833,,,,
11992,,,,
93485,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Not at all
34402,,,,
62617,1-2 times a week,1-2 times a week,Not at all,Not at all
42137,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
37305,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month
48013,1-2 times a week,Three times a week or more,Three times a week or more,Less than 1-2 times a month
44447,,,,
14571,Not at all,Not at all,Not at all,Not at all
69057,Three times a week or more,1-2 times a week,1-2 times a month,Not at all
49125,,,,
66629,,,,
83542,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
18222,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
39738,1-2 times a week,1-2 times a week,Not at all,Not at all
26858,1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
70552,,,,
38826,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
93504,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all
64232,1-2 times a month,1-2 times a month,1-2 times a week,Not at all
37404,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
25961,,,,
87330,Three times a week or more,Not at all,Not at all,Not at all
92028,,,,
82248,1-2 times a month,Not at all,Not at all,Not at all
28824,,,,
11482,,,,
69936,,,,
91320,,,,
37001,1-2 times a week,Not at all,1-2 times a week,Not at all
70492,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
95543,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,1-2 times a week
21380,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
67106,Not at all,Less than 1-2 times a month,Not at all,Not at all
25495,1-2 times a week,Not at all,Less than 1-2 times a month,1-2 times a week
26581,,,,
66642,,,,
83612,1-2 times a week,1-2 times a month,Not at all,Not at all
63954,,,,
20665,,,,
19122,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a month,Not at all
99978,1-2 times a month,Three times a week or more,Three times a week or more,Not at all
92566,1-2 times a week,1-2 times a month,1-2 times a week,Not at all
39414,1-2 times a week,Not at all,Not at all,Not at all
35987,Not at all,Not at all,Not at all,Not at all
66655,,,,
10547,,,,
46373,1-2 times a month,1-2 times a week,1-2 times a month,Not at all
79341,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
19591,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
83536,1-2 times a week,1-2 times a week,1-2 times a month,Not at all
66682,,,,
88337,,,,
67608,Three times a week or more,1-2 times a week,1-2 times a week,Less than 1-2 times a month
19735,1-2 times a month,1-2 times a week,1-2 times a week,Not at all
42513,,,,
64595,,,,
85134,,,,
51952,,,,
28837,,,,
46266,,,,
61289,,,,
18743,,,,
13647,,,,
59207,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
48946,,,,
86083,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
96613,,,,
49014,,,,
50766,Less than 1-2 times a month,Three times a week or more,1-2 times a week,Not at all
71089,Not at all,Not at all,Not at all,Not at all
80980,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Three times a week or more
29115,,,,
98462,1-2 times a month,Not at all,1-2 times a month,Not at all
94455,,,,
11148,,,,
88384,,,,
60904,,,,
64302,Not at all,Not at all,Less than 1-2 times a month,Not at all
51882,,,,
54200,,,,
22688,1-2 times a week,1-2 times a week,Not at all,Not at all
38815,Three times a week or more,Less than 1-2 times a month,1-2 times a month,Not at all
34525,,,,
68404,1-2 times a week,1-2 times a month,1-2 times a week,Not at all
71836,,,,
12748,,,,
33445,,,,
83078,,,,
72160,,,,
55569,Not at all,Not at all,Not at all,Not at all
72885,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all
47006,,,,
36574,1-2 times a month,1-2 times a week,1-2 times a week,Not at all
71193,1-2 times a week,Not at all,Not at all,Not at all
44070,1-2 times a week,Not at all,Not at all,Not at all
49010,,,,
98760,,,,
95374,Not at all,1-2 times a week,Not at all,Not at all
71985,1-2 times a week,1-2 times a week,1-2 times a month,Less than 1-2 times a month
43125,Less than 1-2 times a month,Not at all,Not at all,Not at all
98117,Less than 1-2 times a month,Not at all,Not at all,Not at all
22989,1-2 times a week,1-2 times a week,1-2 times a month,Not at all
24883,1-2 times a month,1-2 times a month,Not at all,1-2 times a month
65068,,,,
20650,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
19460,,,,
66815,Less than 1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all
89161,,,,
54956,Less than 1-2 times a month,1-2 times a month,1-2 times a month,Not at all
14847,1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
85453,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
19827,,,,
31121,,,,
38683,,,,
82918,,,,
43382,Not at all,Not at all,Not at all,Not at all
44344,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
94215,Less than 1-2 times a month,Three times a week or more,1-2 times a week,Not at all
80675,,,,
57144,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Less than 1-2 times a month
94662,,,,
98700,,,,
44675,,,,
33341,,,,
37396,,,,
65072,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
37148,,,,
11910,1-2 times a week,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month
75438,Three times a week or more,Not at all,1-2 times a week,Not at all
99733,1-2 times a week,1-2 times a month,Not at all,Not at all
27407,Three times a week or more,1-2 times a week,Three times a week or more,Not at all
14250,,,,
43794,1-2 times a month,Not at all,Not at all,Not at all
73918,,,,
60216,Three times a week or more,Not at all,1-2 times a week,Not at all
28681,,,,
51437,Three times a week or more,Not at all,Not at all,Not at all
21932,1-2 times a week,1-2 times a week,1-2 times a month,Not at all
29733,,,,
98206,Not at all,1-2 times a week,1-2 times a week,Not at all
36385,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
26651,,,,
54030,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
67993,1-2 times a week,Less than 1-2 times a month,1-2 times a month,Less than 1-2 times a month
96543,1-2 times a week,1-2 times a week,1-2 times a month,Not at all
49800,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a month,Not at all
29296,Three times a week or more,1-2 times a week,1-2 times a month,Not at all
11002,,,,
72850,Three times a week or more,Not at all,1-2 times a month,Not at all
15134,Three times a week or more,Three times a week or more,1-2 times a week,Not at all
69124,,,,
42531,1-2 times a week,1-2 times a week,Not at all,Not at all
34062,Less than 1-2 times a month,Three times a week or more,Not at all,Three times a week or more
18111,Less than 1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
42646,Three times a week or more,1-2 times a month,Not at all,Not at all
63922,,,,
59097,1-2 times a month,1-2 times a week,1-2 times a week,Not at all
72912,1-2 times a week,1-2 times a week,Less than 1-2 times a month,
91484,,,,
24833,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all
21971,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
58654,,,,
13928,,,,
84502,1-2 times a month,Three times a week or more,Not at all,Not at all
64090,,,,
52123,1-2 times a month,1-2 times a month,Not at all,Not at all
78783,Three times a week or more,Three times a week or more,1-2 times a week,Not at all
25197,Three times a week or more,Three times a week or more,1-2 times a month,Not at all
35872,1-2 times a month,1-2 times a month,1-2 times a week,Not at all
93462,,,,
23270,Three times a week or more,1-2 times a month,1-2 times a month,1-2 times a week
69807,,,,
92716,Three times a week or more,Three times a week or more,1-2 times a week,Not at all
66061,,,,
56058,,,,
57854,,,,
68679,Not at all,1-2 times a month,1-2 times a month,Not at all
90750,,,,
70125,Three times a week or more,1-2 times a month,Not at all,Not at all
67192,1-2 times a week,Not at all,Not at all,Not at all
12029,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all
70745,Less than 1-2 times a month,Not at all,Not at all,Not at all
43255,,,,
93856,1-2 times a month,1-2 times a month,1-2 times a week,Not at all
10237,Less than 1-2 times a month,Three times a week or more,Not at all,Not at all
97448,Three times a week or more,1-2 times a month,Not at all,Not at all
43603,,,,
86974,,,,
89165,,,,
97280,,,,
54098,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all
66156,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a week,Not at all
67177,1-2 times a week,Not at all,Not at all,Not at all
22540,,,,
70668,,,,
15586,,,,
27232,,,,
18611,Not at all,Three times a week or more,Three times a week or more,Not at all
87328,1-2 times a week,1-2 times a month,Less than 1-2 times a month,Not at all
88963,,,,
61756,,,,
57045,,,,
49497,Three times a week or more,Not at all,1-2 times a week,Not at all
15031,,,,
79607,,,,
41952,,,,
17183,Less than 1-2 times a month,Not at all,Not at all,Not at all
22408,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
54435,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all
38554,,,,
38293,1-2 times a week,Three times a week or more,Three times a week or more,Not at all
33785,Three times a week or more,1-2 times a week,Not at all,Not at all
44310,Less than 1-2 times a month,1-2 times a month,1-2 times a week,Not at all
33009,1-2 times a week,1-2 times a week,Less than 1-2 times a month,1-2 times a month
31294,,,,
65143,,,,
91726,,,,
59355,,,,
96184,,,,
92339,,,,
70005,1-2 times a month,1-2 times a week,1-2 times a month,Not at all
64157,Three times a week or more,Three times a week or more,1-2 times a month,1-2 times a month
68050,,,,
46151,,,,
79395,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
59863,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
63419,1-2 times a month,Three times a week or more,1-2 times a week,Less than 1-2 times a month
22913,1-2 times a month,1-2 times a month,1-2 times a month,Not at all
91313,1-2 times a week,1-2 times a week,Three times a week or more,Not at all
14511,1-2 times a week,1-2 times a month,1-2 times a month,Not at all
73962,1-2 times a week,Not at all,Not at all,Not at all
48969,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
22093,,,,
32919,,,,
