egoid,SelfEsteem_1_8,SelfEsteem_2_8,SelfEsteem_3_8,SelfEsteem_4_8,SelfEsteem_5_8,SelfEsteem_6_8,SelfEsteem_7_8,SelfEsteem_8_8,SelfEsteem_9_8,SelfEsteem_10_8,SelfEsteem_8,lonely_1_8,lonely_2_8,lonely_3_8,lonely_4_8,lonely_5_8,lonely_6_8,lonely_7_8,lonely_8_8,lonely_9_8,lonely_10_8,lonely_11_8,lonely_12_8,lonely_13_8,lonely_14_8,lonely_15_8,selsa_rom_8,selsa_fam_8,selsa_soc_8,Trust_1_8,Trust_2_8,Trust_3_8,Trust_4_8,Trust_5_8,Trust_6_8,Trust_8,SelfReg_1_8,SelfReg_3_8,SelfReg_4_8,SelfReg_5_8,SelfReg_6_8,SelfReg_7_8,SelfReg_8_8,SelfReg_9_8,SelfReg_10_8,SelfReg_11_8,SelfReg_12_8,SelfReg_13_8,selfreg_scale_8
66800,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,0.41270703,-0.3030664733333333,-0.4948364436666666,,,,,,,3.444444433333333,,,,,,,,,,,,,2.3611111
73693,,,,,,,,,,,43.66666666666666,,,,,,,,,,,,,,,,0.0549652933333333,-0.0262025233333333,-0.3464797033333333,,,,,,,3.333333333333333,,,,,,,,,,,,,2.444444433333333
80429,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,36.0,Strongly Disagree,Strongly Disagree,Somewhat Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,1.2145092,0.10230507,0.044871386,Agree,Agree,Agree,Disagree,Agree,Neither Agree or Disagree,2.5,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Agree,Disagree,Agree,2.8333333
75149,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,35.0,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Somewhat Agree,Strongly Disagree,Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,1.3481358,-0.30753174,0.6356163,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,2.8333333,Strongly Agree,Agree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,4.0
61659,,,,,,,,,,,41.333333333333336,,,,,,,,,,,,,,,,-0.5835807666666667,0.59645646,0.6860373333333333,,,,,,,3.1111111,,,,,,,,,,,,,2.4166666666666665
81420,,,,,,,,,,,44.66666666666666,,,,,,,,,,,,,,,,-0.4638988666666666,-0.6307554066666666,-0.4085831299999999,,,,,,,3.222222233333333,,,,,,,,,,,,,2.1111111
33740,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Neither Agree nor Disagree,30.0,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Disagree,Neither Agree nor Disagree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,0.77268255,1.9788365,-0.98134476,Agree,Agree,Disagree,Neither Agree or Disagree,Strongly Disagree,Agree,3.0,Disagree,Disagree,Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,2.6666667
67709,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Agree,32.0,Agree,Somewhat Agree,Disagree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,-0.63287324,0.3363272,0.17331181,Agree,Agree,Disagree,Agree,Neither Agree or Disagree,Agree,3.5,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,3.3333333
36552,Agree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Agree,39.0,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,-1.2330985,-0.62129188,-0.64243913,Agree,Agree,Disagree,Agree,Agree,Agree,3.3333333,Disagree,Disagree,Agree,Disagree,Strongly Agree,Agree,Disagree,Neither Agree nor Disagree,Strongly Agree,Disagree,Disagree,Agree,1.9166666
14301,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,36.0,Disagree,Strongly Disagree,Somewhat Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,0.74012077,-0.35281041,-0.89312655,Agree,Disagree,Disagree,Agree,Agree,Agree,3.6666667,Disagree,Disagree,Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,2.25
63138,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,50.0,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,-1.2330985,-0.62129188,-0.64243913,Strongly Disagree,Strongly disagree,Disagree,Agree,Neither Agree or Disagree,Agree,4.1666665,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Neither Agree nor Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,1.4166666
51298,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,33.0,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,-0.98173833,0.11523765,0.16504169,Agree,Strongly Disagree,Disagree,Neither Agree or Disagree,Agree,Agree,3.0,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,2.25
74632,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,33.0,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,-1.2385821,0.33531949,-0.65558499,Agree,Agree,Disagree,Agree,Strongly Disagree,Agree,3.1666667,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,2.5
16654,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,0.1996578,1.3867730533333331,0.874845341,,,,,,,2.555555533333333,,,,,,,,,,,,,2.75
54394,,,,,,,,,,,46.66666666666666,,,,,,,,,,,,,,,,0.1863943533333333,-0.62927014,-0.7230202966666667,,,,,,,3.333333333333333,,,,,,,,,,,,,1.9999999666666664
84768,,,,,,,,,,,47.333333333333336,,,,,,,,,,,,,,,,-1.06496439,-0.6239814,-0.6468775099999999,,,,,,,3.499999966666667,,,,,,,,,,,,,2.333333333333333
29134,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,0.0277169899999999,0.71738473,0.75169334,,,,,,,2.944444466666667,,,,,,,,,,,,,2.222222233333333
24029,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,0.0277169899999999,0.71738473,0.75169334,,,,,,,2.8888889,,,,,,,,,,,,,2.444444433333333
35361,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,0.0046868566666666,0.5905429433333335,0.6555052533333333,,,,,,,2.8888889,,,,,,,,,,,,,2.444444433333333
49086,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,46.0,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,-1.2770555,-0.92655498,0.50297552,Agree,Neither Agree or Disagree,Disagree,Agree,Neither Agree or Disagree,Agree,3.6666667,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Neither Agree nor Disagree,2.75
67917,,,,,,,,,,,39.66666666666666,,,,,,,,,,,,,,,,0.0095839866666666,0.4453112366666666,0.1820884366666666,,,,,,,3.0,,,,,,,,,,,,,2.3888888666666666
85503,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,27.0,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Agree,Neither Agree nor Disagree,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,-1.0913318,0.13559651,0.73204684,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neither Agree or Disagree,1.6666666,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,3.0833333
60008,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,-0.5840134066666667,0.8572502269999999,1.21258434,,,,,,,2.7777778000000004,,,,,,,,,,,,,3.055555566666667
55881,,,,,,,,,,,39.66666666666666,,,,,,,,,,,,,,,,-0.5835807666666667,0.59645646,0.6860373333333333,,,,,,,3.0,,,,,,,,,,,,,2.722222233333333
22119,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,0.4722589699999999,0.8761646866666668,1.05467741,,,,,,,3.0,,,,,,,,,,,,,2.4015151666666665
39285,,,,,,,,,,,34.666666666666664,,,,,,,,,,,,,,,,0.0600053233333333,0.9081673533333332,0.9180848,,,,,,,2.8888889,,,,,,,,,,,,,2.8611111
22460,,,,,,,,,,,40.66666666666666,,,,,,,,,,,,,,,,0.2604096866666666,-0.3025954366666667,-0.4531041853333333,,,,,,,3.444444433333333,,,,,,,,,,,,,2.0555555666666665
25172,,,,,,,,,,,41.333333333333336,,,,,,,,,,,,,,,,-0.5835807666666667,0.59645646,0.6860373333333333,,,,,,,3.1111111,,,,,,,,,,,,,2.4166666666666665
77134,,,,,,,,,,,36.66666666666666,,,,,,,,,,,,,,,,0.1698295499999999,0.2463135399999999,-0.80416147,,,,,,,3.055555533333333,,,,,,,,,,,,,2.305555566666667
22143,,,,,,,,,,,35.333333333333336,,,,,,,,,,,,,,,,-0.0168812599999999,1.1663470736666668,1.03702164,,,,,,,3.1666667,,,,,,,,,,,,,2.3888888666666666
93766,,,,,,,,,,,36.66666666666666,,,,,,,,,,,,,,,,0.87270482,-0.5425461133333332,-0.8037046366666667,,,,,,,3.222222233333333,,,,,,,,,,,,,2.2222222
45097,,,,,,,,,,,41.333333333333336,,,,,,,,,,,,,,,,-0.3943675666666666,-0.77627881,1.0075268233333332,,,,,,,3.1666666666666665,,,,,,,,,,,,,2.305555566666667
26289,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,-0.8552473566666667,0.01928844,-0.1011272533333333,,,,,,,3.611111133333333,,,,,,,,,,,,,1.9166667
95490,,,,,,,,,,,41.66666666666666,,,,,,,,,,,,,,,,-0.7517148766666667,0.59914598,0.6904757133333334,,,,,,,2.944444433333333,,,,,,,,,,,,,2.583333333333333
66979,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,-1.060863033333333,0.0003609166666666,-0.3622766966666666,,,,,,,3.444444433333333,,,,,,,,,,,,,2.3888889333333334
23253,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,35.0,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,1.1564988,-0.86360091,0.048510712,Agree,Neither Agree or Disagree,Disagree,Agree,Agree,Agree,3.5,Disagree,Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,2.3333333
90079,,,,,,,,,,,41.66666666666666,,,,,,,,,,,,,,,,-0.5835807666666667,0.59645646,0.6860373333333333,,,,,,,3.1111111,,,,,,,,,,,,,2.6666666666666665
47584,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,50.0,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Somewhat Agree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,-1.3343766,3.7667589,0.2584224,Strongly disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,2.0,Disagree,Neither Agree nor Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,2.5833333
97990,,,,,,,,,,,41.66666666666666,,,,,,,,,,,,,,,,-0.7517148766666667,0.5991459800000001,0.6904757133333334,,,,,,,2.944444433333333,,,,,,,,,,,,,2.583333333333333
39248,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,0.2602330666666666,1.2465191633333337,-0.2199993099999999,,,,,,,3.1666666666666665,,,,,,,,,,,,,2.0277777666666665
29354,,,,,,,,,,,37.66666666666666,,,,,,,,,,,,,,,,0.3795191666666666,0.6851204666666666,-0.23841864,,,,,,,2.555555533333333,,,,,,,,,,,,,2.0555556
91429,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,32.0,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,-0.30347806,0.67194384,0.55802095,Agree,Agree,Agree,Neither Agree or Disagree,Agree,Agree,2.8333333,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Neither Agree nor Disagree,Strongly Agree,Disagree,Disagree,Agree,1.9166666
82269,,,,,,,,,,,47.333333333333336,,,,,,,,,,,,,,,,-1.06496439,-0.6239814,-0.6468775099999999,,,,,,,3.499999966666667,,,,,,,,,,,,,2.333333333333333
22842,Agree,Neither Agree nor Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,34.0,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Somewhat Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,0.67723256,0.33225614,0.093709394,Agree,Agree,Disagree,Agree,Agree,Agree,3.3333333,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,3.1666667
31311,,,,,,,,,,,41.333333333333336,,,,,,,,,,,,,,,,0.53474646,-0.2199101333333333,-0.50069995,,,,,,,3.6666666666666665,,,,,,,,,,,,,2.055555533333333
33084,,,,,,,,,,,38.66666666666666,,,,,,,,,,,,,,,,-0.7513045766666666,0.9650196066666666,1.0473314933333333,,,,,,,3.111111133333333,,,,,,,,,,,,,2.1388889
14279,Agree,Disagree,Agree,Strongly Agree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Agree,40.0,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Disagree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Somewhat Agree,Agree,0.95945072,0.99539965,-0.75859183,Disagree,Agree,Neither Agree or Disagree,Neither Agree or Disagree,Agree,Agree,2.6666667,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,1.8333334
91932,,,,,,,,,,,48.333333333333336,,,,,,,,,,,,,,,,-0.3335225366666667,-0.6345200766666667,-0.6771411500000001,,,,,,,3.6666666333333335,,,,,,,,,,,,,2.111111133333333
32404,,,,,,,,,,,40.333333333333336,,,,,,,,,,,,,,,,0.0046868566666666,0.5905429433333335,0.6555052533333333,,,,,,,2.8888889,,,,,,,,,,,,,2.694444433333333
