egoid,exercise_1,clubsports_1,varsitysports_1,swimming_1
72885,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
47006,Three times a week or more,Not at all,Not at all,Less than 1-2 times a month
36574,Three times a week or more,Three times a week or more,1-2 times a month,1-2 times a week
71193,1-2 times a week,Not at all,1-2 times a month,Not at all
44070,,,,
49010,Three times a week or more,1-2 times a month,Three times a week or more,1-2 times a month
98760,Three times a week or more,1-2 times a month,Not at all,Less than 1-2 times a month
95374,Three times a week or more,1-2 times a month,Not at all,Less than 1-2 times a month
71985,1-2 times a week,1-2 times a week,Not at all,Less than 1-2 times a month
43125,1-2 times a month,Less than 1-2 times a month,Not at all,Less than 1-2 times a month
98117,1-2 times a week,Not at all,Not at all,Not at all
22989,,,,
24883,Three times a week or more,Less than 1-2 times a month,Three times a week or more,Three times a week or more
65068,,,,
20650,,,,
19460,Three times a week or more,1-2 times a month,1-2 times a week,1-2 times a week
66815,Three times a week or more,1-2 times a month,Three times a week or more,1-2 times a month
89161,1-2 times a week,1-2 times a week,1-2 times a week,1-2 times a month
54956,,,,
14847,1-2 times a week,Not at all,Not at all,Not at all
85453,,,,
19827,,,,
31121,,,,
38683,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more
82918,Three times a week or more,Not at all,Not at all,1-2 times a month
43382,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a month
44344,,,,
94215,,,,
80675,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more
57144,,,,
94662,,,,
98700,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
44675,1-2 times a week,Not at all,Three times a week or more,Less than 1-2 times a month
33341,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a month
37396,,,,
65072,Three times a week or more,1-2 times a week,Three times a week or more,Less than 1-2 times a month
37148,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
11910,1-2 times a week,Not at all,Not at all,Not at all
75438,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
99733,1-2 times a week,Not at all,1-2 times a week,1-2 times a month
27407,Three times a week or more,1-2 times a week,Three times a week or more,1-2 times a week
14250,Three times a week or more,Not at all,Not at all,1-2 times a week
43794,1-2 times a week,Not at all,1-2 times a week,Less than 1-2 times a month
73918,Three times a week or more,Not at all,Not at all,Not at all
60216,Three times a week or more,1-2 times a week,Not at all,Not at all
28681,,,,
51437,Three times a week or more,1-2 times a month,Not at all,Less than 1-2 times a month
