egoid,exercisealone_3,clubsports_3,exerciseothers_3,swimming_3,exercise_perceivedchange_3
28724,,,,,
92895,,,,,
69831,Less than 1-2 times a month,1-2 times a month,Less than 1-2 times a month,Not at all,has stayed about the same
59178,,,,,
50072,1-2 times a week,1-2 times a month,1-2 times a week,Not at all,
44927,1-2 times a week,Three times a week or more,1-2 times a week,Not at all,has stayed about the same
71894,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Not at all,increased a bit
76790,Not at all,Three times a week or more,Three times a week or more,Three times a week or more,has stayed about the same
66676,Three times a week or more,Not at all,1-2 times a month,1-2 times a week,
95930,1-2 times a week,1-2 times a week,1-2 times a week,1-2 times a week,has stayed about the same
70962,1-2 times a month,Not at all,1-2 times a week,Not at all,
12738,Not at all,Not at all,Not at all,Not at all,
27111,,,,,
30453,Not at all,1-2 times a week,Not at all,Not at all,increased a good deal
80177,1-2 times a week,1-2 times a week,Three times a week or more,Not at all,has stayed about the same
18677,,,,,
66047,1-2 times a month,Not at all,Not at all,Not at all,increased a bit
58682,1-2 times a week,1-2 times a month,1-2 times a week,Not at all,has stayed about the same
79834,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,has stayed about the same
93471,,,,,
19538,Three times a week or more,1-2 times a month,1-2 times a week,Not at all,increased a bit
38052,1-2 times a week,1-2 times a week,Three times a week or more,Not at all,has stayed about the same
33133,Three times a week or more,Not at all,Less than 1-2 times a month,Not at all,increased a good deal
40021,Three times a week or more,Three times a week or more,1-2 times a week,Not at all,has stayed about the same
27141,,,,,
93858,,,,,
47810,Three times a week or more,Not at all,1-2 times a month,Not at all,increased a bit
58196,Three times a week or more,Not at all,1-2 times a week,Not at all,increased a bit
42773,,,,,
76663,Not at all,Not at all,Less than 1-2 times a month,Not at all,increased a bit
48224,1-2 times a week,Not at all,Not at all,Not at all,increased a bit
30137,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,increased a good deal
68318,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all,increased a bit
62246,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,has stayed about the same
61028,Three times a week or more,Less than 1-2 times a month,1-2 times a month,Not at all,has stayed about the same
55424,1-2 times a week,Not at all,Three times a week or more,Not at all,has stayed about the same
17581,,,,,
23576,Three times a week or more,Three times a week or more,Three times a week or more,Not at all,has stayed about the same
17522,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
97833,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,increased a bit
93485,,,,,
62617,Three times a week or more,1-2 times a month,1-2 times a month,Not at all,has stayed about the same
42137,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,increased a bit
37305,,,,,
48013,Three times a week or more,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,increased a bit
44447,,,,,
14571,1-2 times a week,Not at all,1-2 times a week,Not at all,has stayed about the same
69057,Three times a week or more,1-2 times a month,1-2 times a week,Not at all,has stayed about the same
66629,1-2 times a week,Three times a week or more,1-2 times a month,Not at all,has stayed about the same
83542,,,,,
