egoid,SelfEsteem_1_3,SelfEsteem_2_3,SelfEsteem_3_3,SelfEsteem_4_3,SelfEsteem_5_3,SelfEsteem_6_3,SelfEsteem_7_3,SelfEsteem_8_3,SelfEsteem_9_3,SelfEsteem_10_3,SelfEsteem_3,SelfReg_Exercise_1_3,SelfReg_Exercise_2_3,SelfReg_Exercise_3_3,SelfReg_Exercise_4_3,SelfReg_Exercise_5_3,SelfReg_Exercise_6_3,SelfReg_Exercise_7_3,SelfReg_Exercise_8_3,SelfReg_Exercise_9_3,SelfReg_Exercise_10_3,SelfReg_Exercise_11_3,SelfReg_Exercise_12_3,SelfReg_Exercise_13_3,SelfReg_Exercise_14_3,SelfReg_Exercise_15_3,SelfReg_Exercise_16_3,SRQE_Ext_3,SRQE_Introj_3,SRQE_Ident_3,SRQE_Intrin_3,SRQE_RAI_3,lonely_1_3,lonely_2_3,lonely_3_3,lonely_4_3,lonely_5_3,lonely_6_3,lonely_7_3,lonely_8_3,lonely_9_3,lonely_10_3,lonely_11_3,lonely_12_3,lonely_13_3,lonely_14_3,lonely_15_3,selsa_rom_3,selsa_fam_3,selsa_soc_3,SelfReg_1_3,SelfReg_3_3,SelfReg_4_3,SelfReg_5_3,SelfReg_6_3,SelfReg_7_3,SelfReg_8_3,SelfReg_9_3,SelfReg_10_3,SelfReg_11_3,SelfReg_12_3,SelfReg_13_3,selfreg_scale_3
37371,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,1.5833333333333333,2.083333333333333,5.25,4.416666666666667,8.833333333333334,,,,,,,,,,,,,,,,0.2658558966666667,0.45771981,-0.2520231666666666,,,,,,,,,,,,,2.2777777666666665
57292,,,,,,,,,,,36.333333333333336,,,,,,,,,,,,,,,,,2.083333333333333,2.833333333333333,4.75,4.916666666666667,7.583333333333333,,,,,,,,,,,,,,,,-0.48760341,0.78058478,0.9591600333333332,,,,,,,,,,,,,2.222222233333333
66406,,,,,,,,,,,43.333333333333336,,,,,,,,,,,,,,,,,2.4166666666666665,2.833333333333333,4.666666666666667,4.75,6.5,,,,,,,,,,,,,,,,-1.5262866333333334,-0.3206238999999999,-0.3702389433333333,,,,,,,,,,,,,2.1111111
90447,,,,,,,,,,,37.333333333333336,,,,,,,,,,,,,,,,,5.083333333333333,5.0,7.0,6.75,5.333333333333333,,,,,,,,,,,,,,,,-0.48785561,-0.462020095,-0.5830545833333333,,,,,,,,,,,,,2.083333333333333
56798,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly agree,50.0,Somewhat true,Not at all true,Very true,3,5,2,Not at all true,6,6,6,Not at all true,Very true,Somewhat true,Not at all true,5,Very true,1.0,2.5,6.25,6.0,13.75,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,-0.348656,-0.63512856,-0.69132286,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,1.75
28827,,,,,,,,,,,26.33333333333333,,,,,,,,,,,,,,,,,2.25,4.25,5.333333333333333,4.25,5.083333333333333,,,,,,,,,,,,,,,,0.1585652366666666,1.297416583333333,0.23492544,,,,,,,,,,,,,2.4166666666666665
23115,,,,,,,,,,,24.666666666666668,,,,,,,,,,,,,,,,,3.0,4.833333333333333,5.0,4.0,2.1666666666666665,,,,,,,,,,,,,,,,-0.4166899799999999,2.025203283333333,0.16774544,,,,,,,,,,,,,2.4166666666666665
77872,Agree,Neutral,Agree,Agree,Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly agree,39.0,6,Not at all true,6,Somewhat true,Very true,Not at all true,Not at all true,Very true,Very true,5,Not at all true,Very true,Somewhat true,3,Very true,Very true,1.5,2.5,7.0,6.25,14.0,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Agree,-0.27466431,-0.81505877,-0.027076649,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Disagree,Neither Agree nor Disagree,2.3333333
43114,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly agree,48.0,Somewhat true,2,6,Somewhat true,Somewhat true,5,Somewhat true,Somewhat true,5,5,3,5,2,Somewhat true,3,6,3.25,3.25,5.0,4.5,4.25,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,0.4998382,-0.5900318,-0.83492976,Disagree,Disagree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,2.3333333
72348,Agree,Disagree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Agree,Agree,Disagree,Agree,38.0,5,2,5,Somewhat true,Somewhat true,3,2,5,6,6,2,6,Somewhat true,2,5,Very true,2.0,3.25,5.75,5.25,9.0,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Agree,Agree,0.44959968,-0.42751598,0.117754,Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Strongly Agree,Disagree,Disagree,Agree,2.0833333
