egoid,Trust_1_5,Trust_2_5,Trust_3_5,Trust_4_5,Trust_5_5,Trust_6_5,Trust_5,lonely_1_5,lonely_2_5,lonely_3_5,lonely_4_5,lonely_5_5,lonely_6_5,lonely_7_5,lonely_8_5,lonely_9_5,lonely_10_5,lonely_11_5,lonely_12_5,lonely_13_5,lonely_14_5,lonely_15_5,selsa_rom_5,selsa_fam_5,selsa_soc_5,SelfEff_exercise_1_5,SelfEff_exercise_2_5,SelfEff_exercise_3_5,SelfEff_exercise_4_5,SelfEff_exercise_5_5,SelfEff_exercise_6_5,SelfEff_exercise_7_5,SelfEff_exercise_8_5,SelfEff_exercise_9_5,SelfEff_exercise_10_5,SelfEff_exercise_11_5,SelfEff_exercise_12_5,SelfEff_exercise_13_5,SelfEff_exercise_14_5,SelfEff_exercise_15_5,SelfEff_exercise_16_5,SelfEff_exercise_17_5,SelfEff_exercise_18_5,SelfEff_exercise_scale_5
24016,,,,,,,2.944444433333333,,,,,,,,,,,,,,,,-0.4727146773333333,1.6709531166666665,1.32693762,50.66666666666666,35.333333333333336,39.66666666666666,44.66666666666666,43.0,41.0,45.333333333333336,44.333333333333336,27.0,68.66666666666667,33.333333333333336,31.33333333333333,44.333333333333336,67.66666666666667,67.0,47.333333333333336,42.66666666666666,45.66666666666666,45.50000033333333
52277,,,,,,,3.1666666666666665,,,,,,,,,,,,,,,,-0.8795949666666667,0.9903430466666666,0.9268452133333334,38.0,38.0,45.66666666666666,37.333333333333336,19.33333333333333,31.0,51.66666666666666,44.0,48.0,83.0,62.66666666666666,48.333333333333336,38.66666666666666,66.33333333333333,77.66666666666667,62.66666666666666,52.66666666666666,68.66666666666667,50.75925966666667
93699,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Agree,3.6666667,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,1.1820039,-0.61221123,0.37903929,30.0,20.0,26.0,22.0,20.0,21.0,41.0,26.0,30.0,28.0,34.0,51.0,34.0,13.0,23.0,36.0,21.0,20.0,27.555555
36875,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,2.8333333,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,-1.5735527,-1.1485006,2.0114989,61.0,62.0,90.0,25.0,54.0,49.0,93.0,11.0,51.0,77.0,53.0,12.0,42.0,58.0,84.0,10.0,44.0,50.0,51.444443
84011,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,2.8333333,Disagree,Disagree,Somewhat Agree,Agree,Agree,Disagree,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Disagree,Agree,Disagree,Agree,Agree,0.64674306,0.0063678836,0.48048827,70.0,51.0,89.0,71.0,36.0,71.0,71.0,46.0,92.0,70.0,26.0,46.0,72.0,87.0,47.0,48.0,24.0,76.0,60.722221
90646,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,3.5,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,0.39941096,-0.50880903,-0.91666687,78.0,61.0,100.0,26.0,70.0,10.0,87.0,32.0,100.0,100.0,29.0,83.0,30.0,100.0,100.0,99.0,20.0,62.0,65.944443
88008,Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,2.8333333,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,-1.5463121,-0.29521796,1.240205,51.0,65.0,77.0,76.0,91.0,40.0,36.0,82.0,79.0,85.0,84.0,25.0,46.0,69.0,81.0,51.0,29.0,77.0,63.555557
88967,,,,,,,3.2222222,,,,,,,,,,,,,,,,0.3622474534666667,-0.2099474633333333,-0.0384378333333333,43.66666666666666,48.66666666666666,54.66666666666666,39.66666666666666,32.666666666666664,39.333333333333336,39.333333333333336,28.666666666666668,44.66666666666666,61.66666666666666,45.333333333333336,38.66666666666666,31.33333333333333,77.33333333333333,40.0,26.0,37.66666666666666,24.33333333333333,41.87036966666666
46701,,,,,,,3.5,,,,,,,,,,,,,,,,0.33239177,1.3922113333333337,-0.30076662,45.0,35.0,41.333333333333336,25.33333333333333,36.0,22.33333333333333,44.0,35.333333333333336,35.0,69.33333333333333,40.0,48.0,41.66666666666666,50.66666666666666,49.333333333333336,34.666666666666664,38.66666666666666,19.33333333333333,39.5
83566,Agree,Agree,Disagree,Agree,Agree,Agree,3.3333333,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Disagree,Agree,Strongly Disagree,Somewhat Agree,Agree,0.95630431,0.84418494,0.76755869,19.0,0.0,10.0,71.33333333333333,50.0,50.0,40.0,50.0,40.0,80.0,30.0,50.0,40.0,50.0,80.0,80.0,40.0,40.0,44.058823
21090,Agree,Neither Agree nor Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,3.8333333,Somewhat Agree,Somewhat Agree,Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,-0.8436414,-0.52337581,-0.81562895,1.0,1.0,5.0,2.0,10.0,8.0,10.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,16.0,1.0,3.0,15.0,5.0
69419,,,,,,,3.2777777666666665,,,,,,,,,,,,,,,,-0.1715373033333333,0.3076088833333333,-0.19321498,34.0,54.0,55.0,28.33333333333333,18.0,30.666666666666668,35.333333333333336,33.333333333333336,34.0,59.333333333333336,38.66666666666666,35.666666666666664,36.0,73.33333333333333,85.0,41.0,32.333333333333336,58.0,43.44444533333333
87032,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,2.8333333,Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,-0.89043528,0.35210904,1.3288023,14.0,18.0,53.0,5.0,5.0,38.0,44.0,47.0,12.0,44.0,7.0,41.0,42.0,32.0,60.0,52.0,14.0,54.0,32.333332
94641,Disagree,Neither Agree nor Disagree,Agree,Disagree,Agree,Neither Agree nor Disagree,2.3333333,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,0.81434721,5.3855996,1.5352206,0.0,0.0,50.0,70.0,0.0,0.0,0.0,70.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,13.888889
82728,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,3.6666667,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,0.4443188,-0.52781683,-0.93687642,51.0,22.0,77.0,68.0,32.0,15.0,18.0,80.0,42.0,82.0,21.0,30.0,72.0,85.0,52.0,86.0,23.0,24.0,48.888889
