egoid,grade,course,AcademicPeriod
17183,3.3,23217,201520
17183,3.0,23570,201720
17183,3.3,24232,201620
17183,3.7,26064,201520
17183,4.0,30276,201520
17183,3.7,27649,201820
17183,4.0,27765,201720
17183,3.0,29243,201520
17183,4.0,29636,201720
17183,3.3,29843,201720
17183,4.0,29844,201820
17183,3.7,29845,201820
17183,3.3,30272,201620
17183,3.7,26334,201820
17183,3.3,20640,201520
17183,3.7,20775,201620
17183,3.7,19676,201710
17183,3.3,20191,201620
17183,3.3,11228,201710
17183,3.7,11672,201710
17183,2.7,12193,201610
17183,4.0,12384,201510
17183,3.7,14787,201610
17183,3.0,14909,201710
17183,4.0,14937,201710
17183,4.0,15154,201510
17183,3.0,13682,201610
17183,3.0,15335,201610
17183,3.7,15621,201510
17183,3.0,15869,201510
17183,3.7,16607,201810
17183,4.0,16863,201810
17183,4.0,16923,201810
17183,4.0,19486,201510
17183,3.7,19568,201810
17183,3.0,15327,201610
17183,3.7,19569,201810
17308,4.0,23065,201520
17308,4.0,23063,201720
17308,4.0,22793,201620
17308,4.0,22574,201820
17308,3.3,21334,201620
17308,3.7,21898,201520
17308,2.7,21897,201520
17308,3.3,20938,201720
17308,3.7,23260,201620
17308,4.0,21950,201720
17308,4.0,23265,201620
17308,3.7,30117,201820
17308,4.0,25187,201520
17308,4.0,25467,201620
17308,4.0,25835,201520
17308,3.7,25841,201520
17308,3.3,28085,201820
17308,3.0,29752,201720
17308,4.0,29763,201720
17308,3.7,29831,201620
17308,4.0,30262,201520
17308,4.0,20472,201510
17308,4.0,23415,201820
17308,4.0,20138,201620
17308,4.0,30912,201820
17308,4.0,20077,201720
17308,4.0,10371,201610
17308,3.3,10676,201510
17308,3.7,11083,201710
17308,4.0,11256,201510
17308,4.0,11261,201810
17308,3.7,11343,201610
17308,3.7,11579,201610
17308,3.7,12511,201610
17308,4.0,12802,201510
17308,3.3,13097,201810
17308,2.7,13471,201610
17308,3.3,20082,201720
17308,3.3,14225,201510
17308,4.0,14530,201710
17308,4.0,15168,201510
17308,3.7,15735,201510
17308,3.7,15829,201810
17308,3.3,15926,201810
17308,3.7,19789,201710
17308,3.7,20014,201710
17308,4.0,20015,201710
17308,3.0,20028,201810
17308,4.0,20062,201710
17308,4.0,13476,201610
17470,3.7,24880,201820
17470,2.0,22159,201520
17470,4.0,21596,201820
17470,3.3,21376,201520
17470,3.0,20796,201710
17470,3.3,21204,201620
17470,2.7,21135,201520
17470,4.0,20881,201610
17470,3.0,25383,201820
17470,2.7,21323,201620
17470,3.7,26069,201820
17470,3.0,28542,201720
17470,3.0,26635,201720
17470,3.7,27329,201820
17470,3.7,27345,201820
17470,4.0,27347,201820
17470,3.3,29742,201520
17470,3.7,30358,201520
17470,3.3,31342,201720
17470,2.7,31425,201720
17470,3.0,31469,201720
17470,3.3,31689,201820
17470,4.0,20438,201510
17470,3.7,26442,201520
17470,2.7,20357,201620
17470,3.7,29768,201820
17470,3.3,19054,201810
17470,3.7,20014,201620
17470,3.0,10662,201610
17470,3.0,10788,201610
17470,3.0,10819,201810
17470,2.7,11184,201710
17470,3.0,11185,201710
17470,2.3,11267,201610
17470,2.7,11381,201710
17470,2.7,11726,201510
17470,3.3,11908,201810
17470,3.0,12216,201510
17470,3.3,10349,201710
17470,3.3,13310,201810
17470,3.3,12952,201810
17470,3.3,19050,201810
17470,3.7,18032,201510
17470,3.0,17696,201610
17470,3.3,17155,201510
17470,4.0,18036,201610
17470,4.0,16941,201710
17470,3.7,16833,201810
17470,3.0,16123,201810
17470,3.3,15735,201510
17470,4.0,14775,201610
17522,4.0,24133,201820
17522,3.7,23261,201620
17522,4.0,23313,201820
17522,3.3,23460,201620
17522,4.0,23629,201720
17522,3.3,23818,201620
17522,4.0,23933,201620
17522,3.3,23937,201720
17522,3.0,23066,201520
17522,4.0,24197,201820
17522,3.0,29243,201520
17522,4.0,25327,201520
17522,3.7,25409,201820
17522,3.3,25832,201620
17522,4.0,27652,201720
17522,4.0,29252,201620
17522,2.7,29561,201720
17522,3.3,29754,201720
17522,4.0,29758,201720
17522,4.0,30255,201520
17522,4.0,22464,201620
17522,3.7,30715,201820
17522,3.3,24928,201720
17522,4.0,22014,201520
17522,4.0,20335,201810
17522,4.0,21098,201510
17522,4.0,10758,201810
17522,4.0,10818,201810
17522,4.0,21307,201710
17522,3.7,11206,201610
17522,3.0,11908,201510
17522,4.0,12336,201810
17522,4.0,12760,201610
17522,3.7,12802,201510
17522,3.7,13147,201710
17522,2.3,13328,201510
17522,4.0,11087,201610
17522,4.0,13472,201610
17522,3.7,13471,201610
17522,3.0,20572,201620
17522,2.3,20184,201520
17522,2.7,19486,201510
17522,4.0,20408,201610
17522,2.0,15869,201510
17522,3.7,15060,201710
17522,4.0,14457,201810
17522,4.0,13839,201810
17522,3.7,16690,201710
17932,3.3,23448,201520
17932,4.0,20791,201620
17932,4.0,21467,201710
17932,4.0,21468,201710
17932,4.0,21496,201520
17932,4.0,23219,201520
17932,4.0,24054,201620
17932,3.7,30134,201720
17932,3.7,25661,201520
17932,4.0,27878,201720
17932,4.0,29514,201720
17932,3.7,30129,201720
17932,4.0,30135,201720
17932,4.0,30350,201520
17932,4.0,20408,201510
17932,4.0,24796,201620
17932,4.0,20369,201520
17932,3.7,27435,201620
17932,4.0,19891,201610
17932,3.7,10167,201610
17932,3.3,10584,201510
17932,4.0,10730,201510
17932,4.0,11749,201610
17932,4.0,11754,201610
17932,4.0,20255,201620
17932,4.0,11900,201510
17932,4.0,10740,201810
17932,4.0,13664,201510
17932,3.7,14778,201510
17932,3.7,14892,201610
17932,3.7,16371,201810
17932,3.7,18718,201710
17932,4.0,19343,201810
17932,4.0,19836,201810
17932,4.0,12773,201710
18611,4.0,23966,201720
18611,4.0,23756,201720
18611,2.0,23065,201520
18611,3.7,22693,201520
18611,3.3,20668,201510
18611,2.0,22192,201520
18611,3.7,20880,201520
18611,4.0,24290,201620
18611,3.3,22459,201620
18611,3.0,24605,201720
18611,4.0,30150,201820
18611,3.0,26393,201620
18611,3.0,27021,201620
18611,3.3,27754,201720
18611,4.0,28464,201820
18611,3.7,29514,201720
18611,3.7,29802,201620
18611,3.3,30129,201720
18611,2.0,20572,201620
18611,4.0,30278,201520
18611,4.0,30887,201820
18611,3.7,26202,201720
18611,3.7,20450,201610
18611,4.0,20456,201510
18611,2.3,20184,201520
18611,4.0,4082,201800
18611,3.3,11072,201710
18611,2.7,20255,201620
18611,3.0,11204,201610
18611,3.0,11736,201610
18611,2.0,12211,201510
18611,4.0,13407,201810
18611,4.0,14101,201710
18611,1.7,14225,201510
18611,4.0,14476,201510
18611,4.0,15814,201710
18611,3.0,11087,201610
18611,4.0,16139,201710
18611,3.7,15828,201810
18611,4.0,19870,201610
18611,4.0,19844,201810
18611,4.0,19789,201710
18611,3.3,20144,201710
18611,2.7,17609,201610
18611,3.7,17412,201810
18611,3.0,17155,201510
18611,3.7,16931,201810
18611,3.7,19343,201810
18677,3.7,25242,201620
18677,4.0,20539,201710
18677,3.7,30391,201520
18677,3.3,21030,201520
18677,4.0,21376,201520
18677,3.3,22881,201620
18677,4.0,23567,201720
18677,3.3,24232,201620
18677,4.0,25401,201720
18677,3.7,29855,201720
18677,3.7,27407,201820
18677,3.7,27776,201520
18677,4.0,29331,201620
18677,4.0,29856,201720
18677,4.0,29873,201720
18677,4.0,30135,201820
18677,4.0,30330,201520
18677,3.3,20504,201520
18677,4.0,27209,201820
18677,4.0,20399,201510
18677,4.0,19693,201710
18677,4.0,20109,201710
18677,4.0,10138,201510
18677,3.7,10791,201710
18677,3.3,11028,201610
18677,3.7,12193,201610
18677,3.7,12802,201510
18677,3.0,13071,201610
18677,3.0,15230,201510
18677,4.0,16179,201810
18677,4.0,16182,201810
18677,2.7,20314,201620
18677,4.0,16495,201810
18677,3.7,17155,201510
18677,4.0,17820,201510
18677,4.0,18754,201810
18677,3.7,19666,201710
18677,4.0,19690,201610
18677,2.7,19747,201610
18677,3.3,19806,201810
18677,3.3,16220,201810
18707,4.0,24114,201720
18707,3.3,23557,201520
18707,4.0,20361,201810
18707,3.7,20497,201520
18707,4.0,20412,201510
18707,3.0,24329,201620
18707,2.0,22126,201520
18707,2.0,24782,201620
18707,4.0,27679,201820
18707,4.0,24988,201720
18707,4.0,25970,201720
18707,3.0,27333,201720
18707,2.7,28986,201520
18707,4.0,30117,201820
18707,4.0,30307,201520
18707,2.7,30335,201820
18707,4.0,20175,201520
18707,3.3,24793,201620
18707,3.7,31372,201820
18707,3.3,19688,201610
18707,2.7,19568,201610
18707,3.0,20029,201620
18707,4.0,2366,201600
18707,4.0,3049,201600
18707,2.7,11490,201510
18707,4.0,11861,201610
18707,2.7,13730,201610
18707,4.0,15161,201710
18707,2.0,15727,201510
18707,2.7,12486,201810
18707,4.0,16066,201510
18707,2.0,15869,201510
18707,4.0,19099,201810
18707,3.3,18835,201810
18707,4.0,18556,201710
18707,3.3,19334,201810
18707,4.0,18469,201710
18707,2.7,18453,201710
18707,3.7,18554,201710
19245,4.0,24782,201620
19245,3.7,21102,201520
19245,4.0,21376,201520
19245,4.0,22014,201520
19245,4.0,22519,201620
19245,4.0,24492,201520
19245,3.7,24630,201720
19245,4.0,26345,201720
19245,4.0,20746,201620
19245,4.0,26450,201620
19245,4.0,26452,201620
19245,4.0,30869,201820
19245,4.0,27891,201720
19245,4.0,29767,201520
19245,4.0,30333,201820
19245,4.0,30337,201820
19245,4.0,30353,201520
19245,4.0,26376,201720
19245,3.0,20518,201710
19245,4.0,27820,201720
19245,4.0,19671,201710
19245,4.0,10887,201810
19245,4.0,11265,201610
19245,4.0,11585,201710
19245,3.3,12215,201510
19245,4.0,12432,201610
19245,4.0,12435,201610
19245,4.0,12824,201810
19245,3.7,12926,201710
19245,3.7,13275,201710
19245,4.0,20413,201510
19245,4.0,13877,201510
19245,4.0,14107,201610
19245,4.0,15007,201810
19245,4.0,15154,201510
19245,4.0,15761,201510
19245,3.3,15792,201510
19245,3.7,19078,201810
19245,4.0,19642,201710
19245,4.0,13511,201610
19735,4.0,20298,201620
19735,4.0,20464,201510
19735,4.0,20517,201620
19735,4.0,20674,201520
19735,3.0,21063,201520
19735,3.7,21330,201520
19735,4.0,21580,201620
19735,3.7,22076,201720
19735,4.0,22070,201720
19735,4.0,22074,201720
19735,2.7,22075,201720
19735,4.0,20228,201520
19735,3.7,23428,201720
19735,4.0,27160,201620
19735,4.0,30259,201520
19735,4.0,21919,201820
19735,4.0,20082,201820
19735,4.0,20798,201820
19735,3.7,18033,201510
19735,4.0,19990,201810
19735,3.3,10695,201510
19735,4.0,10910,201810
19735,4.0,11070,201810
19735,4.0,11142,201610
19735,4.0,11485,201610
19735,3.7,11486,201610
19735,4.0,11910,201810
19735,4.0,11188,201610
19735,4.0,12106,201710
19735,3.3,12272,201510
19735,3.3,13328,201510
19735,4.0,13689,201710
19735,3.3,13786,201710
19735,3.7,15779,201510
19735,3.3,12104,201710
19735,4.0,16778,201610
20179,4.0,24045,201820
20179,4.0,30369,201520
20179,3.0,23677,201520
20179,3.3,22794,201520
20179,4.0,21816,201720
20179,3.0,22034,201620
20179,4.0,25008,201820
20179,4.0,20457,201510
20179,3.7,22343,201720
20179,3.3,25229,201820
20179,3.7,26801,201720
20179,3.3,25269,201720
20179,3.7,25324,201620
20179,3.7,25335,201620
20179,3.7,25336,201620
20179,2.7,25589,201620
20179,3.7,25771,201620
20179,3.7,26444,201520
20179,2.7,29917,201820
20179,4.0,30356,201820
20179,4.0,20439,201810
20179,4.0,25268,201720
20179,3.3,19815,201810
20179,2.3,23840,201520
20179,3.7,16363,201610
20179,3.7,19494,201810
20179,3.7,10009,201810
20179,2.3,10497,201610
20179,3.0,10676,201510
20179,4.0,11256,201510
20179,2.7,11889,201610
20179,4.0,11890,201610
20179,2.3,11902,201510
20179,2.7,11923,201710
20179,3.7,12211,201510
20179,2.0,12893,201510
20179,3.0,21765,201520
20179,2.3,14280,201610
20179,3.0,14529,201810
20179,4.0,14846,201810
20179,4.0,14848,201810
20179,3.7,14849,201710
20179,4.0,15268,201610
20179,3.3,15540,201610
20179,2.3,15838,201710
20179,3.3,15965,201710
20179,4.0,16315,201710
20179,2.7,13328,201510
20650,3.7,26679,201520
20650,4.0,25613,201720
20650,3.0,22126,201520
20650,4.0,23101,201720
20650,3.7,22880,201720
20650,3.3,29038,201520
20650,3.7,25044,201720
20650,3.7,29064,201520
20650,3.7,29866,201820
20650,4.0,29763,201620
20650,3.7,29853,201820
20650,3.7,29855,201820
20650,3.3,30223,201620
20650,3.3,30272,201620
20650,4.0,30278,201620
20650,4.0,30352,201520
20650,4.0,30793,201820
20650,4.0,30972,201820
20650,4.0,29293,201620
20650,3.7,20701,201520
20650,4.0,24940,201720
20650,4.0,20479,201510
20650,3.7,20667,201610
20650,4.0,10021,201810
20650,4.0,10167,201610
20650,3.3,11241,201510
20650,3.3,11950,201710
20650,3.7,12251,201510
20650,3.0,13816,201510
20650,3.3,13902,201510
20650,3.0,14078,201510
20650,4.0,20275,201610
20650,3.7,17209,201710
20650,3.3,16299,201810
20650,3.7,20059,201710
20650,3.7,20046,201810
20650,3.3,19990,201810
20650,4.0,20080,201710
20650,2.7,19502,201610
20650,4.0,19414,201810
20650,3.7,18113,201610
20650,4.0,19776,201710
21090,4.0,22659,201720
21090,4.0,26046,201820
21090,4.0,24022,201820
21090,4.0,24754,201520
21090,4.0,25339,201720
21090,4.0,25589,201620
21090,3.7,25673,201520
21090,4.0,25744,201620
21090,4.0,26232,201620
21090,4.0,29034,201520
21090,4.0,26445,201520
21090,4.0,26461,201820
21090,4.0,27269,201620
21090,4.0,29418,201620
21090,4.0,29419,201620
