egoid,major1rc_6,major2rc_6,degreeintent_6,majorevent_6
93485,403.0,135.0,"Bachelor's degree (B.A., B.S., etc.)",no
34402,,,,
62617,507.0,,"M.D., D.O., D.D.S., or D.V.M.",yes
42137,303.0,,"Bachelor's degree (B.A., B.S., etc.)",no
37305,406.0,111.0,"Bachelor's degree (B.A., B.S., etc.)",no
48013,,,,
44447,,,,
14571,,,,
69057,309.0,,"Bachelor's degree (B.A., B.S., etc.)",no
49125,,,,
66629,,,,
83542,110.0,118.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
18222,305.0,,Ph.D or Ed.D.,no
39738,402.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
26858,510.0,,"M.D., D.O., D.D.S., or D.V.M.",no
70552,,,,
38826,131.0,135.0,Ph.D or Ed.D.,no
93504,406.0,106.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
64232,507.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
37404,401.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes
25961,,,,
87330,,,,
92028,,,,
82248,116.0,135.0,J.D. (Law),yes
28824,,,,
11482,,,,
69936,302.0,,"Bachelor's degree (B.A., B.S., etc.)",no
91320,,,,
37001,403.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes
70492,511.0,,"M.D., D.O., D.D.S., or D.V.M.",no
95543,305.0,,"Bachelor's degree (B.A., B.S., etc.)",no
21380,302.0,,"Bachelor's degree (B.A., B.S., etc.)",no
67106,,,,
25495,,,,
26581,,,,
66642,309.0,,"Bachelor's degree (B.A., B.S., etc.)",no
83612,503.0,,"M.D., D.O., D.D.S., or D.V.M.",no
63954,,,,
20665,,,,
19122,301.0,,"Bachelor's degree (B.A., B.S., etc.)",no
99978,,,,
92566,110.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
39414,,,,
35987,305.0,,"Bachelor's degree (B.A., B.S., etc.)",no
66655,,,,
10547,,,,
46373,406.0,,"Bachelor's degree (B.A., B.S., etc.)",no
79341,511.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
19591,403.0,,"Bachelor's degree (B.A., B.S., etc.)",no
83536,,,,
66682,,,,
88337,,,,
67608,503.0,129.0,"M.D., D.O., D.D.S., or D.V.M.",no
19735,,,,
42513,,,,
64595,,,,
85134,,,,
