egoid,hs_1,hssex_1,hsgrade_1,apcourses_1,apexams_1,degreeintent_1,major1rc_1,major2rc_1,hrswork_1,hsclub1rc_1,hsclub2rc_1,hsclub3rc_1,hsclub4rc_1,hsclub5rc_1,ndfirst_1,majorevent_1
61084,Public school,A mixture of boys and girls,A or A+,5 or more,3-4,"Bachelor's degree (B.A., B.S., etc.)",302.0,309.0,11-15,43100.0,45100.0,11300.0,11300.0,63100.0,Yes,no
92412,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,117.0,109.0,None,13200.0,13200.0,43100.0,12100.0,43500.0,Yes,no
92038,Private religious/parochial school,Same sex- male,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",400.0,,0-4,43100.0,45100.0,46900.0,25100.0,41900.0,Yes,no
33388,Public school,A mixture of boys and girls,A-,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,400.0,None,13200.0,13200.0,13200.0,12200.0,46100.0,No,yes
31717,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,302.0,504.0,5-10,41200.0,45200.0,44900.0,45200.0,41200.0,No,no
18324,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,21300.0,21200.0,43600.0,43400.0,45100.0,Yes,
86440,Public school,A mixture of boys and girls,A or A+,3-4,3-4,J.D. (Law),403.0,404.0,None,12900.0,11300.0,11300.0,11300.0,,Yes,no
95585,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",309.0,400.0,0-4,16900.0,13200.0,43900.0,13200.0,54200.0,No,no
29792,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,5 or more,Ph.D or Ed.D.,508.0,125.0,5-10,43500.0,13200.0,13200.0,21100.0,45200.0,Yes,yes
14737,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,401.0,None,45100.0,21100.0,45100.0,43100.0,46200.0,Yes,no
28223,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,21100.0,21100.0,21100.0,45100.0,45100.0,No,
85708,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,508.0,506.0,None,13200.0,43100.0,45100.0,44200.0,45200.0,Yes,no
55452,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",200.0,128.0,11-15,21300.0,45100.0,45100.0,13200.0,13200.0,No,no
20179,Public magnet school,A mixture of boys and girls,A-,Not offered at my high school,Not offered at my high school,Ph.D or Ed.D.,302.0,503.0,16-20,45100.0,13200.0,21200.0,44300.0,42200.0,No,yes
78339,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,5 or more,,,,,45100.0,13200.0,43500.0,45100.0,45100.0,No,
23696,Public school,A mixture of boys and girls,A or A+,1-2,1-2,Ph.D or Ed.D.,117.0,303.0,5-10,43900.0,45100.0,45100.0,13200.0,16100.0,No,yes
28653,Private independent college-prep school,A mixture of boys and girls,A-,3-4,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,106.0,None,11300.0,43100.0,43100.0,44300.0,12300.0,Yes,yes
84715,Public school,A mixture of boys and girls,A-,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",200.0,116.0,5-10,45100.0,21200.0,,,,Yes,no
95559,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",301.0,309.0,None,16900.0,13200.0,44200.0,45100.0,13200.0,No,no
30152,Public school,A mixture of boys and girls,A-,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",503.0,400.0,None,12200.0,44900.0,43600.0,,,Yes,no
68764,Public school,A mixture of boys and girls,A or A+,1-2,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",305.0,,21 or more,21100.0,11200.0,45100.0,45100.0,49999.0,No,no
60367,Public school,A mixture of boys and girls,B+,3-4,3-4,,,,,11300.0,,,,,Yes,
36939,Public school,A mixture of boys and girls,A or A+,3-4,3-4,,,,,13200.0,13200.0,13200.0,45100.0,43100.0,Yes,
59592,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,502.0,503.0,5-10,17100.0,21100.0,21100.0,,,Yes,yes
22897,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,11300.0,11300.0,11300.0,,,No,
89652,Private religious/parochial school,Same sex- female,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",503.0,137.0,5-10,13200.0,41200.0,45100.0,41100.0,44900.0,Yes,no
28724,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,3-4,Ph.D or Ed.D.,503.0,507.0,0-4,13200.0,43500.0,45100.0,45100.0,13200.0,No,no
92895,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",111.0,406.0,0-4,44300.0,11300.0,,,,Yes,no
69831,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,305.0,306.0,None,21100.0,13200.0,45100.0,43100.0,,Yes,no
59178,Public school,A mixture of boys and girls,A or A+,1-2,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",302.0,309.0,None,15100.0,11300.0,11200.0,42900.0,41200.0,No,no
50072,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,41100.0,13200.0,13200.0,44200.0,42200.0,Yes,
44927,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,502.0,507.0,0-4,45100.0,45100.0,45100.0,12200.0,,No,no
71894,Public school,A mixture of boys and girls,A-,5 or more,5 or more,Ph.D or Ed.D.,305.0,,None,43500.0,25200.0,63900.0,42200.0,,No,no
76790,Private religious/parochial school,Same sex- female,A or A+,5 or more,5 or more,,,,,11300.0,45100.0,42200.0,45100.0,46200.0,Yes,
78428,Private religious/parochial school,Same sex- female,A or A+,Not offered at my high school,Not offered at my high school,,,,,13200.0,13200.0,13200.0,21100.0,43100.0,Yes,
66676,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,3-4,,,,,11300.0,11300.0,45100.0,41200.0,51900.0,Yes,
95930,Public school,A mixture of boys and girls,A or A+,3-4,1-2,,,,,13200.0,13200.0,45100.0,45100.0,49999.0,Yes,
70962,Public school,A mixture of boys and girls,A or A+,3-4,3-4,,,,,21900.0,21100.0,13200.0,,,No,
12738,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",125.0,406.0,11-15,45200.0,45200.0,45100.0,45100.0,,Yes,no
29647,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,13200.0,41100.0,13200.0,59200.0,,Yes,
27111,Public school,A mixture of boys and girls,A or A+,3-4,3-4,"M.D., D.O., D.D.S., or D.V.M.",507.0,109.0,None,13200.0,13200.0,43900.0,43500.0,,No,no
30453,Public school,A mixture of boys and girls,A or A+,3-4,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",401.0,400.0,None,17100.0,21300.0,43100.0,63900.0,13200.0,No,yes
58219,Private independent college-prep school,A mixture of boys and girls,A-,3-4,5 or more,,,,,45100.0,25200.0,45100.0,42200.0,21300.0,No,
28377,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,11300.0,43600.0,45100.0,,,No,
80177,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",302.0,502.0,None,11300.0,11300.0,41300.0,41100.0,43900.0,Yes,yes
18677,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,17100.0,49999.0,45100.0,42200.0,43900.0,Yes,
66047,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,103.0,506.0,0-4,45100.0,44900.0,21100.0,,,Yes,no
58682,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,11200.0,45100.0,45100.0,62900.0,41900.0,Yes,
81199,Private independent college-prep school,Same sex- female,A-,5 or more,5 or more,,,,,11300.0,25200.0,45100.0,45200.0,,No,
85679,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",400.0,109.0,None,45100.0,11300.0,11300.0,45100.0,,No,no
79834,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",507.0,,0-4,43100.0,45200.0,13200.0,45100.0,45100.0,Yes,no
93471,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",129.0,129.0,None,13200.0,13200.0,43800.0,43100.0,54200.0,Yes,no
19538,Private religious/parochial school,Same sex- female,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,109.0,0-4,43100.0,43100.0,45100.0,17100.0,17100.0,No,no
14595,Public school,A mixture of boys and girls,A-,5 or more,5 or more,,,,,11300.0,42900.0,45100.0,46300.0,43600.0,No,
38052,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,41900.0,13200.0,13200.0,43900.0,21100.0,No,
33133,Private religious/parochial school,Same sex- female,A or A+,5 or more,5 or more,Ph.D or Ed.D.,506.0,508.0,None,11200.0,43100.0,13200.0,16900.0,45100.0,Yes,no
40021,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,43900.0,45200.0,13200.0,13200.0,,Yes,
27141,Private religious/parochial school,Same sex- female,A or A+,3-4,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",511.0,,None,13200.0,45100.0,13200.0,21100.0,43400.0,Yes,yes
93858,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",403.0,406.0,None,11300.0,12200.0,29200.0,59200.0,21200.0,Yes,yes
47810,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",309.0,,11-15,13200.0,13200.0,41900.0,43500.0,45100.0,Yes,yes
58196,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",400.0,,None,21300.0,43600.0,25200.0,45100.0,45100.0,No,no
42773,Public school,A mixture of boys and girls,A-,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",507.0,,None,13200.0,45100.0,,,,Yes,no
72152,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,1-2,"Bachelor's degree (B.A., B.S., etc.)",,,None,13200.0,13200.0,13200.0,43100.0,46100.0,Yes,no
76663,Private independent college-prep school,A mixture of boys and girls,A or A+,0,1-2,,,,,43100.0,12200.0,41200.0,43800.0,,Yes,
48224,Private independent college-prep school,A mixture of boys and girls,A or A+,Not offered at my high school,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",111.0,306.0,None,21300.0,43900.0,43500.0,,,No,no
30137,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,11300.0,11300.0,,,,No,
68318,Private religious/parochial school,Same sex- female,A or A+,5 or more,5 or more,,,,,13200.0,21200.0,45100.0,43100.0,43100.0,No,
62246,Private religious/parochial school,Same sex- male,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",309.0,301.0,None,41200.0,13200.0,43100.0,13200.0,41900.0,Yes,no
69496,Private religious/parochial school,A mixture of boys and girls,A or A+,1-2,1-2,Ph.D or Ed.D.,507.0,100.0,None,21200.0,17100.0,25200.0,45100.0,25200.0,No,yes
61028,Public magnet school,A mixture of boys and girls,A or A+,3-4,3-4,,,,,11300.0,11300.0,45100.0,43900.0,25200.0,No,
55424,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",,,0-4,11300.0,42200.0,41100.0,,,Yes,no
17581,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,1-2,"M.D., D.O., D.D.S., or D.V.M.",511.0,305.0,None,11300.0,11300.0,45100.0,45100.0,43100.0,Yes,no
23576,Private religious/parochial school,A mixture of boys and girls,A or A+,1-2,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",406.0,102.0,None,11300.0,11300.0,11300.0,45100.0,,Yes,no
57842,Private religious/parochial school,Same sex- female,A or A+,Not offered at my high school,Not offered at my high school,,,,,11200.0,12200.0,43100.0,43400.0,43100.0,Yes,
17522,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,1-2,,,,,42900.0,17100.0,41400.0,45100.0,13200.0,No,
55685,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,11300.0,43100.0,42200.0,12200.0,43500.0,Yes,
74079,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,11100.0,11300.0,11200.0,11300.0,46100.0,No,
97833,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,407.0,None,13200.0,13200.0,49999.0,12900.0,,Yes,no
11992,Public school,Same sex- female,A or A+,Not offered at my high school,Not offered at my high school,,,,,45100.0,21300.0,21200.0,45100.0,21100.0,No,
93485,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,135.0,None,11300.0,11100.0,41200.0,41200.0,21300.0,Yes,no
34402,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",403.0,401.0,None,13200.0,13200.0,45200.0,43100.0,43500.0,Yes,yes
62617,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",134.0,510.0,0-4,11300.0,11200.0,43900.0,41200.0,43900.0,Yes,no
42137,Private religious/parochial school,Same sex- female,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",303.0,,None,13200.0,41200.0,25200.0,21100.0,43400.0,Yes,no
37305,Public school,A mixture of boys and girls,A-,1-2,1-2,"Bachelor's degree (B.A., B.S., etc.)",406.0,111.0,11-15,25200.0,44200.0,11300.0,43900.0,41200.0,Yes,yes
48013,Private religious/parochial school,Same sex- female,A-,1-2,1-2,"M.D., D.O., D.D.S., or D.V.M.",503.0,,0-4,42100.0,44100.0,13200.0,59200.0,43400.0,Yes,no
44447,Private religious/parochial school,Same sex- female,A or A+,5 or more,5 or more,J.D. (Law),128.0,,0-4,43100.0,11300.0,43100.0,43500.0,43100.0,Yes,no
14571,Private religious/parochial school,A mixture of boys and girls,B-,5 or more,5 or more,Ph.D or Ed.D.,503.0,305.0,None,45200.0,45100.0,45100.0,45100.0,45100.0,No,no
69057,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",309.0,400.0,None,45100.0,16100.0,45100.0,45100.0,63900.0,No,no
49125,Public school,A mixture of boys and girls,A-,1-2,1-2,,,,,45100.0,53200.0,13200.0,17300.0,,No,
66629,Private independent college-prep school,Same sex- female,A-,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",200.0,,0-4,13200.0,13200.0,42200.0,43400.0,44900.0,Yes,no
83542,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",,,11-15,11200.0,45100.0,43900.0,43500.0,21100.0,Yes,no
18222,Private independent college-prep school,A mixture of boys and girls,A-,Not offered at my high school,Not offered at my high school,,,,,11200.0,45100.0,14900.0,43100.0,45100.0,Yes,
39738,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,J.D. (Law),128.0,,11-15,13200.0,45200.0,43100.0,43100.0,43400.0,Yes,no
26858,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",503.0,510.0,None,13200.0,13200.0,44900.0,43800.0,21100.0,No,no
70552,Public school,A mixture of boys and girls,A or A+,1-2,1-2,,,,,21100.0,21200.0,43100.0,45100.0,,Yes,
38826,Private religious/parochial school,Same sex- female,A-,5 or more,5 or more,,,,,61200.0,43500.0,45100.0,63900.0,11300.0,Yes,
93504,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,21100.0,43100.0,45200.0,21100.0,44900.0,No,
64232,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,3-4,"M.D., D.O., D.D.S., or D.V.M.",507.0,510.0,0-4,11300.0,11300.0,43100.0,63900.0,45100.0,Yes,no
37404,Private independent college-prep school,A mixture of boys and girls,A-,Not offered at my high school,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",401.0,,5-10,21300.0,13200.0,54900.0,,,Yes,no
25961,Public school,A mixture of boys and girls,A-,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",503.0,116.0,11-15,63900.0,45100.0,43400.0,45100.0,21100.0,No,yes
87330,Private religious/parochial school,Same sex- female,A or A+,5 or more,5 or more,,,,,43100.0,13200.0,16100.0,41200.0,42200.0,Yes,
92028,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,503.0,507.0,11-15,11300.0,11300.0,,,,No,yes
82248,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,43100.0,45100.0,43100.0,43100.0,49999.0,No,
28824,Public charter school,A mixture of boys and girls,A or A+,1-2,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",302.0,,None,45100.0,21100.0,21100.0,41100.0,45100.0,Yes,no
11482,Public charter school,A mixture of boys and girls,B+,3-4,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",303.0,200.0,16-20,13200.0,17100.0,13200.0,43500.0,45100.0,No,no
69936,Public school,A mixture of boys and girls,A-,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",302.0,309.0,None,11300.0,12200.0,45100.0,21100.0,43500.0,Yes,no
91320,Public school,A mixture of boys and girls,A-,5 or more,5 or more,,,,,45200.0,43800.0,43500.0,,,No,
37001,Private religious/parochial school,Same sex- female,A or A+,5 or more,3-4,,,,,11300.0,11300.0,43100.0,43500.0,43900.0,Yes,
70492,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",510.0,511.0,None,43100.0,43600.0,13200.0,13200.0,13200.0,No,yes
95543,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,304.0,305.0,5-10,21100.0,21100.0,45100.0,11300.0,43500.0,Yes,no
21380,Private religious/parochial school,Same sex- male,A or A+,5 or more,5 or more,,,,,43400.0,51100.0,43400.0,43500.0,43500.0,Yes,
67106,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",303.0,,5-10,21100.0,41200.0,21100.0,91300.0,43400.0,Yes,no
25495,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",109.0,,None,11300.0,45200.0,41200.0,,,Yes,no
26581,Private independent college-prep school,A mixture of boys and girls,A-,1-2,1-2,J.D. (Law),400.0,117.0,None,11200.0,11300.0,63100.0,54200.0,46900.0,Yes,yes
66642,Private religious/parochial school,Same sex- male,A or A+,3-4,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",301.0,,None,11100.0,17300.0,45100.0,22100.0,13200.0,Yes,no
83612,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",503.0,510.0,None,13200.0,45100.0,45100.0,45900.0,63900.0,Yes,no
63954,Public school,A mixture of boys and girls,A or A+,Not offered at my high school,5 or more,,,,,43900.0,,,,,No,
20665,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",309.0,305.0,5-10,21100.0,45100.0,45100.0,45100.0,45100.0,Yes,no
19122,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",301.0,309.0,5-10,11100.0,43100.0,45100.0,45100.0,43100.0,Yes,no
99978,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",302.0,309.0,0-4,13200.0,13200.0,45200.0,41200.0,13200.0,Yes,yes
92566,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,110.0,125.0,5-10,11300.0,21200.0,45100.0,43100.0,43100.0,Yes,no
39414,Public charter school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",200.0,305.0,None,41200.0,45100.0,63900.0,,,No,no
35987,Private religious/parochial school,Same sex- male,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",303.0,,None,41100.0,13200.0,41200.0,13200.0,54100.0,No,no
66655,Private religious/parochial school,Same sex- female,A or A+,5 or more,5 or more,Ph.D or Ed.D.,129.0,117.0,0-4,43100.0,45200.0,13200.0,21100.0,21300.0,Yes,no
10547,Public school,A mixture of boys and girls,A or A+,5 or more,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",511.0,400.0,None,13200.0,13200.0,13200.0,45200.0,43100.0,Yes,no
46373,Public school,A mixture of boys and girls,A or A+,3-4,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",128.0,109.0,5-10,11100.0,11300.0,11100.0,43100.0,43100.0,Yes,no
79341,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",,,16-20,13200.0,13200.0,45100.0,43100.0,41200.0,Yes,no
19591,Public school,A mixture of boys and girls,A-,Not offered at my high school,Not offered at my high school,,,,,13200.0,21300.0,43500.0,44900.0,43100.0,Yes,
83536,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",302.0,303.0,None,21100.0,29200.0,45200.0,42200.0,45100.0,Yes,yes
66682,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,305.0,501.0,11-15,13200.0,43100.0,43900.0,54200.0,54200.0,No,no
88337,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,5 or more,J.D. (Law),109.0,134.0,None,11300.0,43100.0,17300.0,42200.0,12200.0,Yes,no
67608,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",503.0,510.0,None,13200.0,43100.0,53200.0,13200.0,44200.0,No,no
19735,Public school,A mixture of boys and girls,A or A+,5 or more,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",303.0,300.0,None,21100.0,43400.0,13200.0,21200.0,21100.0,No,yes
42513,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",109.0,116.0,5-10,21200.0,21200.0,16100.0,43100.0,45100.0,No,no
64595,Private religious/parochial school,Same sex- male,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",128.0,116.0,0-4,45200.0,21100.0,43400.0,41200.0,41200.0,Yes,no
85134,Public school,A mixture of boys and girls,A or A+,1-2,1-2,,,,,11300.0,11300.0,49999.0,45100.0,45100.0,No,
51952,Public magnet school,A mixture of boys and girls,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",510.0,400.0,0-4,13200.0,13200.0,16900.0,45100.0,43100.0,Yes,no
28837,Public school,A mixture of boys and girls,A or A+,3-4,3-4,Ph.D or Ed.D.,400.0,400.0,11-15,13200.0,13200.0,13200.0,43100.0,21100.0,Yes,no
46266,Public school,A mixture of boys and girls,A or A+,5 or more,1-2,"Bachelor's degree (B.A., B.S., etc.)",309.0,303.0,None,45100.0,43700.0,22100.0,43100.0,43500.0,Yes,no
61289,Public school,Same sex- male,A-,5 or more,5 or more,J.D. (Law),128.0,139.0,11-15,45100.0,45100.0,43100.0,45100.0,,Yes,no
18743,Private religious/parochial school,Same sex- male,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",309.0,,None,43900.0,13200.0,44900.0,16900.0,45100.0,Yes,yes
13647,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,13200.0,13200.0,45100.0,,,No,
59207,Private religious/parochial school,Same sex- male,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",302.0,107.0,None,13200.0,21100.0,44200.0,43500.0,,Yes,no
48946,Public school,A mixture of boys and girls,A or A+,5 or more,3-4,Ph.D or Ed.D.,508.0,300.0,None,45100.0,45100.0,45100.0,21100.0,45100.0,Yes,yes
86083,Public school,A mixture of boys and girls,A or A+,1-2,1-2,,,,,13200.0,45100.0,43100.0,,,Yes,
96613,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,501.0,0-4,13200.0,13200.0,45100.0,41200.0,43100.0,Yes,no
49014,Public charter school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,43100.0,45100.0,45100.0,43500.0,46300.0,No,
50766,Public school,A mixture of boys and girls,A or A+,1-2,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",305.0,309.0,0-4,13200.0,13200.0,13200.0,45100.0,43100.0,Yes,no
71089,Public school,A mixture of boys and girls,A or A+,1-2,1-2,"Bachelor's degree (B.A., B.S., etc.)",305.0,111.0,None,21200.0,43100.0,44200.0,43500.0,42900.0,Yes,no
80980,Public school,A mixture of boys and girls,A or A+,3-4,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",309.0,400.0,5-10,43100.0,45100.0,12200.0,11300.0,11300.0,Yes,yes
29115,Public school,A mixture of boys and girls,A-,3-4,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",309.0,310.0,5-10,13200.0,13200.0,43100.0,,,No,yes
98462,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",506.0,,None,11100.0,25100.0,45100.0,45100.0,42200.0,Yes,no
94455,Public school,A mixture of boys and girls,A-,3-4,3-4,Ph.D or Ed.D.,,,0-4,13200.0,43500.0,45100.0,45100.0,42200.0,Yes,no
11148,Public school,A mixture of boys and girls,A or A+,1-2,1-2,Ph.D or Ed.D.,119.0,,None,21100.0,43500.0,45100.0,45100.0,45100.0,Yes,yes
88384,Public school,A mixture of boys and girls,B+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",401.0,515.0,16-20,13200.0,43500.0,45200.0,,,Yes,yes
60904,Private independent college-prep school,Same sex- female,A-,5 or more,5 or more,,,,,43100.0,43500.0,11300.0,41900.0,11300.0,Yes,
64302,Private religious/parochial school,Same sex- male,A or A+,Not offered at my high school,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",309.0,,None,25200.0,25200.0,21100.0,44200.0,25300.0,Yes,no
51882,Private religious/parochial school,A mixture of boys and girls,B+,5 or more,5 or more,,,,,11200.0,45200.0,25200.0,12900.0,,Yes,
54200,Private religious/parochial school,Same sex- male,A or A+,5 or more,5 or more,,,,,13200.0,13200.0,13200.0,45100.0,,Yes,
22688,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,305.0,507.0,5-10,11300.0,43100.0,21100.0,45100.0,45100.0,No,yes
38815,Private religious/parochial school,Same sex- male,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",305.0,109.0,0-4,13200.0,43800.0,16100.0,13200.0,45100.0,Yes,no
34525,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",510.0,,0-4,13200.0,13200.0,43100.0,,,Yes,no
