egoid,hs_1,hssex_1,hsgrade_1,apcourses_1,apexams_1,degreeintent_1,major1rc_1,major2rc_1,hrswork_1,hsclub1rc_1,hsclub2rc_1,hsclub3rc_1,hsclub4rc_1,hsclub5rc_1,ndfirst_1,majorevent_1
36540,Private independent college-prep school,A mixture of boys and girls,A or A+,Not offered at my high school,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",301.0,508.0,None,13200.0,45100.0,13200.0,45100.0,59200.0,No,no
14527,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,13200.0,45200.0,25200.0,45200.0,45100.0,Yes,
83005,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,25200.0,13200.0,13200.0,69300.0,45100.0,Yes,
31439,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",510.0,131.0,None,17100.0,13200.0,43400.0,42200.0,,Yes,yes
21899,Public school,A mixture of boys and girls,A-,5 or more,5 or more,,,,,13200.0,13200.0,45100.0,63100.0,,Yes,
29232,Private religious/parochial school,Same sex- female,A or A+,5 or more,5 or more,J.D. (Law),302.0,128.0,None,11300.0,41200.0,43100.0,45100.0,,Yes,no
32249,Public magnet school,A mixture of boys and girls,A or A+,5 or more,3-4,,,,,13200.0,13200.0,43100.0,42200.0,43400.0,Yes,
45375,Public school,A mixture of boys and girls,A or A+,5 or more,3-4,J.D. (Law),,,16-20,13200.0,13200.0,13200.0,45200.0,42900.0,Yes,no
25536,Public magnet school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",302.0,309.0,5-10,41200.0,12900.0,43400.0,42300.0,45100.0,Yes,no
32037,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,J.D. (Law),110.0,514.0,0-4,45100.0,21200.0,21100.0,45200.0,45100.0,No,yes
90476,Private religious/parochial school,Same sex- male,A-,5 or more,5 or more,,,,,45200.0,13200.0,45100.0,13200.0,,Yes,
46558,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",301.0,,None,45100.0,45100.0,,,,Yes,no
24016,Private religious/parochial school,Same sex- female,A or A+,5 or more,5 or more,,,,,11300.0,43100.0,41200.0,,,Yes,
52277,Private religious/parochial school,Same sex- female,A or A+,5 or more,5 or more,Ph.D or Ed.D.,110.0,,None,21900.0,21100.0,25200.0,,,No,no
93699,Public school,A mixture of boys and girls,A-,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",401.0,,None,21100.0,13200.0,43400.0,21300.0,45100.0,No,no
36875,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,45200.0,13200.0,43100.0,16900.0,,Yes,
84011,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,503.0,,None,12200.0,21100.0,45100.0,29200.0,,No,no
90646,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,21100.0,11300.0,21200.0,45200.0,41100.0,No,
88008,Private religious/parochial school,A mixture of boys and girls,A or A+,1-2,0,"Master's Degree (M.A., M.S., MBA, etc.)",309.0,301.0,16-20,11300.0,21200.0,11100.0,44200.0,45100.0,Yes,no
88967,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",109.0,514.0,5-10,43100.0,13200.0,42200.0,45100.0,43500.0,No,no
46701,Private religious/parochial school,Same sex- male,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",510.0,511.0,None,45100.0,42200.0,45200.0,41100.0,43600.0,No,no
83566,Public school,A mixture of boys and girls,A or A+,3-4,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",131.0,,0-4,41100.0,43100.0,,,,No,no
21090,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",302.0,,0-4,42200.0,45100.0,21100.0,21100.0,45100.0,No,no
69419,Private religious/parochial school,A mixture of boys and girls,b,5 or more,5 or more,,,,,45200.0,21100.0,21100.0,,,Yes,
87032,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",200.0,400.0,None,43100.0,45100.0,45100.0,,,Yes,no
