egoid,major1rc_4,major2rc_4,majorevent_4
28724,507.0,,no
92895,,,
69831,305.0,,no
59178,,,
50072,503.0,,no
44927,502.0,131.0,yes
71894,305.0,,no
76790,128.0,135.0,no
78428,,,
66676,502.0,,no
95930,401.0,,no
70962,503.0,,no
12738,,,
29647,504.0,300.0,no
27111,,,
30453,401.0,135.0,no
58219,,,
28377,,,
80177,,,
18677,404.0,,no
66047,103.0,,yes
58682,406.0,,no
81199,,,
85679,,,
79834,507.0,,no
93471,,,
19538,,,
14595,,,
38052,508.0,,no
33133,111.0,128.0,no
40021,507.0,,no
27141,,,
93858,,,
47810,309.0,,yes
58196,406.0,,no
42773,,,
72152,,,
76663,511.0,,no
48224,,,
30137,403.0,128.0,no
68318,502.0,,no
62246,309.0,,no
69496,,,
61028,302.0,,no
55424,401.0,109.0,no
17581,,,
23576,403.0,109.0,no
57842,404.0,131.0,no
17522,511.0,,no
55685,,,
74079,,,
97833,,,
11992,,,
93485,401.0,135.0,no
34402,,,
62617,507.0,,no
42137,303.0,,no
37305,406.0,111.0,yes
48013,102.0,,no
44447,,,
14571,503.0,501.0,no
69057,309.0,,yes
49125,,,
66629,,,
83542,110.0,,no
18222,305.0,,no
39738,128.0,,yes
26858,510.0,,no
70552,,,
38826,131.0,135.0,no
93504,106.0,406.0,no
64232,507.0,,no
37404,401.0,,no
25961,507.0,,no
87330,131.0,,no
92028,,,
82248,116.0,135.0,no
28824,,,
11482,109.0,100.0,no
69936,,,
91320,,,
37001,,,
70492,511.0,507.0,no
95543,305.0,,no
21380,302.0,,no
67106,303.0,,no
25495,109.0,403.0,no
26581,,,
66642,309.0,,
83612,503.0,,no
63954,,,
20665,,,
19122,301.0,,no
99978,309.0,137.0,no
92566,110.0,128.0,no
39414,200.0,,no
35987,305.0,,no
66655,,,
10547,,,
46373,128.0,,no
79341,511.0,109.0,no
19591,403.0,,no
83536,306.0,,yes
66682,,,
88337,,,
67608,503.0,129.0,yes
19735,200.0,,no
42513,,,
64595,,,
85134,,,
51952,,,
28837,,,
46266,303.0,,yes
61289,,,
18743,,,
13647,,,
59207,302.0,,no
48946,508.0,,no
86083,130.0,109.0,no
96613,403.0,501.0,no
49014,,,
50766,305.0,,no
71089,305.0,111.0,no
80980,309.0,,no
29115,,,
98462,501.0,,no
94455,,,
11148,,,
88384,,,
60904,,,
64302,303.0,,no
51882,,,
54200,,,
22688,306.0,504.0,no
38815,305.0,,no
34525,,,
68404,406.0,131.0,no
71836,,,
12748,,,
33445,,,
83078,,,
72160,,,
55569,,,
72885,305.0,,no
47006,,,
36574,,,
71193,109.0,135.0,no
44070,,,
49010,,,
98760,302.0,510.0,yes
95374,131.0,128.0,no
71985,403.0,402.0,no
43125,109.0,403.0,no
98117,503.0,,no
22989,109.0,131.0,no
24883,502.0,,yes
65068,,,
20650,128.0,,no
19460,,,
66815,507.0,,no
89161,403.0,501.0,no
54956,131.0,,no
14847,401.0,,yes
85453,309.0,,no
19827,309.0,,no
31121,,,
38683,,,
82918,,,
43382,306.0,,no
44344,128.0,,yes
94215,302.0,,no
80675,,,
57144,511.0,,no
94662,,,
98700,,,
44675,,,
33341,,,
37396,,,
65072,,,
37148,,,
11910,,,
75438,401.0,106.0,no
99733,305.0,,yes
