egoid,usetobacco_5,usebeer_5,usewine_5,usedrugs_5,usedrugs_prescr_5,usecaffine_5,useBed_5,useBedCharge_5
70962,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a week,Occasionally,Always
30453,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Always,Always
18677,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a week,Frequently,Always
66047,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all,Always,Frequently
58682,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Frequently
79834,1-2 times a month,Not at all,Three times a week or more,Three times a week or more,Not at all,Not at all,Frequently,Occasionally
38052,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all,Occasionally,Frequently
33133,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week,Never,
40021,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Frequently
93858,,,,,,,,
47810,Not at all,Not at all,1-2 times a month,Not at all,Not at all,1-2 times a week,Occasionally,Frequently
58196,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Never,
76663,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week,Never,
48224,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Occasionally
30137,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week,Frequently,Frequently
68318,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Always,Never
62246,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week,Occasionally,Frequently
55424,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Less than 1-2 times a month,Frequently,Frequently
23576,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Occasionally,Never
17522,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a month,Frequently,Frequently
93485,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Frequently
62617,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Always
42137,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Always,Frequently
37305,Less than 1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,1-2 times a month,Frequently,Occasionally
48013,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Always,Always
14571,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Always,Always
69057,Less than 1-2 times a month,1-2 times a month,1-2 times a month,1-2 times a month,Not at all,Three times a week or more,Occasionally,Frequently
83542,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Occasionally,Frequently
18222,Less than 1-2 times a month,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week,Occasionally,Always
39738,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month,Always,Frequently
26858,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Frequently
38826,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a week,Occasionally,Occasionally
93504,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Frequently
64232,Not at all,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Three times a week or more,Frequently,Frequently
37404,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Always,Frequently
87330,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Never
92028,,,,,,,,
82248,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Frequently,Frequently
37001,Not at all,Three times a week or more,Three times a week or more,Not at all,Not at all,Three times a week or more,Frequently,Frequently
70492,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a week,Occasionally,Never
95543,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Occasionally,Always
21380,Three times a week or more,Three times a week or more,1-2 times a week,Not at all,Not at all,Three times a week or more,Always,Frequently
67106,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Occasionally,Frequently
