egoid,exercisealone_5,exerciseothers_5,clubsports_5,swimming_5
95374,Not at all,1-2 times a week,Not at all,Not at all
71985,1-2 times a week,1-2 times a week,1-2 times a month,Less than 1-2 times a month
43125,Less than 1-2 times a month,Not at all,Not at all,Not at all
98117,Less than 1-2 times a month,Not at all,Not at all,Not at all
22989,1-2 times a week,1-2 times a week,1-2 times a month,Not at all
24883,1-2 times a month,1-2 times a month,Not at all,1-2 times a month
20650,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
66815,Less than 1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all
54956,Less than 1-2 times a month,1-2 times a month,1-2 times a month,Not at all
14847,1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
85453,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
19827,,,,
82918,,,,
43382,Not at all,Not at all,Not at all,Not at all
44344,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
94215,Less than 1-2 times a month,Three times a week or more,1-2 times a week,Not at all
57144,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Less than 1-2 times a month
65072,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
11910,1-2 times a week,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month
75438,Three times a week or more,Not at all,1-2 times a week,Not at all
99733,1-2 times a week,1-2 times a month,Not at all,Not at all
27407,Three times a week or more,1-2 times a week,Three times a week or more,Not at all
43794,1-2 times a month,Not at all,Not at all,Not at all
60216,Three times a week or more,Not at all,1-2 times a week,Not at all
51437,Three times a week or more,Not at all,Not at all,Not at all
21932,1-2 times a week,1-2 times a week,1-2 times a month,Not at all
98206,Not at all,1-2 times a week,1-2 times a week,Not at all
36385,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
54030,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
67993,1-2 times a week,Less than 1-2 times a month,1-2 times a month,Less than 1-2 times a month
96543,1-2 times a week,1-2 times a week,1-2 times a month,Not at all
49800,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a month,Not at all
29296,Three times a week or more,1-2 times a week,1-2 times a month,Not at all
11002,,,,
72850,Three times a week or more,Not at all,1-2 times a month,Not at all
15134,Three times a week or more,Three times a week or more,1-2 times a week,Not at all
42531,1-2 times a week,1-2 times a week,Not at all,Not at all
