egoid,sexorientation_1,sexcontacttype_1,sexattracttype_1
27141,Heterosexual or straight,Men only,Only attracted to males?
93858,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
47810,Heterosexual or straight,Men only,Only attracted to males?
58196,Heterosexual or straight,Men only,Only attracted to males?
42773,Heterosexual or straight,Women only,Only attracted to females?
72152,Heterosexual or straight,Men only,Mostly attracted to males?
76663,,,
48224,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
30137,,,
68318,,,
62246,Heterosexual or straight,Women only,Only attracted to females?
69496,Bisexual,Both men and women,Mostly attracted to males?
61028,,,
55424,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
17581,Heterosexual or straight,Men only,Only attracted to males?
23576,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
57842,,,
17522,,,
55685,,,
74079,,,
97833,Heterosexual or straight,Women only,Only attracted to females?
11992,,,
93485,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
34402,Heterosexual or straight,Women only,Only attracted to females?
62617,Heterosexual or straight,Men only,Only attracted to males?
42137,Heterosexual or straight,I have not had sexual contact,Mostly attracted to males?
37305,Heterosexual or straight,Men only,Mostly attracted to males?
48013,,,
44447,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
14571,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
69057,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
49125,,,
66629,Heterosexual or straight,,
83542,Heterosexual or straight,Men only,Only attracted to males?
18222,,,
39738,Heterosexual or straight,Men only,Only attracted to males?
26858,Heterosexual or straight,Men only,Only attracted to males?
70552,,,
38826,,,
93504,,,
64232,Heterosexual or straight,Men only,Only attracted to males?
37404,Heterosexual or straight,Men only,Only attracted to males?
25961,Heterosexual or straight,Men only,Only attracted to males?
87330,,,
92028,Heterosexual or straight,Men only,Only attracted to males?
82248,,,
28824,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
11482,Heterosexual or straight,Both men and women,Mostly attracted to males?
69936,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
91320,,,
37001,,,
70492,Heterosexual or straight,I have not had sexual contact,Mostly attracted to females?
95543,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
21380,,,
67106,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
25495,Heterosexual or straight,Women only,Only attracted to females?
26581,Heterosexual or straight,Men only,Only attracted to males?
66642,Heterosexual or straight,Women only,Only attracted to females?
83612,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
63954,,,
20665,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
19122,Heterosexual or straight,Women only,Only attracted to females?
99978,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
92566,Heterosexual or straight,I have not had sexual contact,Mostly attracted to females?
39414,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
35987,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
66655,Heterosexual or straight,Men only,Only attracted to males?
10547,Heterosexual or straight,Women only,Mostly attracted to females?
46373,Heterosexual or straight,Women only,Only attracted to females?
79341,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
19591,,,
83536,Heterosexual or straight,Men only,Only attracted to males?
66682,Heterosexual or straight,Women only,Only attracted to females?
88337,Heterosexual or straight,Women only,Only attracted to females?
67608,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
19735,Heterosexual or straight,Women only,Only attracted to females?
42513,Heterosexual or straight,Women only,Only attracted to females?
64595,Heterosexual or straight,Women only,Only attracted to females?
85134,,,
51952,Heterosexual or straight,Women only,Only attracted to females?
28837,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
46266,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
61289,Heterosexual or straight,I have not had sexual contact,Not sure?
18743,Heterosexual or straight,Women only,Only attracted to females?
13647,,,
59207,Heterosexual or straight,Women only,Only attracted to females?
48946,Heterosexual or straight,Women only,Only attracted to females?
86083,,,
96613,Heterosexual or straight,Women only,Only attracted to females?
49014,,,
50766,Heterosexual or straight,Women only,Only attracted to females?
71089,Heterosexual or straight,I have not had sexual contact,Mostly attracted to females?
80980,Heterosexual or straight,I have not had sexual contact,Mostly attracted to females?
29115,Heterosexual or straight,Women only,Only attracted to females?
98462,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
94455,Heterosexual or straight,Women only,Only attracted to females?
11148,Heterosexual or straight,Women only,Only attracted to females?
88384,Heterosexual or straight,Men only,Mostly attracted to males?
60904,,,
64302,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
51882,,,
54200,,,
22688,Heterosexual or straight,Women only,Only attracted to females?
38815,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
34525,Heterosexual or straight,Women only,Only attracted to females?
68404,,,
71836,Heterosexual or straight,Women only,Only attracted to females?
12748,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
33445,,,
83078,Bisexual,Both men and women,Not sure?
72160,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
55569,,,
72885,Bisexual,Women only,Mostly attracted to females?
47006,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
36574,Heterosexual or straight,Women only,Only attracted to females?
71193,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
44070,,,
49010,Heterosexual or straight,Women only,Only attracted to females?
98760,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
95374,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
71985,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
43125,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
98117,Heterosexual or straight,Women only,Only attracted to females?
22989,,,
24883,Heterosexual or straight,Both men and women,Only attracted to females?
20650,,,
19460,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
66815,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
89161,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
54956,,,
14847,Bisexual,Men only,Equally attracted to females and males?
85453,,,
19827,,,
31121,,,
38683,Heterosexual or straight,Women only,Only attracted to females?
82918,Heterosexual or straight,Men only,Only attracted to males?
43382,Heterosexual or straight,Women only,Only attracted to females?
44344,,,
94215,,,
80675,Gay or lesbian,Men only,Only attracted to males?
57144,,,
94662,,,
98700,Heterosexual or straight,Men only,Only attracted to males?
44675,Heterosexual or straight,I have not had sexual contact,Mostly attracted to males?
33341,Heterosexual or straight,Men only,Only attracted to males?
37396,,,
65072,Heterosexual or straight,Women only,Only attracted to females?
37148,Heterosexual or straight,Women only,Not sure?
11910,Heterosexual or straight,Men only,Only attracted to males?
75438,Heterosexual or straight,Men only,Only attracted to males?
99733,Heterosexual or straight,Men only,Only attracted to males?
27407,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
14250,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
43794,Heterosexual or straight,Men only,Only attracted to males?
73918,Heterosexual or straight,Men only,Only attracted to males?
60216,Heterosexual or straight,Women only,Only attracted to females?
28681,,,
51437,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
21932,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
29733,Heterosexual or straight,Men only,Only attracted to males?
98206,,,
36385,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
26651,Heterosexual or straight,Women only,Only attracted to females?
54030,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
67993,Heterosexual or straight,Men only,Only attracted to males?
96543,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
49800,,,
29296,,,
11002,Heterosexual or straight,Women only,Only attracted to females?
72850,,,
15134,Heterosexual or straight,Men only,Only attracted to males?
69124,Heterosexual or straight,Women only,Only attracted to females?
42531,,,
34062,Heterosexual or straight,Men only,Only attracted to males?
18111,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
42646,,,
63922,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
59097,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
72912,Heterosexual or straight,Men only,Only attracted to males?
91484,Heterosexual or straight,Men only,Only attracted to males?
24833,Heterosexual or straight,Men only,Only attracted to males?
21971,,,
58654,,,
13928,Heterosexual or straight,Men only,Only attracted to males?
84502,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
64090,Heterosexual or straight,Men only,Only attracted to males?
52123,,,
78783,Heterosexual or straight,Women only,Only attracted to females?
25197,Heterosexual or straight,I have not had sexual contact,Mostly attracted to females?
35872,Heterosexual or straight,,Only attracted to females?
93462,,,
23270,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
69807,,,
92716,Heterosexual or straight,Women only,Only attracted to females?
66061,Heterosexual or straight,Men only,Only attracted to females?
56058,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
57854,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
68679,Heterosexual or straight,Women only,Only attracted to females?
90750,Heterosexual or straight,Men only,Only attracted to males?
70125,Heterosexual or straight,Men only,Only attracted to males?
67192,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
12029,,,
70745,,,
43255,,,
93856,,,
10237,Heterosexual or straight,Men only,Mostly attracted to males?
97448,Gay or lesbian,Men only,Only attracted to males?
43603,,,
86974,,,
89165,,,
97280,Heterosexual or straight,Women only,Only attracted to females?
54098,,,
66156,,,
67177,Heterosexual or straight,Men only,Only attracted to males?
22540,,,
70668,,,
