egoid,usetobacco_5,usebeer_5,usewine_5,usedrugs_5,usedrugs_prescr_5,usecaffine_5,useBed_5,useBedCharge_5
73452,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Less than 1-2 times a month,Occasionally,Occasionally
51475,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Always,Frequently
28312,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a month,Occasionally,Frequently
13486,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,1-2 times a month,Always,Always
56805,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
57697,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
54837,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
29718,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
26800,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month,Frequently,Always
60493,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Always,Always
52051,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
30972,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
47142,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week,Never,Frequently
69217,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all,Occasionally,Always
69009,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
84390,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more,Occasionally,Occasionally
74845,1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,1-2 times a month,Frequently,Frequently
90905,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
39659,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
62072,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
60396,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a week,Always,Frequently
61084,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
92412,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Never,Frequently
92038,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all,Occasionally,Occasionally
33388,Less than 1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,Three times a week or more,Frequently,Occasionally
