egoid,major1rc_3,major2rc_3,degreeintent_3,majorevent_3
22897,309.0,306.0,"Bachelor's degree (B.A., B.S., etc.)",no
89652,503.0,103.0,"M.D., D.O., D.D.S., or D.V.M.",no
28724,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
92895,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
69831,305.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
59178,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
50072,503.0,109.0,"M.D., D.O., D.D.S., or D.V.M.",no
44927,502.0,131.0,"M.D., D.O., D.D.S., or D.V.M.",no
71894,305.0,109.0,Ph.D or Ed.D.,no
76790,128.0,135.0,J.D. (Law),no
78428,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
66676,502.0,109.0,Ph.D or Ed.D.,no
95930,401.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
70962,503.0,109.0,"M.D., D.O., D.D.S., or D.V.M.",no
12738,128.0,125.0,Ph.D or Ed.D.,yes
29647,504.0,109.0,Ph.D or Ed.D.,no
27111,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
30453,401.0,135.0,"Bachelor's degree (B.A., B.S., etc.)",no
58219,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
28377,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
80177,309.0,310.0,Ph.D or Ed.D.,no
18677,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
66047,103.0,109.0,Ph.D or Ed.D.,yes
58682,406.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
81199,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
85679,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
79834,507.0,109.0,Ph.D or Ed.D.,no
93471,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
19538,109.0,403.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
14595,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
38052,508.0,109.0,Ph.D or Ed.D.,no
33133,507.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
40021,507.0,109.0,"M.D., D.O., D.D.S., or D.V.M.",no
27141,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
93858,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
47810,309.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",yes
58196,404.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
