egoid,exercisealone_2,clubsports_2,exerciseothers_2,swimming_2,exercise_tracking_2,exercise_adjust_2,exercise_perceivedchange_2
81420,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Not at all,Yes,"Yes, sometimes",increased a bit
33740,1-2 times a month,Not at all,1-2 times a month,Not at all,Yes,"Yes, sometimes",increased a bit
37979,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a week,Not at all,No,"Yes, sometimes",has stayed about the same
87192,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all,No,No,increased a good deal
67709,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,No,No,increased a good deal
36552,1-2 times a month,1-2 times a month,1-2 times a week,Not at all,Yes,No,increased a bit
14301,Less than 1-2 times a month,1-2 times a month,1-2 times a week,Not at all,Yes,No,increased a good deal
36384,1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Yes,No,increased a good deal
63138,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,Yes,"Yes, sometimes",increased a good deal
51298,1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Yes,No,increased a bit
74632,Not at all,Not at all,1-2 times a month,Not at all,Yes,No,increased a good deal
16654,1-2 times a week,1-2 times a month,1-2 times a week,Not at all,Yes,"Yes, sometimes",increased a bit
54394,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Not at all,Yes,No,increased a good deal
84768,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
29134,1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Yes,No,increased a good deal
24029,Less than 1-2 times a month,1-2 times a week,Three times a week or more,1-2 times a week,Yes,"Yes, sometimes",increased a bit
35361,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
87056,Three times a week or more,Not at all,1-2 times a month,Not at all,Yes,No,increased a good deal
49086,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a week,Yes,No,increased a good deal
67917,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
85503,1-2 times a month,Three times a week or more,1-2 times a week,Not at all,Yes,"Yes, sometimes",has stayed about the same
60008,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Not at all,Yes,No,increased a good deal
66542,Three times a week or more,Not at all,Three times a week or more,Not at all,Yes,No,increased a good deal
55881,Less than 1-2 times a month,1-2 times a month,1-2 times a month,1-2 times a month,Yes,No,increased a good deal
86265,1-2 times a month,Not at all,1-2 times a month,Not at all,Yes,No,increased a good deal
10732,1-2 times a month,1-2 times a month,Not at all,Not at all,Yes,No,increased a good deal
22119,Three times a week or more,Not at all,Three times a week or more,Three times a week or more,Yes,No,increased a good deal
50797,Not at all,Not at all,Not at all,Not at all,Yes,No,increased a good deal
39564,1-2 times a month,Not at all,1-2 times a week,Not at all,Yes,No,increased a good deal
39285,Not at all,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
22460,1-2 times a month,Three times a week or more,Three times a week or more,Not at all,Yes,No,has stayed about the same
25172,Less than 1-2 times a month,1-2 times a week,Three times a week or more,Three times a week or more,Yes,No,increased a good deal
77134,1-2 times a week,1-2 times a month,1-2 times a month,Not at all,Yes,No,increased a bit
22143,Less than 1-2 times a month,Three times a week or more,1-2 times a month,Not at all,Yes,"Yes, sometimes",has stayed about the same
93766,1-2 times a month,1-2 times a month,1-2 times a month,Not at all,No,No,increased a good deal
45097,Less than 1-2 times a month,Not at all,1-2 times a week,Not at all,Yes,"Yes, often",has decreased a bit
26289,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
95490,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Yes,"Yes, often",has decreased a bit
66979,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
23253,Less than 1-2 times a month,Not at all,1-2 times a week,Not at all,Yes,No,increased a good deal
12900,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
90079,1-2 times a week,Less than 1-2 times a month,1-2 times a week,Not at all,No,No,increased a good deal
47584,1-2 times a week,1-2 times a month,1-2 times a week,Not at all,Yes,No,increased a good deal
97990,1-2 times a week,1-2 times a month,1-2 times a month,Not at all,No,No,increased a bit
39248,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
29354,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
25743,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
91429,1-2 times a month,Not at all,1-2 times a month,Not at all,Yes,No,increased a good deal
82269,Less than 1-2 times a month,Not at all,Three times a week or more,Not at all,No,No,increased a good deal
22842,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,No,No,increased a bit
31311,1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
32423,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
33084,1-2 times a month,Not at all,1-2 times a month,Not at all,Yes,"Yes, sometimes",has stayed about the same
14279,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a bit
91932,Less than 1-2 times a month,Not at all,Not at all,Not at all,Yes,"Yes, often",increased a good deal
32404,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Not at all,Yes,"Yes, sometimes",increased a bit
73577,Not at all,Not at all,Three times a week or more,Not at all,Yes,"Yes, sometimes",has decreased a bit
70561,Less than 1-2 times a month,Not at all,Three times a week or more,Not at all,No,No,increased a good deal
43177,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a month,Yes,No,increased a good deal
36501,1-2 times a month,1-2 times a week,Three times a week or more,Not at all,Yes,"Yes, sometimes",increased a good deal
26857,Less than 1-2 times a month,1-2 times a week,Three times a week or more,Not at all,Yes,No,increased a good deal
28327,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a bit
42674,1-2 times a week,1-2 times a week,1-2 times a month,Less than 1-2 times a month,No,No,has decreased a bit
79897,Three times a week or more,Not at all,1-2 times a month,Not at all,Yes,No,increased a good deal
64978,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
70434,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Yes,No,increased a good deal
52302,1-2 times a week,1-2 times a month,1-2 times a week,Not at all,Yes,"Yes, sometimes",increased a bit
97050,Less than 1-2 times a month,1-2 times a week,Three times a week or more,Not at all,Yes,No,increased a good deal
46418,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
86691,1-2 times a week,1-2 times a month,1-2 times a month,Not at all,No,No,increased a good deal
93002,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a month,Not at all,No,No,increased a good deal
81930,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
56543,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
92618,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
17470,1-2 times a month,1-2 times a week,1-2 times a month,1-2 times a week,Yes,No,increased a good deal
74211,1-2 times a month,1-2 times a month,1-2 times a week,Not at all,Yes,"Yes, sometimes",increased a bit
35180,Not at all,Not at all,1-2 times a month,Less than 1-2 times a month,Yes,No,increased a good deal
89142,Not at all,Not at all,Three times a week or more,Three times a week or more,No,No,increased a good deal
24898,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Not at all,Yes,"Yes, sometimes",increased a good deal
74413,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,No,No,increased a good deal
38824,Not at all,Not at all,Less than 1-2 times a month,Not at all,Yes,"Yes, sometimes",increased a bit
51723,Three times a week or more,Not at all,1-2 times a month,Not at all,Yes,No,increased a good deal
79352,1-2 times a week,Not at all,Not at all,Not at all,Yes,No,increased a bit
30814,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
90502,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
94456,Not at all,1-2 times a week,1-2 times a week,1-2 times a month,Yes,"Yes, often",has stayed about the same
70661,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
50976,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Yes,No,increased a good deal
55533,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,No,No,increased a good deal
12156,1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Yes,No,increased a good deal
76485,1-2 times a month,1-2 times a week,Three times a week or more,Not at all,Yes,No,increased a good deal
33239,1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
72570,Not at all,Not at all,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
67574,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Not at all,Yes,"Yes, often",has stayed about the same
42231,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,No,No,increased a good deal
44639,1-2 times a week,Not at all,1-2 times a month,Not at all,Yes,"Yes, sometimes",increased a bit
64072,1-2 times a week,Three times a week or more,1-2 times a week,Not at all,No,No,increased a good deal
84960,1-2 times a week,1-2 times a month,Three times a week or more,Not at all,Yes,No,increased a good deal
43809,Three times a week or more,1-2 times a week,1-2 times a month,Not at all,Yes,No,increased a good deal
27941,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
31033,1-2 times a week,1-2 times a month,Three times a week or more,Not at all,No,No,increased a bit
39301,1-2 times a week,Three times a week or more,Three times a week or more,Not at all,Yes,No,increased a good deal
10469,1-2 times a week,1-2 times a month,1-2 times a month,Not at all,Yes,No,increased a good deal
77789,1-2 times a month,Not at all,Not at all,Not at all,Yes,"Yes, often",has decreased a bit
47024,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more,Yes,"Yes, sometimes",has stayed about the same
88582,Three times a week or more,Not at all,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
73897,1-2 times a week,Not at all,1-2 times a month,Not at all,Yes,No,increased a good deal
83470,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
67015,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
26272,1-2 times a week,Not at all,Not at all,Not at all,No,No,increased a good deal
21909,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
88882,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a bit
62510,Three times a week or more,1-2 times a month,1-2 times a month,Not at all,Yes,No,increased a good deal
96828,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
64406,1-2 times a month,1-2 times a week,1-2 times a week,Less than 1-2 times a month,No,No,increased a bit
31985,1-2 times a week,Three times a week or more,Three times a week or more,Not at all,Yes,No,increased a good deal
91337,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,No,No,increased a bit
87664,1-2 times a month,Three times a week or more,Three times a week or more,1-2 times a month,No,No,increased a bit
19245,Less than 1-2 times a month,1-2 times a week,Three times a week or more,Not at all,Yes,"Yes, sometimes",has stayed about the same
83748,Less than 1-2 times a month,1-2 times a month,1-2 times a month,Not at all,Yes,No,increased a good deal
49915,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a month,Yes,No,increased a good deal
51865,Not at all,1-2 times a week,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
78407,Less than 1-2 times a month,Not at all,1-2 times a month,Three times a week or more,Yes,No,increased a bit
93787,1-2 times a week,Not at all,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
52621,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
38914,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,No,No,has stayed about the same
37594,1-2 times a month,Not at all,1-2 times a week,Not at all,Yes,No,increased a good deal
19833,Three times a week or more,Not at all,Not at all,Not at all,Yes,No,increased a good deal
17270,1-2 times a month,Less than 1-2 times a month,1-2 times a month,Not at all,Yes,No,increased a good deal
40864,Three times a week or more,Not at all,Less than 1-2 times a month,1-2 times a month,Yes,No,increased a good deal
38313,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
55340,1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a week,Yes,No,increased a good deal
18707,1-2 times a month,Not at all,Not at all,Not at all,Yes,"Yes, often",has decreased a bit
73807,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
26718,1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Yes,No,increased a good deal
63347,Three times a week or more,Not at all,1-2 times a week,Not at all,Yes,No,increased a bit
35824,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Yes,"Yes, often",increased a bit
48826,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
11454,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
93246,1-2 times a week,Three times a week or more,Three times a week or more,Not at all,Yes,No,increased a good deal
75341,Less than 1-2 times a month,1-2 times a week,Three times a week or more,Not at all,Yes,No,has stayed about the same
35925,Less than 1-2 times a month,Less than 1-2 times a month,Three times a week or more,Not at all,Yes,No,increased a good deal
