egoid,exercisealone_2,clubsports_2,exerciseothers_2,swimming_2,exercise_tracking_2,exercise_adjust_2,exercise_perceivedchange_2
50072,1-2 times a week,Not at all,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
44927,1-2 times a week,Three times a week or more,Three times a week or more,Not at all,Yes,No,increased a bit
71894,1-2 times a month,Not at all,1-2 times a week,Not at all,No,No,has stayed about the same
76790,Not at all,Three times a week or more,Three times a week or more,Three times a week or more,Yes,No,increased a good deal
78428,1-2 times a month,Not at all,Three times a week or more,1-2 times a week,Yes,No,increased a good deal
66676,1-2 times a week,Not at all,Three times a week or more,Not at all,Yes,No,increased a good deal
95930,1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a week,No,No,has stayed about the same
70962,1-2 times a month,Not at all,1-2 times a week,Not at all,Yes,No,increased a good deal
12738,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
29647,1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Yes,No,increased a good deal
27111,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
30453,Less than 1-2 times a month,1-2 times a month,1-2 times a month,Not at all,Yes,"Yes, sometimes",increased a bit
58219,Not at all,Not at all,Not at all,Not at all,Yes,No,increased a good deal
28377,Less than 1-2 times a month,Less than 1-2 times a month,Three times a week or more,Not at all,Yes,No,increased a good deal
80177,Less than 1-2 times a month,1-2 times a month,Three times a week or more,Not at all,Yes,No,increased a good deal
18677,Less than 1-2 times a month,1-2 times a month,1-2 times a week,Not at all,Yes,"Yes, sometimes",increased a bit
66047,1-2 times a week,Not at all,Not at all,Not at all,Yes,"Yes, sometimes",has stayed about the same
58682,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Yes,No,increased a good deal
81199,Three times a week or more,Not at all,Three times a week or more,Not at all,Yes,No,increased a good deal
85679,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
79834,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all,No,No,increased a good deal
93471,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
19538,Less than 1-2 times a month,1-2 times a month,1-2 times a week,Not at all,Yes,"Yes, often",has stayed about the same
14595,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Three times a week or more,Yes,No,increased a good deal
38052,1-2 times a week,Three times a week or more,Three times a week or more,Not at all,Yes,No,increased a good deal
33133,Not at all,Less than 1-2 times a month,Not at all,Not at all,Yes,No,increased a good deal
40021,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
27141,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,No,No,increased a bit
93858,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a week,Not at all,Yes,"Yes, sometimes",increased a bit
47810,Less than 1-2 times a month,Not at all,1-2 times a month,Not at all,Yes,No,increased a good deal
58196,Less than 1-2 times a month,Not at all,1-2 times a month,Not at all,Yes,"Yes, sometimes",has decreased a bit
42773,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,"Yes, sometimes",has decreased a bit
72152,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
76663,Three times a week or more,Not at all,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
48224,1-2 times a week,Not at all,Less than 1-2 times a month,Not at all,No,No,increased a bit
30137,Less than 1-2 times a month,1-2 times a month,1-2 times a week,Not at all,Yes,No,increased a good deal
68318,Less than 1-2 times a month,1-2 times a month,1-2 times a month,Not at all,Yes,No,increased a good deal
62246,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
69496,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
61028,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,No,No,increased a bit
55424,1-2 times a month,Not at all,Three times a week or more,Not at all,No,No,increased a good deal
17581,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
23576,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Less than 1-2 times a month,No,No,increased a good deal
57842,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
17522,1-2 times a month,Not at all,Not at all,Not at all,Yes,No,increased a good deal
55685,Less than 1-2 times a month,1-2 times a month,1-2 times a month,Not at all,Yes,No,increased a good deal
74079,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Yes,No,increased a good deal
97833,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Not at all,Yes,"Yes, sometimes",increased a bit
11992,1-2 times a week,Not at all,Not at all,Not at all,Yes,No,increased a good deal
93485,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a month,Not at all,Yes,"Yes, often",increased a bit
34402,Less than 1-2 times a month,Not at all,1-2 times a week,Not at all,No,No,increased a good deal
62617,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,No,No,increased a good deal
42137,1-2 times a month,1-2 times a week,Not at all,Not at all,Yes,"Yes, sometimes",has stayed about the same
37305,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,No,No,increased a bit
48013,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a week,Less than 1-2 times a month,Yes,No,increased a good deal
44447,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
14571,Not at all,Not at all,Not at all,Not at all,Yes,No,increased a good deal
69057,Less than 1-2 times a month,Not at all,1-2 times a month,Not at all,No,No,increased a good deal
49125,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
66629,Less than 1-2 times a month,1-2 times a month,1-2 times a week,Not at all,No,No,increased a good deal
83542,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Yes,No,has stayed about the same
18222,1-2 times a month,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Yes,No,increased a good deal
39738,1-2 times a month,Not at all,1-2 times a week,Not at all,Yes,"Yes, sometimes",has decreased a bit
26858,1-2 times a month,Not at all,1-2 times a month,Not at all,Yes,"Yes, often",increased a good deal
70552,1-2 times a week,1-2 times a month,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
38826,Three times a week or more,Not at all,1-2 times a month,Not at all,Yes,No,increased a good deal
93504,Less than 1-2 times a month,Not at all,Three times a week or more,Not at all,Yes,No,increased a good deal
64232,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,"Yes, sometimes",increased a bit
37404,Less than 1-2 times a month,Not at all,1-2 times a week,Not at all,Yes,No,increased a bit
25961,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
87330,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
92028,Less than 1-2 times a month,1-2 times a month,1-2 times a week,Not at all,Yes,"Yes, sometimes",has stayed about the same
82248,1-2 times a week,Not at all,Not at all,Not at all,Yes,No,increased a good deal
28824,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
11482,Not at all,Not at all,Not at all,Not at all,Yes,No,increased a good deal
69936,Not at all,1-2 times a month,1-2 times a month,Not at all,Yes,No,increased a good deal
91320,1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
37001,Less than 1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
70492,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all,No,No,increased a good deal
95543,Not at all,1-2 times a week,Three times a week or more,Not at all,No,No,increased a good deal
21380,1-2 times a week,1-2 times a month,1-2 times a month,Not at all,Yes,No,increased a good deal
67106,Three times a week or more,Not at all,Not at all,Not at all,Yes,No,increased a good deal
25495,1-2 times a week,1-2 times a month,Not at all,Not at all,Yes,No,increased a good deal
26581,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,"Yes, sometimes",increased a bit
66642,Not at all,1-2 times a week,Less than 1-2 times a month,Not at all,Yes,"Yes, sometimes",has stayed about the same
