egoid,major1rc_4,major2rc_4,majorevent_4
66815,507.0,135.0,no
89161,403.0,501.0,no
54956,131.0,135.0,no
14847,401.0,135.0,yes
85453,309.0,135.0,no
19827,309.0,135.0,no
31121,507.0,135.0,no
38683,507.0,135.0,no
82918,507.0,135.0,no
43382,306.0,135.0,no
44344,128.0,135.0,yes
94215,302.0,135.0,no
80675,507.0,135.0,no
57144,511.0,135.0,no
94662,507.0,135.0,no
98700,507.0,135.0,no
44675,507.0,135.0,no
33341,507.0,135.0,no
37396,507.0,135.0,no
65072,507.0,135.0,no
37148,507.0,135.0,no
11910,507.0,135.0,no
75438,401.0,106.0,no
99733,305.0,135.0,yes
27407,309.0,135.0,no
14250,401.0,135.0,no
43794,309.0,135.0,no
73918,507.0,135.0,no
60216,302.0,135.0,no
28681,507.0,135.0,no
51437,503.0,135.0,no
21932,302.0,135.0,no
29733,507.0,135.0,no
98206,305.0,135.0,yes
36385,131.0,512.0,yes
26651,507.0,135.0,no
54030,404.0,135.0,no
67993,131.0,135.0,no
96543,304.0,135.0,yes
49800,507.0,135.0,no
29296,507.0,135.0,no
11002,503.0,112.0,no
72850,307.0,128.0,no
15134,309.0,135.0,no
69124,507.0,135.0,no
42531,109.0,110.0,no
34062,507.0,135.0,no
18111,401.0,135.0,no
42646,507.0,137.0,no
63922,507.0,135.0,no
59097,403.0,402.0,no
72912,507.0,135.0,no
91484,117.0,135.0,no
24833,511.0,507.0,no
21971,507.0,135.0,no
58654,507.0,135.0,no
13928,507.0,135.0,no
84502,128.0,109.0,no
64090,507.0,135.0,no
52123,406.0,102.0,no
78783,200.0,135.0,no
25197,501.0,135.0,no
35872,510.0,135.0,no
93462,507.0,135.0,no
23270,512.0,135.0,no
69807,507.0,135.0,no
92716,302.0,135.0,no
66061,507.0,135.0,no
56058,507.0,135.0,no
57854,507.0,135.0,no
68679,507.0,135.0,no
90750,507.0,135.0,no
70125,108.0,135.0,no
67192,507.0,135.0,no
12029,507.0,135.0,no
70745,109.0,112.0,no
43255,507.0,135.0,no
93856,309.0,135.0,no
