egoid,sexorientation_7,sexcontacttype_7,sexattracttype_7
44675,Heterosexual or straight,Men only,Only attracted to males
33341,Heterosexual or straight,Men only,Only attracted to males
37396,Heterosexual or straight,Men only,Only attracted to males
65072,Heterosexual or straight,Women only,Only attracted to females
37148,Heterosexual or straight,Men only,Only attracted to males
11910,Heterosexual or straight,Men only,Only attracted to males
75438,Heterosexual or straight,Men only,Only attracted to males
99733,Heterosexual or straight,Men only,Only attracted to males
27407,Heterosexual or straight,I have not had sexual contact,Only attracted to females
14250,Heterosexual or straight,Men only,Only attracted to males
43794,Heterosexual or straight,Men only,Only attracted to males
73918,Heterosexual or straight,Men only,Only attracted to males
60216,Heterosexual or straight,Men only,Only attracted to males
28681,Heterosexual or straight,Men only,Only attracted to males
51437,Heterosexual or straight,I have not had sexual contact,Only attracted to males
21932,Heterosexual or straight,I have not had sexual contact,Only attracted to females
29733,Heterosexual or straight,Men only,Only attracted to males
98206,Heterosexual or straight,Men only,Only attracted to males
36385,Heterosexual or straight,Men only,Mostly attracted to males
26651,Heterosexual or straight,Men only,Only attracted to males
54030,Heterosexual or straight,I have not had sexual contact,Only attracted to males
67993,Heterosexual or straight,Men only,Only attracted to males
96543,Heterosexual or straight,Men only,Only attracted to males
49800,Heterosexual or straight,Men only,Only attracted to males
29296,Heterosexual or straight,Men only,Only attracted to males
11002,Heterosexual or straight,Men only,Only attracted to males
72850,Heterosexual or straight,Men only,Only attracted to males
15134,Heterosexual or straight,Men only,Only attracted to males
69124,Heterosexual or straight,Men only,Only attracted to males
42531,Heterosexual or straight,Men only,Only attracted to males
34062,Heterosexual or straight,Men only,Only attracted to males
18111,Heterosexual or straight,Men only,Only attracted to males
42646,Heterosexual or straight,Men only,Only attracted to males
63922,Heterosexual or straight,Men only,Only attracted to males
59097,Heterosexual or straight,Men only,Only attracted to males
72912,Heterosexual or straight,Men only,Only attracted to males
91484,Heterosexual or straight,Men only,Only attracted to males
24833,Heterosexual or straight,Men only,Only attracted to males
21971,Heterosexual or straight,Men only,Only attracted to males
58654,Heterosexual or straight,Men only,Only attracted to males
13928,Heterosexual or straight,Men only,Only attracted to males
84502,Heterosexual or straight,I have not had sexual contact,Only attracted to males
64090,Heterosexual or straight,Men only,Only attracted to males
52123,Heterosexual or straight,Men only,Only attracted to males
78783,Heterosexual or straight,Men only,Only attracted to males
25197,Heterosexual or straight,I have not had sexual contact,Mostly attracted to females
35872,Heterosexual or straight,Men only,Only attracted to males
93462,Heterosexual or straight,Men only,Only attracted to males
23270,Heterosexual or straight,Men only,Only attracted to males
69807,Heterosexual or straight,Women only,Only attracted to females
92716,Heterosexual or straight,Women only,Only attracted to females
66061,Heterosexual or straight,Men only,Only attracted to males
56058,Heterosexual or straight,Men only,Only attracted to males
57854,Heterosexual or straight,Men only,Only attracted to males
68679,Heterosexual or straight,Men only,Only attracted to males
90750,Heterosexual or straight,Men only,Only attracted to males
70125,Heterosexual or straight,Men only,Only attracted to males
67192,Heterosexual or straight,Men only,Only attracted to males
12029,Heterosexual or straight,I have not had sexual contact,Only attracted to males
70745,Heterosexual or straight,Men only,Mostly attracted to males
43255,Heterosexual or straight,Men only,Only attracted to males
93856,Heterosexual or straight,Men only,Only attracted to males
10237,Heterosexual or straight,Men only,Mostly attracted to males
97448,Gay or lesbian,Men only,Mostly attracted to males
43603,Heterosexual or straight,Men only,Only attracted to males
86974,Heterosexual or straight,Men only,Only attracted to males
89165,Heterosexual or straight,Men only,Only attracted to males
97280,Heterosexual or straight,Men only,Only attracted to males
54098,Heterosexual or straight,Women only,Only attracted to females
66156,Heterosexual or straight,Men only,Mostly attracted to males
67177,Heterosexual or straight,Men only,Only attracted to males
22540,Heterosexual or straight,Men only,Only attracted to males
70668,Heterosexual or straight,Men only,Only attracted to males
15586,Heterosexual or straight,Men only,Only attracted to males
27232,Heterosexual or straight,Men only,Only attracted to males
18611,Heterosexual or straight,Men only,Only attracted to males
87328,Heterosexual or straight,I have not had sexual contact,Only attracted to females
88963,Heterosexual or straight,Men only,Only attracted to males
61756,Heterosexual or straight,Men only,Only attracted to males
57045,Heterosexual or straight,Men only,Only attracted to males
49497,Heterosexual or straight,Men only,Only attracted to males
15031,Heterosexual or straight,Men only,Only attracted to males
79607,Heterosexual or straight,Men only,Only attracted to males
41952,Heterosexual or straight,Men only,Only attracted to males
17183,Gay or lesbian,I have not had sexual contact,Only attracted to males
22408,Heterosexual or straight,Women only,Only attracted to females
54435,Heterosexual or straight,Men only,Only attracted to males
38554,Heterosexual or straight,Men only,Only attracted to males
38293,Heterosexual or straight,Men only,Only attracted to males
33785,Gay or lesbian,Men only,Only attracted to males
44310,Heterosexual or straight,Women only,Only attracted to females
33009,Heterosexual or straight,Men only,Only attracted to males
31294,Heterosexual or straight,I have not had sexual contact,Only attracted to males
65143,Heterosexual or straight,Men only,Only attracted to males
91726,Heterosexual or straight,Men only,Only attracted to males
59355,Heterosexual or straight,Men only,Only attracted to males
96184,Heterosexual or straight,Men only,Only attracted to males
92339,Heterosexual or straight,Men only,Only attracted to males
70005,Heterosexual or straight,Men only,Only attracted to males
64157,Heterosexual or straight,Men only,Only attracted to males
68050,Heterosexual or straight,Men only,Only attracted to males
46151,Heterosexual or straight,Men only,Only attracted to males
79395,Heterosexual or straight,Men only,Only attracted to males
59863,Heterosexual or straight,Men only,Only attracted to males
63419,Heterosexual or straight,I have not had sexual contact,Only attracted to males
22913,Heterosexual or straight,Women only,Only attracted to females
91313,Heterosexual or straight,Women only,Only attracted to females
14511,Heterosexual or straight,Men only,Only attracted to males
73962,Heterosexual or straight,Men only,Only attracted to males
48969,Heterosexual or straight,Men only,Only attracted to males
22093,Heterosexual or straight,Men only,Only attracted to males
32919,Heterosexual or straight,Men only,Only attracted to males
10153,Heterosexual or straight,Women only,Only attracted to females
79731,Heterosexual or straight,Men only,Only attracted to males
63611,Heterosexual or straight,Men only,Only attracted to males
64296,Heterosexual or straight,I have not had sexual contact,Only attracted to females
23487,Heterosexual or straight,Men only,Only attracted to males
17569,Heterosexual or straight,I have not had sexual contact,Only attracted to females
77036,Heterosexual or straight,I have not had sexual contact,Only attracted to males
53518,Heterosexual or straight,Men only,Only attracted to males
92340,Heterosexual or straight,Men only,Only attracted to males
37485,Heterosexual or straight,Men only,Only attracted to males
33953,Heterosexual or straight,Men only,Only attracted to males
53333,Heterosexual or straight,Men only,Only attracted to males
82986,Heterosexual or straight,I have not had sexual contact,Only attracted to males
61772,Heterosexual or straight,Men only,Only attracted to males
47280,Heterosexual or straight,Men only,Only attracted to males
70566,Heterosexual or straight,Men only,Only attracted to males
82964,Heterosexual or straight,Men only,Only attracted to males
11402,Heterosexual or straight,Women only,Only attracted to females
38610,Heterosexual or straight,Men only,Only attracted to males
96610,Heterosexual or straight,I have not had sexual contact,Only attracted to males
77711,Heterosexual or straight,I have not had sexual contact,Mostly attracted to females
48505,Heterosexual or straight,Men only,Only attracted to males
78667,Heterosexual or straight,Men only,Only attracted to males
17020,Heterosexual or straight,Women only,Only attracted to females
48676,Heterosexual or straight,Men only,Only attracted to males
29885,Heterosexual or straight,Men only,Only attracted to males
32976,Heterosexual or straight,Men only,Only attracted to males
79167,Heterosexual or straight,Men only,Only attracted to males
65061,Heterosexual or straight,Men only,Only attracted to males
43710,Heterosexual or straight,Men only,Only attracted to males
61389,Heterosexual or straight,Men only,Only attracted to males
22455,Heterosexual or straight,I have not had sexual contact,Only attracted to males
82819,Heterosexual or straight,Men only,Only attracted to males
67771,Heterosexual or straight,Men only,Only attracted to males
57443,Heterosexual or straight,Men only,Only attracted to males
96469,Heterosexual or straight,I have not had sexual contact,Only attracted to males
94579,Heterosexual or straight,Men only,Only attracted to males
29257,Heterosexual or straight,Women only,Only attracted to females
23518,Heterosexual or straight,Men only,Only attracted to males
80484,Heterosexual or straight,Men only,Only attracted to males
49539,Heterosexual or straight,Women only,Only attracted to females
63904,Heterosexual or straight,I have not had sexual contact,Only attracted to males
82490,Heterosexual or straight,I have not had sexual contact,Only attracted to females
20335,Heterosexual or straight,Men only,Only attracted to males
35031,Heterosexual or straight,Men only,Only attracted to males
88185,Heterosexual or straight,Men only,Only attracted to males
35344,Heterosexual or straight,Men only,Only attracted to males
31175,Heterosexual or straight,Men only,Only attracted to males
41167,Heterosexual or straight,Men only,Only attracted to males
98325,Heterosexual or straight,Men only,Mostly attracted to males
